Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"Weiyuan State-owned Assets Operation Co., Ltd",7045,weiyuan state owned assets operation,weiyuan,Lihuayi Weiyuan Chemical 'A',89427.0,,,Lihuayi Weiyuan Chemical 'A',89427,99.38,Lihuayi Weiyuan (SSE Connect Equities) Chemical 'A',213150,99.38,Ei Group,46815,99.11,UA Group,51292,99.11,We Holdings,124082,99.11,Yu Group,127684,99.11,Ei Group (Frankfurt),278368,99.11,Yuhan,116395,88.31,Shenzhen Weiguang Biological Products 'A',90139,85.53,Shenzhen Weiguang (SEC) Biological Products 'A',213839,85.53
WEL NETWORKS LIMITED,16728,wel networks,wel,,,,,Wellnet,114872,99.63,Wellpoint Health Network,69273,99.61,Wellpoint Health Network (Frankfurt),297924,99.61,Wellpoint Health Network (XETRA),309104,99.61,Welcia Kanto,31599,99.58,Wells Benrus,69274,99.58,Towellers Limited,114433,99.57000000000001,Welltower,133088,99.57000000000001,Welltower (BRN),226094,99.57000000000001,Welltower (Pet),240843,99.57000000000001
WELL KENT INTERNATIONAL ENTERPRISES (SHENZHEN),6990,well kent enterprises,well,Well,96685.0,Well Told Company (Non-NASDAQ OTC),249829.0,Wellco Enterprises,80220,99.82000000000001,Wellex Industries,114870,99.63,Wellco Energy Services Trust,13689,99.6,Wellness Center USA,132670,99.6,Wellco Energy Services (Non-NASDAQ OTC),240835,99.6,Wellness Universe,78275,99.58,Howell Industries,79235,99.58,Powell Industries,137919,99.58,Powell Industries (Frankfurt),265509,99.58,Powell Industries (XETRA),307868,99.58
Wellington International Airport Limited,16685,wellington airport,wellington,Wellington Merchant,40719.0,,,Wellington Holdings,51612,99.71,Wellington Salop Markets,51611,99.71,Wellington Merchant,40719,99.7,Wellington Underwriting,51613,99.68,Wellington Underwriting (Associated Catlin Max Shares),183711,99.68,Wellington Hall New,78273,99.65,Wellington Drive Technology,174430,99.58,Wellington Drive (Berlin) Technology,275730,99.58,Wellington Drive Technologies Rights,174432,99.56,Wellington Drive Technologies,114871,99.55
WELLTEC A/S,7910,welltec a/s,welltec,,,,,Well,96685,99.53,Tec,39880,99.43,Shanghai Welltech Automation 'A',95684,99.42,LT Group,106815,99.31,El Company,109292,99.31,We Holdings,124082,99.31,El Company,227555,99.31,T Bank,22692,99.17,C Holdings,24873,99.17,Celltech Group ADR (Frankfurt),298284,85.84
WELSPUN ENERGY RAJASTHAN PRIVATE LIMITED,11686,welspun energy rajasthan private,welspun,Welspun,98182.0,,,Welspun Invest and Commercial,105830,99.59,Welspun Invest and (National India) Commercial,223112,99.59,Welspun Enterprises Welspun Enterprises,105828,99.56,Welspun India,98183,99.49,Welspun India,171326,99.49,Welspun India (National India),223111,99.49,Welspun Global Brands,105829,99.49,Welspun GDR,211321,99.47,Welspun Specialty Solutions,105832,99.47,Welspun Projects,105831,99.46
Wendelstein 2015-1 UG (haftungsbeschraenkt),7784,wendelstein 2015 1 ug,wendelstein,,,,,Wendel,90533,99.44,Wendel (Frankfurt),275732,99.44,Wendel (XETRA),316669,99.44,Stei,39615,99.32,Tein,114195,99.32,TEI,77475,99.25,Ei Group,46815,99.17,El Company,109292,99.17,LS,115894,99.17,We Holdings,124082,99.17
"Wengfu (Group) Co., Ltd.",6414,wengfu,wengfu,,,,,We Holdings,124082,99.5,F Investment Trust Group,125685,99.29,Weng Fine Art,96688,82.7,Weng Fine Art (XETRA),96689,82.7,Weng Fine Art,282937,82.7,Wangfujing Group 'A',90515,82.67,Wangfujing Group (SSE Connect Equities) 'A',214211,82.67,Stang Daeng Fund,43889,82.62,Luzheng Futures 'A',159473,82.57000000000001,Heng Fung Holdings Sponsored ADR 1:200,206025,82.46000000000001
"WESCO Distribution, Inc.",21428,wesco distribution,wesco,Wesco,31608.0,,,Wesco Investments,40722,99.57000000000001,Wesco Investments (Berlin),303713,99.57000000000001,Wesco Aircraft Holdings,61799,99.56,Wesco Aircraft Holdings (Berlin),290231,99.56,Wesco International 1000 DS,191999,99.52,Wesco Financial,61800,99.48,Norwesco Income,66937,99.48,Wescorp Energy,58596,99.44,Wesco,31608,99.43,Wesco Holdings,114875,99.43
WESTERN ANDHRA TOLLWAYS LIMITED,11861,western andhra tollways,western,Columbia Western,71340.0,Western Resources (Non-NASDAQ OTC),249858.0,Western Atlas,69298,99.72,Western Atlas (Frankfurt),223114,99.72,Western Warner Oils,13750,99.71,Western Standard Metals,13747,99.7,Western National Gas,69412,99.7,Western Standard Metals (Non-NASDAQ OTC),240866,99.7,Western Standard Metals (Frankfurt),282957,99.7,Western Standard Metals (XETRA),316697,99.7,Western Areas,4522,99.67,Western Areas,40726,99.67
