Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Yorkshire Power Finance Limited,14662,yorkshire power finance,yorkshire,Yorkshire Fine,51841,95.19999999999999,yorkshire power,Shire,183483,87.2,yorkshire power finance,Power Finance,97963,94.39999999999999
YORKSHIRE WATER FINANCE PLC,9890,yorkshire water finance,yorkshire,Yorkshire Water B,183764,96.0,yorkshire water,Yorkshire Water B,183764,96.0,yorkshire water finance,Yorkshire Water B,183764,91.2
Yorkshire Water Services Bradford Finance Limi,9405,yorkshire water services bradford finance limi,yorkshire,Yorkshire Tyne Tees Warrants,148384,91.39999999999999,yorkshire water,Yorkshire Water Partly-Paid,183762,91.0,yorkshire water services,Yorkshire Water B,183764,86.0
Yorkshire Water Services Finance Limited,9245,yorkshire water services finance,yorkshire,Yorkshire Water B,183764,93.0,yorkshire water,Yorkshire Water B,183764,93.0,yorkshire water services,Yorkshire Water B,183764,88.2
YORKSHIRE WATER SERVICES LIMITED,9171,yorkshire water services,yorkshire,Yorkshire Water B,183764,95.6,yorkshire water,Yorkshire Water B,183764,95.6,yorkshire water services,Yorkshire Water B,183764,90.8
YORKSHIRE WATER SERVICES ODSAL FINANCE LIMITED,14836,yorkshire water services odsal finance,yorkshire,Yorkshire Tyne Tees Warrants,148384,92.2,yorkshire water,Yorkshire Water 170P Paid Dead,233237,91.8,yorkshire water services,Yorkshire Water B,183764,86.8
YONGDA INVESTMENT LIMITED,25340,yongda investment,yongda,China Yongda Automobiles Services,97487,88.8,yongda investment,Investment Trust,26824,94.8,yongda investment,Investment Trust,26824,94.8
Yokohama Finance Cayman Limited,14704,yokohama finance cayman,yokohama,Yokohama Matsuzakaya,31733,92.0,yokohama finance,Koha,27620,86.0,yokohama finance cayman,Koha,27620,86.0
Yokohama Preferred Capital Cayman Limited,14933,yokohama preferred capital cayman,yokohama,Yokohama Matsuzakaya,31733,91.39999999999999,yokohama preferred,Hana Securities Preferred,178820,85.4,yokohama preferred capital,Red Capital,141256,90.0
Yinson Juniper Ltd,25390,yinson juniper,yinson,Yinson Holdings,107354,91.0,yinson juniper,Uniper Securities,87674,92.0,yinson juniper,Uniper Securities,87674,92.0
YINSON TMC SDN. BHD.,15979,yinson tmc sdn. bhd.,yinson,Yinson Holdings,107354,90.2,yinson tmc,NS,121444,83.6,yinson tmc sdn.,SDN,122462,85.2
Yingde Gases Investment Limited,25282,yingde gases investment,yingde,Yingde Gases Group,31726,92.6,yingde gases,Yingde Gases Group,31726,92.6,yingde gases investment,Investment Trust,26824,92.2
YCC HOLDINGS LLC,22282,ycc holdings,ycc,YCC Participations Manufacturing,124263,87.2,ycc holdings,C Holdings,24873,98.19999999999999,ycc holdings,C Holdings,24873,98.19999999999999
Yardville Capital Trust II,22460,yardville capital ii,yardville,Yardville Capital Trust Preferred Securities,148370,95.39999999999999,yardville capital,Yardville Capital Trust Preferred Securities,148370,95.39999999999999,yardville capital ii,Capital Securities,115447,90.4
"YANLORD LAND (HK) CO., LIMITED",10483,yanlord land (hk),yanlord,Yanlord Land Group,116385,94.8,yanlord land,Yanlord Land Group,116385,94.8,yanlord land (hk),Land,111227,87.6
ABB Finance (Australia) Pty Limited,3541,abb finance (australia) pty,abb,ABB Grain (XETRA),309452,91.0,abb finance,B F,91340,84.0,abb finance (australia),Austral,177447,88.2
Abbey National Sterling Capital PLC,9059,abbey national sterling capital,abbey,Abbey National Sub Capital Perpetual,192318,94.39999999999999,abbey national,Abbey National Sub Capital Perpetual,192318,94.39999999999999,abbey national sterling,Abbey National,44635,92.39999999999999
Abbott Ireland Financing Designated Activity C,24734,abbott ireland financing designated activity c,abbott,Abbott Mead Vickers,44639,89.2,abbott ireland,Ireland,55420,85.2,abbott ireland financing,Financing,17627,86.6
"Abbott Japan Co., Ltd.",13524,abbott japan,abbott,Abbott India,97253,93.39999999999999,abbott japan,Japan,27177,91.8,abbott japan,Japan,27177,91.8
Abbott Medical Optics Inc.,19662,abbott medical optics,abbott,Abbott Mead Vickers,44639,94.0,abbott medical,Medica,19904,88.8,abbott medical optics,Medica,2720,88.8
