Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
"RETROPHIN, INC.",19693,Hi,26603,90,"[('Hi', 90), ('Re Capital', 90), ('Re Capital', 90), ('PH Capital', 90), ('PHI', 90), ('R R Securities', 86), ('T T', 86), ('Entropin', 82), ('Rectron', 75), ('Rectron', 75)]"
"Ardea Biosciences, Inc.",19719,Ardea Biosciences,59079,100,"[('Ardea Biosciences', 100), ('Ardea Biosciences (XETRA)', 95), ('Larrea Biosciences', 91), ('Dara Biosciences', 91), ('Aura Biosciences', 91), ('Pardes Biosciences', 91), ('SCI', 90), ('AB Science', 90), ('DEA Capital', 90), ('SCI', 90)]"
"Aspen Technology, Inc.",19726,Aspen Technology,133369,100,"[('Aspen Technology', 100), ('Aspen Technology (Pet)', 95), ('Aspen Technology (XETRA)', 95), ('Spenn Technology', 94), ('Aspeed Technology', 91), ('SP', 90), ('Tec', 90), ('AE Technology', 90), ('SP', 90), ('Aspen Technology (Mexico)', 90)]"
"Atlantic Tele-Network, Inc.",19735,Atlantic Tele-Network (XETRA),304646,95,"[('Atlantic Tele-Network (XETRA)', 95), ('Security Capital Atlantic', 90), ('ANT', 90), ('Network Security', 90), ('Security Capital Atlantic', 90), ('Atlantic Gold', 86), ('Independent Practitioner Network', 86), ('Network Foods', 86), ('Seven Network', 86), ('Atlantic Gold', 86)]"
"TARGA PIPELINE PARTNERS, L.P.",19737,Art,125058,90,"[('Art', 90), ('Line', 90), ('Art', 90), ('Art', 90), ('Artner', 90), ('Capital Partners', 90), ('Art', 90), ('IPE', 90), ('Atlas Pipeline Partners', 87), ('Evans and Partners Global Distruption Fund', 86)]"
AZURIX CORP.,19744,IX,27142,90,"[('IX', 90), ('Azur', 90), ('Azur', 90), ('Azurix', 90), ('ZUR', 90), ('RIX', 90), ('RIX', 90), ('R R Securities', 86), ('Azqur', 72), ('Ecorp', 72)]"
BBX CAPITAL CORPORATION,19746,X,13869,90,"[('X', 90), ('BBX Capital Class A', 90), ('BBX Minerals', 90), ('BBX Capital A', 90), ('BBX Capital B', 90), ('BBX Minerals (Frankfurt)', 90), ('BBX Capital Class A (Berlin)', 90), ('BBX Minerals (Berlin)', 90), ('B2B Trust', 67), ('ABB AG', 67)]"
"BJ'S WHOLESALE CLUB, INC.",19747,BJ's Wholesale Club,59235,100,"[(""BJ's Wholesale Club"", 100), (""BJ's Wholesale Club (XETRA)"", 95), ('S&W', 90), (""BJ's Wholesale Club (Frankfurt)"", 90), ('Club Resorts', 86), (""Gibson's"", 86), (""Johnson's Well Rights Applications"", 86), ('Mcleod M S', 86), ('Programni Produkti and S-MI Adsofia', 86), ('A/S Dadeko', 86)]"
"Baldwin & Lyons, Inc.",19755,Baldwin Securities,62803,90,"[('Baldwin Securities', 90), ('Win', 90), ('DWI', 90), ('Baldwin Securities', 90), ('ALD', 90), ('ALD', 90), ('ALD', 90), ('LY Corporation', 90), ('NS', 90), ('WI', 90)]"
"BancorpSouth, Inc.",19757,Bancorp,203068,90,"[('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Security Banc', 90), ('NC&', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90)]"
"Bank of the Ozarks, Inc.",19759,Security Bank,200310,90,"[('Security Bank', 90), ('Ark', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('RKS AB', 90), ('Security Bank', 90)]"
The Private Bank of California.,19764,Private Bank of California,56940,95,"[('Private Bank of California', 95), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Adelaide Bank', 86)]"
"Beacon Federal Bancorp, Inc.",19765,Beacon Federal Bancorp,59196,100,"[('Beacon Federal Bancorp', 100), ('Acon', 90), ('Security Federal', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Security Banc', 90), ('Security Federal', 90)]"
Bill Barrett Corporation,19771,ETT,100414,90,"[('ETT', 90), ('AR', 90), ('ETT', 90), ('Re Capital', 90), ('Re Capital', 90), ('ETT', 90), ('Bill Barrett (XETRA)', 90), ('Wimm-Bill-Dann Foods', 86), ('Barrett (Henry) Suspended 11/11/92', 86), ('Atkinson (W P Bill)', 86)]"
"BioTime, Inc.",19778,Tim,114294,90,"[('Tim', 90), ('Time', 90), ('Capital M', 90), ('Time', 90), ('Tim', 90), ('IM', 90), ('Biotime Rights 02/04/1997', 90), ('Biotime Sub Rights 21/01/04', 90), ('Biotime Warrants', 90), ('Biotime Warrants 31/10/2010', 90)]"
"Boston Chicken, Inc.",19789,Boston Chicken,52767,100,"[('Boston Chicken', 100), ('Hi', 90), ('IC', 90), ('IC', 90), ('OS', 90), ('ICK', 90), ('STO', 90), ('BOS Securities', 90), ('Boston Chicken (Berlin)', 90), ('Boston Education and Software Technologies', 86)]"
"BRIDGE BANCORP, INC.",19793,Newbridge Bancorp Class A,60740,90,"[('Newbridge Bancorp Class A', 90), ('Bay Ridge Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Bancorp', 90), ('Security Banc', 90), ('Bridge Securities', 90), ('NC&', 90)]"
"Brown Shoe Company, Inc.",19797,Trust Company,4284,90,"[('Trust Company', 90), ('MPA', 90), ('A Brown Company', 88), ('Antipodes Global Investment Company', 86), ('Arab International Insurance Company', 86), ('Babcock and Brown Environmental Investments', 86), ('Barbados Shipping and Trading Company Limited', 86), ('Bulgarian Telecommunications Company', 86), ('China Finance Holding Company', 86), ('Company On', 86)]"
"Bucyrus International, Inc.",19801,Bucyrus International,59293,100,"[('Bucyrus International', 100), ('Bucyrus International Income', 95), ('Bucyrus International (XETRA)', 95), ('Ion', 90), ('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('ONA', 90), ('National', 90)]"
Cabot Microelectronics Corporation,19815,Cabot Microelectronics (XETRA),304931,95,"[('Cabot Microelectronics (XETRA)', 95), ('LEC', 90), ('NIC', 90), ('ICS', 90), ('ICS', 90), ('NIC', 90), ('Electronics', 90), ('Micro', 90), ('LEC', 90), ('Cabot', 90)]"
CALLON PETROLEUM COMPANY,19823,Trust Company,4284,90,"[('Trust Company', 90), ('M&C', 90), ('All Corporation', 90), ('MPA', 90), ('Pet', 90), ('Petrol', 90), ('Petrol', 90), ('Callon Petroleum', 90), ('Arab International Insurance Company', 86), ('Arrow Petroleum', 86)]"
Carter Bank & Trust,19832,Career Bank,108485,91,"[('Career Bank', 91), ('AR', 90), ('Art', 90), ('Car', 90), ('Security Bank', 90), ('Art', 90), ('Art', 90), ('Security Bank', 90), ('CA', 90), ('Security Bank', 90)]"
"Cell Therapeutics, Inc.",19841,Lineage Cell Therapeutics,137309,95,"[('Lineage Cell Therapeutics', 95), ('Cell Therapeutics (XETRA)', 95), ('Cell Therapeutics (XETRA)', 95), ('Celldex Therapeutics', 92), ('Celldex Therapeutics', 92), ('Celldex Therapeutics', 92), ('Cel', 90), ('ICS', 90), ('ICS', 90), ('UTI', 90)]"
CENTRAL BANK & TRUST CO.,19844,Central Bank,128676,100,"[('Central Bank', 100), ('Bank Central Asia', 95), ('Central Banc', 92), ('ENT', 90), ('Central Securities', 90), ('Security Bank', 90), ('Central Securities', 90), ('Central Securities', 90), ('Central Bank of Nigeria', 90), ('Community Central Bank', 90)]"
"Charming Shoppes, Inc.",19849,Charming Shoppes,59410,100,"[('Charming Shoppes', 100), ('Charming Shoppes 144A', 95), ('Charming Shoppes (XETRA)', 95), ('AR', 90), ('RM', 90), ('Charming Shoppes (Frankfurt)', 90), ('R R Securities', 86), ('In Shops', 79), ('Carmit', 75), ('Aiming', 75)]"
"Chattem, Inc.",19853,Chattem,59412,100,"[('Chattem', 100), ('TEM', 90), ('At Trust', 90), ('Capital M', 90), ('Capital A', 90), ('Chattem (Frankfurt)', 90), ('Chattem (XETRA)', 90), ('T T', 86), ('Tema', 77), ('Temk', 77)]"
