Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Allianz Leasing Bulgaria AD,3820,Capital Leasing,109459,90,"[('Capital Leasing', 90), ('Allianz Securities', 90), ('Capital Leasing', 90), ('Allianz Securities', 90), ('Bulgari', 90), ('Aviaam Leasing', 86), ('Finance Leasing', 86), ('AD Plastik', 86), ('Gumig AD Berane', 86), ('Stoteks AD Novi', 86)]"
Bulgarian Energy Holding EAD,3821,Security Energy,123539,90,"[('Security Energy', 90), ('Security Energy', 90), ('Security Energy', 90), ('Corporation Holding', 90), ('Bulgari', 90), ('EVE Holding', 86), ('Iteknik Holding Corporation', 86), ('Jetpak Top Holding', 86), ('Enphase Energy', 86), ('Siemens Energy N', 86)]"
ICICI Bank Limited,3826,Icici Bank,3386,100,"[('Icici Bank', 100), ('Icici Bank BDR', 95), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('IC', 90)]"
HDFC Bank Limited,3827,HDFC Bank,3373,100,"[('HDFC Bank', 100), ('HDFC Bank BDR', 95), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90)]"
Helen of Troy Limited,3830,El Corporation,16423,90,"[('El Corporation', 90), ('Aerospace Technology of Korea', 86), ('Protective Products of America (Non-NASDAQ OTC)', 86), ('Son Ha Development of Renewable Energy', 86), ('Motorcar Participations of America', 86), (""Industrial and Commercial Bank of China 'A'"", 86), (""Agricultural Bank of China 'A'"", 86), ('Royal Bank of Canada', 86), ('Commonwealth Bank of Australia', 86), (""Bank of Communications 'A'"", 86)]"
ARCHER LIMITED,3842,Archer,155078,100,"[('Archer', 100), ('Archer', 100), ('Archer Aviation A', 90), ('AR', 90), ('Archer Medical Technologies', 90), ('Sun Race Sturmey-Archer', 90), ('Archer Materials', 90), ('Archer Dedicated', 90), ('Archer Group', 90), ('Archer Resources', 90)]"
SEA CONTAINERS LTD.,3848,Sea Containers 'B',115111,95,"[(""Sea Containers 'B'"", 95), (""Sea Containers 'A'"", 95), ('RS', 90), ('Ta', 90), ('AI', 90), ('Sea Limited', 90), ('Sea Containers Preferred $1.4625', 90), ('Sea Containers Preferred $2.10 Expired 28/08/91', 90), ('Sea Containers Preferred $4.125', 90), (""Sea Containers Preferred '82$ 2.10"", 90)]"
"Allied World Assurance Company Holdings, Ltd",3853,Allied World Assurance Company Holdings,76152,100,"[('Allied World Assurance Company Holdings', 100), ('Holdings', 90), ('Holdings', 90), ('World', 90), ('Allied Security', 90), ('Trust Company', 90), ('Holdings', 90), ('Holdings', 90), ('Security Assurance', 90), ('World', 90)]"
Orient- Express Hotels Ltd.,3862,Orient Express Hotels Limited,176329,98,"[('Orient Express Hotels Limited', 98), ('Orient-Express Hotel', 95), (""Orient Express Hotels 'A' (XETRA)"", 95), ('Press Corporation', 90), ('Express', 90), ('ENT', 90), ('Orient', 90), ('Capital Hotels', 90), ('Press Corporation', 90), ('Brakes Express', 86)]"
Seadrill Limited,3863,Seadrill,245703,100,"[('Seadrill', 100), ('Seadrill', 100), ('Seadrill', 100), ('Seadrill', 100), ('Seadrill Invest', 90), ('Seadrill Partners', 90), ('DRI', 90), ('Capital A', 90), ('Seadrill Partners LLC B Class', 90), ('Sea Limited', 90)]"
Holcim Capital Corporation Ltd,3866,Holcim Ecuador,13819,90,"[('Holcim Ecuador', 90), ('Holcim de Costa Rica A', 90), ('Holcim (Deutschland)', 90), ('Holcim Esko', 90), ('Holcim Maroc', 90), ('Holcim (Deutschland) (XETRA)', 90), ('IM', 90), ('Capital M', 90), ('Holcim Agregati', 90), ('Holcim de Costa Rica A', 90)]"
Holcim Overseas Finance Ltd.,3867,S&F Capital,15257,90,"[('S&F Capital', 90), ('INA', 90), ('Sea Limited', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Canterbury SRY Hills Community Finance', 86)]"
Bacardi Limited,3868,Bacardi 'A',10076,95,"[(""Bacardi 'A'"", 95), ('AR', 90), ('CA', 90), ('Capital A', 90), ('R R Securities', 86), ('D&D', 86), ('Reti Bancarie Holding', 77), ('Bascadi Limited Data', 77), ('Acarix', 77), ('Cardif', 77)]"
Novartis Securities Investment Ltd,3869,INV,25781,90,"[('INV', 90), ('RTI', 90), ('Art', 90), ('Art', 90), ('Art', 90), ('Art', 90), ('ENT', 90), ('Nova', 90), ('Investment Trust Corporation', 90), ('TIS', 90)]"
Man AP Strategic Ltd,3870,IC,97303,90,"[('IC', 90), ('Man AG', 90), ('Man AG', 90), ('IC', 90), ('AP', 90), ('P S', 90), ('Man AG', 90), ('Cadds Man Taken Over 28/10/92', 86), ('General European Strategic Invts', 86), ('Man Group', 86)]"
OIL INSURANCE LIMITED,3871,ILD Insurance,76517,92,"[('ILD Insurance', 92), ('NS', 90), ('Capital Oil', 90), ('NC&', 90), ('Aioi Insurance', 89), ('Bodi Insurance', 89), ('Kirloskar Oil Engines', 86), ('Corpus Christi Bancshares Insurance', 86), ('Petrotech Oil and Gas', 86), ('United States Oil Sands (Non-NASDAQ OTC)', 86)]"
Man Multi-Strategy Series 3 Limited,3872,Man ZAI Industrial,2011,86,"[('Man ZAI Industrial', 86), ('Matador 3', 86), ('Agribank FCB Fixed to Floating Rate Series A Non Cumulative Stock', 86), ('Merrill Lynch Depr Pplus Floating Rate Trups Series GSC-2', 86), ('Ameriserv FTSR I 8 45% Beneficial Unsecured Securities Series A', 86), (""Chase Capital IV Capital Securities Series 'D'"", 86), ('Corporate Asset Backed Cabco Series 2002-1 Trust', 86), ('Corporate Asset Backed Cabco Series 2004-1 Trust', 86), ('Merrill Lynch Medium Term NT E Series C S and P500 Market Index', 86), ('Obliflex Class 35 (NLG Multi) Distiller Navigation', 86)]"
