Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
FEDBANK FINANCIAL SERVICES LIMITED,11677,fedbank financial services,fedbank,Security Bank,107132,85.4,fedbank financial,Financial Securities,72530,90.2,fedbank financial services,Financial Services,109572,96.39999999999999
FKp Limited,3440,fkp,fkp,FKP Property Group (Non-NASDAQ OTC),236448,83.2,fkp,FKP Property Group (Non-NASDAQ OTC),236448,83.2,fkp,FKP Property Group (Non-NASDAQ OTC),236448,83.2
GEO COAL INTERNATIONAL PTE. LTD.,17967,geo coal international pte.,geo,Geo International,54616,95.39999999999999,geo coal,Geo,109832,84.0,geo coal international,Coal International,46190,96.0
Gmac International Finance B.V.,16132,gmac international finance b.v.,gmac,GMAC Pines 7.30%,144791,88.6,gmac international,International,206505,91.8,gmac international finance,National Finance,43130,93.6
"Gome Holdings Group Co., Ltd.",6959,gome holdings group,gome,Gomero Group,119128,94.2,gome holdings,Trust Holdings,114528,91.8,gome holdings group,Trust Holdings,51235,91.8
H&R Real Estate Investment Trust,4932,h&r real estate investment,h&r,H&R Real Estate Investment Trust Staple Unit,80611,96.19999999999999,h&r real,H&R Real Estate Investment Trust Staple Unit,80611,96.19999999999999,h&r real estate,H&R Real Estate Investment Trust Staple Unit,80611,96.19999999999999
HANDELSBANKEN PLC,9908,handelsbanken,handelsbanken,Andelsbanken,5104,99.19999999999999,handelsbanken,Andelsbanken,5104,99.19999999999999,handelsbanken,Andelsbanken,5104,99.19999999999999
HETA ASSET RESOLUTION AG,2880,heta asset resolution,heta,Hetan Technologies,35215,90.2,heta asset,Theta Asset Management AS2 4.40% AUG27 ETF,150067,89.6,heta asset resolution,Asset Resolution,81360,97.19999999999999
Hitachi International Treasury Ltd,17805,hitachi international treasury,hitachi,Hitachi (SEAQ International),221867,94.39999999999999,hitachi international,International,206505,92.0,hitachi international treasury,International,206505,92.0
Hypo Real Estate International Trust I,22366,hypo real estate international i,hypo,Hypo Real Estate Holding,18553,94.2,hypo real,Hypo Real Estate Holding,18553,94.2,hypo real estate,Hypo Real Estate Holding,18553,94.2
Iaws Group PLC,2503,iaws group,iaws,Iaws Group 'A' (London),295234,92.2,iaws group,Securities Group,21982,93.39999999999999,iaws group,Securities Group,21982,93.39999999999999
IBM International Group Capital LLC,22387,ibm international group capital,ibm,IBM CAD Hedged Continental Depositary Receipts,154878,88.8,ibm international,International,206505,91.8,ibm international group,AB International Group,127814,95.19999999999999
JM FINANCIAL SERVICES LIMITED,11680,jm financial services,jm,KJMC Financial Services,102050,99.0,jm financial,KJMC Financial Services,102050,92.60000000000001,jm financial services,Financial Services,109572,98.39999999999999
Jupiter International Group PLC,9045,jupiter international group,jupiter,Jupiter National,197270,94.8,jupiter international,International,206505,93.0,jupiter international group,AB International Group,127814,96.6
KEB HANA BANK,3663,keb hana bank,keb,Keba Oil and Gas,65934,91.0,keb hana,Hana Securities,35106,89.4,keb hana bank,Hana Bank,178818,96.39999999999999
KEB HANA BANK,17817,keb hana bank,keb,Keba Oil and Gas,65934,91.0,keb hana,Hana Securities,35106,89.4,keb hana bank,Hana Bank,178818,96.39999999999999
KGI INTERNATIONAL HOLDINGS LIMITED,14840,kgi international holdings,kgi,Ykgi Holdings,114991,92.39999999999999,kgi international,Kangli International Holdings,101889,94.2,kgi international holdings,International Holdings,79284,98.39999999999999
LAND SECURITIES P L C,9031,land p l c,land,Calanda P,177803,92.6,land p,Midland Plastics,28297,92.39999999999999,land p l,Land,111227,91.39999999999999
LIN Television Corporation,21376,lin television corporation,lin,Lines Television Corporation,74366,99.19999999999999,lin television,Television,51019,91.2,lin television corporation,Vision Corporation,105724,96.39999999999999
"LYB INTERNATIONAL FINANCE III, LLC",24914,lyb international finance iii,lyb,International Molybdenum,48139,91.39999999999999,lyb international,International,206505,92.39999999999999,lyb international finance,National Finance,43130,94.2
