Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
"BBVA Bancomer, S.A. de C.V.",15571,bbva bancomer de c.v.,bbva,BBVA Bancomer Mextrac,171651,95.19999999999999,bbva bancomer,BBVA Bancomer,24637,95.19999999999999,bbva bancomer de,BBVA Bancomer,24637,95.19999999999999
"BBVA CAPITAL FINANCE, S.A.U.",8024,bbva capital finance s.a.u.,bbva,BBVA Capital Funding,15129,93.6,bbva capital,BBVA Capital Funding,15129,93.6,bbva capital finance,Capital Limited,125283,88.2
"BBVA Consumo 1, Fondo de Titulizacion de Activ",8059,bbva consumo 1 fondo de titulizacion de activ,bbva,BBVA Dow Jones STOXX Euro 50,162421,88.8,bbva consumo,NS,121444,81.8,bbva consumo 1,Mo,60623,81.8
BBVA Consumo 2 Fondo de Titulizacion de Activo,8070,bbva consumo 2 fondo de titulizacion de activo,bbva,BBVA - BMV Mexico Enlace RT Trac,173011,88.8,bbva consumo,NS,121444,81.6,bbva consumo 2,NS,121444,81.6
BBVA FINANZIA AUTOS 1 Fondo de Titulizacion de,8073,bbva finanzia autos 1 fondo de titulizacion de,bbva,BBVA Privanza International Preferred C Gibraltar ADR 1:1,142682,89.4,bbva finanzia,INA,65640,82.4,bbva finanzia autos,INA,65640,82.4
BBVA Global Finance Ltd,14716,bbva global finance,bbva,BBVA Banco Frances,80425,94.0,bbva global,Global Securities,100799,89.6,bbva global finance,Global,109885,89.6
BBVA Global Markets B.V.,16299,bbva global markets b.v.,bbva,BBVA Banco Frances,80425,90.4,bbva global,Global,109885,88.0,bbva global markets,Global Securities,100799,88.0
BBVA International Preferred S.A. Unipersonal,8050,bbva international preferred unipersonal,bbva,BBVA Privanza International Preferred B ADR 1:1,193337,93.8,bbva international,International,206505,89.8,bbva international preferred,National Trust Preferred,146042,92.39999999999999
"BBVA Senior Finance, S.A. Unipersonal",8038,bbva senior finance unipersonal,bbva,BBVA Banco Frances,80425,91.39999999999999,bbva senior,Senior,124631,86.4,bbva senior finance,Senior,124631,86.4
"BBVA Subordinated Capital, S.A. Unipersonal",8042,bbva subordinated capital unipersonal,bbva,BBVA Capital Funding,15129,92.0,bbva subordinated,Ordina,94945,85.6,bbva subordinated capital,Capital Limited,125283,86.4
BBVA U.S. Senior S.A. Unipersonal,8058,bbva u.s. senior unipersonal,bbva,BBVA (Buenos Aires),215015,91.0,bbva u.s.,BBVA (Buenos Aires),215015,64.6,bbva u.s. senior,Senior,124631,87.0
BBVA-4 PYME Fondo de Titulizacion de Activos,8047,bbva-4 pyme fondo de titulizacion de activos,bbva-4,BBVA - BMV Mexico Enlace RT Trac,173011,75.80000000000001,bbva-4 pyme,Pryme,112944,67.2,bbva-4 pyme fondo,EF On,109263,68.0
BBVA-5 FTPYME Fondo de Titulizacion de Activos,8065,bbva-5 ftpyme fondo de titulizacion de activos,bbva-5,BBVA - BMV Mexico Enlace RT Trac,173011,75.60000000000001,bbva-5 ftpyme,Pryme,112944,67.2,bbva-5 ftpyme fondo,Mondo,10233,68.0
BBVA-6 FTPYME Fondo de Titulizacion de Activos,8075,bbva-6 ftpyme fondo de titulizacion de activos,bbva-6,BBVA - BMV Mexico Enlace RT Trac,173011,75.60000000000001,bbva-6 ftpyme,Pryme,112944,67.2,bbva-6 ftpyme fondo,Fonds,109636,68.0
BCP Emisiones Latam 1 S.A.,5773,bcp emisiones latam 1,bcp,BCP Cash Component,162422,89.2,bcp emisiones,Iones,119872,87.6,bcp emisiones latam,Iones,119872,87.6
BCP Finance Company,14718,bcp finance company,bcp,BCP Finance (Frankfurt),15151,93.39999999999999,bcp finance,BCP Finance (Frankfurt),15151,93.39999999999999,bcp finance company,Trust Company,4284,90.8
BMW (UK) Capital plc,9034,bmw (uk) capital,bmw,BMW (Bucharest),223985,91.6,bmw (uk),BMW,87374,86.4,bmw (uk) capital,Security Capital,200314,92.2
BMW Australia Finance Limited,3264,bmw australia finance,bmw,BMW Industries,99219,91.39999999999999,bmw australia,Austral,177447,90.0,bmw australia finance,Austral,177447,90.0
"BMW Automotive Finance (China) Co., Ltd.",6977,bmw automotive finance (china),bmw,BMW Preference (XETRA),162443,90.0,bmw automotive,Motive,74996,86.6,bmw automotive finance,Consumer Automotive Finance,128982,86.8
"BMW Bank of North America, Inc.",22137,bmw bank of north america,bmw,BMW (SEAQ International),221266,89.8,bmw bank,Security Bank,57405,85.6,bmw bank of,Security Bank,200310,85.6
