Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
GMR Corporate Affairs Private Limited,12010,gmr corporate affairs private,gmr,GMR Infrastructure,97634.0,,,GMR Power and Urban Infra (Dummy),26303,99.48,GMR Power and Urban Infra,100825,99.48,GMR Infrastructure,97634,99.43,GMR Infrastructure (Dummy),167089,99.43,GMR Infrastructure (National India),221758,99.43,International CGMRT of Distribution for Automobile Holdings,110533,99.43,Wist Efct Gold Plus GMR Street Fund,192097,99.28,Tele Atlas AGM,170824,79.57000000000001,KON Econosto AGM,19285,79.51,Scala Business AGM,21892,79.5
GMR Energy Limited,11551,gmr energy,gmr,GMR Infrastructure,97634.0,,,GMR Infrastructure,97634,99.43,GMR Infrastructure (Dummy),167089,99.43,GMR Infrastructure (National India),221758,99.43,GMR Power and Urban Infra (Dummy),26303,99.4,GMR Power and Urban Infra,100825,99.4,Wist Efct Gold Plus GMR Street Fund,192097,99.27,International CGMRT of Distribution for Automobile Holdings,110533,99.26,Transdigm Group,133140,79.52000000000001,Transdigm Group (Mexico),219096,79.52000000000001,Transdigm Group (Swiss Stock Exchange),228960,79.52000000000001
GMR Highways Limited,11627,gmr highways,gmr,GMR Infrastructure,97634.0,,,GMR Infrastructure,97634,99.47,GMR Infrastructure (Dummy),167089,99.47,GMR Infrastructure (National India),221758,99.47,GMR Power and Urban Infra (Dummy),26303,99.32,GMR Power and Urban Infra,100825,99.32,International CGMRT of Distribution for Automobile Holdings,110533,99.25,Wist Efct Gold Plus GMR Street Fund,192097,99.21,Aradigm,52360,79.52000000000001,Aradigm (Frankfurt),276706,79.52000000000001,Aradigm (Stuttgart),276707,79.52000000000001
GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,11674,gmr hyderabad airport,gmr,GMR Infrastructure,97634.0,,,GMR Power and Urban Infra (Dummy),26303,99.52,GMR Power and Urban Infra,100825,99.52,GMR Infrastructure,97634,99.41,GMR Infrastructure (Dummy),167089,99.41,GMR Infrastructure (National India),221758,99.41,International CGMRT of Distribution for Automobile Holdings,110533,99.39,Wist Efct Gold Plus GMR Street Fund,192097,99.25,Aradigm,52360,79.49000000000001,Aradigm (Frankfurt),276706,79.49000000000001,Aradigm (Stuttgart),276707,79.49000000000001
GMR LOGISTICS PARK PRIVATE LIMITED,12022,gmr logistics park private,gmr,GMR Infrastructure,97634.0,,,International CGMRT of Distribution for Automobile Holdings,110533,99.48,GMR Infrastructure,97634,99.45,GMR Infrastructure (Dummy),167089,99.45,GMR Infrastructure (National India),221758,99.45,GMR Power and Urban Infra (Dummy),26303,99.43,GMR Power and Urban Infra,100825,99.43,Wist Efct Gold Plus GMR Street Fund,192097,99.33,Slavonija IGM,12320,79.51,KON Econosto AGM,19285,79.49000000000001,Scala Business AGM,21892,79.47
GMR Pochanpalli Expressways Private Limited,11584,gmr pochanpalli expressways private,gmr,GMR Infrastructure,97634.0,,,GMR Power and Urban Infra (Dummy),26303,99.47,GMR Power and Urban Infra,100825,99.47,GMR Infrastructure,97634,99.42,GMR Infrastructure (Dummy),167089,99.42,GMR Infrastructure (National India),221758,99.42,International CGMRT of Distribution for Automobile Holdings,110533,99.34,Wist Efct Gold Plus GMR Street Fund,192097,99.29,Scala Business AGM,21892,79.54,Tele Atlas AGM,170824,79.49000000000001,KON Econosto AGM,19285,79.47
GMR Rajahmundry Energy Limited,11588,gmr rajahmundry energy,gmr,GMR Infrastructure,97634.0,,,GMR Power and Urban Infra (Dummy),26303,99.51,GMR Power and Urban Infra,100825,99.51,GMR Infrastructure,97634,99.45,GMR Infrastructure (Dummy),167089,99.45,GMR Infrastructure (National India),221758,99.45,International CGMRT of Distribution for Automobile Holdings,110533,99.34,Wist Efct Gold Plus GMR Street Fund,192097,99.28,Transdigm Group,133140,79.52000000000001,Transdigm Group (Mexico),219096,79.52000000000001,Transdigm Group (Swiss Stock Exchange),228960,79.52000000000001
GMR WARORA ENERGY LIMITED,11573,gmr warora energy,gmr,GMR Infrastructure,97634.0,,,GMR Power and Urban Infra (Dummy),26303,99.52,GMR Power and Urban Infra,100825,99.52,GMR Infrastructure,97634,99.46,GMR Infrastructure (Dummy),167089,99.46,GMR Infrastructure (National India),221758,99.46,International CGMRT of Distribution for Automobile Holdings,110533,99.34,Wist Efct Gold Plus GMR Street Fund,192097,99.27,Scala Business AGM,21892,79.54,Aradigm,52360,79.53,Aradigm (Frankfurt),276706,79.53
GMT BOND ISSUER LIMITED,16702,gmt bond issuer,gmt,GMT Global,119101.0,,,Tatton Asset MGMT,127152,99.44,Tatton Asset MGMT (Frankfurt),274993,99.44,GMT Global,119101,99.4,Dispatch MGMT Services (Munich),294371,99.38,Learmonth and Burchett MGMT SY Sponsored ADR,207116,99.34,Computer MGMT Sciences,71432,99.32,Professionals Insurances Company MGMT,76194,99.32,Fifth Street Asset MGMT,54276,99.32,Science MGMT Corporation,76690,99.31,Prairie Instl FDS Cash MGMT Fund Mufd,79782,99.31
"GNB - Companhia de Seguros de Vida, S.A.",17067,gnb  companhia de seguros de vida,gnb,GNB Financial Services,54739.0,,,GNB Financial Services,54739,99.51,GNBS Engineering,119102,99.41,Regnbagen Fastighets A,43534,99.4,WGNB 9% Series A Convertible PRF,141818,99.4,Regnbagen Fastighets BF,180450,99.36,Regnbagen Fastighets B Dead 04/01/93 Use 504042,180431,99.35,Finamex MEX Standard and Poor's BMV Int UMS SVRGNBD 5-10Y,181699,99.33,Finamex MEX Standard and Poor's BMV (Mexico) Int UMS SVRGNBD 5-10Y,219635,99.33,Finamex MEX Standard and Poor's BMV (London) Int UMS SVRGNBD 5-10Y,252962,99.33,No Signboard Holdings,121379,99.31
