Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
EAGLEBANK,24038,eaglebank,eaglebank,,,,,Eagle Holdings,41930,99.71,Eagle,46749,99.71,Eagle Trust,46752,99.71,Eagle (Non-NASDAQ OTC),236004,99.71,Eagle (Berlin),300647,99.71,GL,17995,99.36,GL,34874,99.36,EB Inc,64420,99.36,EA Holdings,109204,99.36,NK,121377,99.36
Eaglemark Savings Bank,24985,eaglemark savings,eaglemark,,,,,Eagle Holdings,41930,99.45,Eagle,46749,99.45,Eagle Trust,46752,99.45,Eagle (Non-NASDAQ OTC),236004,99.45,Eagle (Berlin),300647,99.45,Mark Holdings,55841,99.38,Mark Holdings,207461,99.38,Mark Holdings (Berlin),304045,99.38,Ark,32366,99.3,GL,17995,99.21
EARLS FOUR LIMITED,14676,earls four,earls,,,,,Pearlstreet,3244,99.57000000000001,Pearlstreet (Berlin),288504,99.57000000000001,Pearlstreet (XETRA),314580,99.57000000000001,Atlas Pearls,81381,99.45,Atlas Pearls (Non-NASDAQ OTC),234427,99.45,Arafura Pearls,263,99.42,Arafura Pearls (Berlin),284308,99.42,AR,24258,99.33,EA Holdings,109204,99.33,LS,115894,99.33
Earls Twelve Limited,14878,earls twelve,earls,,,,,Pearlstreet,3244,99.7,Pearlstreet (Berlin),288504,99.7,Pearlstreet (XETRA),314580,99.7,Atlas Pearls,81381,99.5,Atlas Pearls (Non-NASDAQ OTC),234427,99.5,Arafura Pearls,263,99.38,Arafura Pearls (Berlin),284308,99.38,Egana Jewellery and Pearls,72135,99.37,Egana Jewellery and Pearls,221581,99.37,Cross Pacific Pearls,6948,99.31
"EarthLink, Inc.",19418,earthlink,earthlink,Earthlink Holdings,59740.0,,,Earthlink Holdings,59740,100.0,Earthlink Holdings (Frankfurt),278313,100.0,Earthlink (XETRA),305661,100.0,Earth,106485,99.71,Earthlink Network,72069,99.69,Earthlink Network (Frankfurt),294456,99.69,Link Holdings,36554,99.62,Link Holdings,102272,99.62,Link Group,130496,99.62,Art,24322,99.5
"EarthLink, LLC",23804,earthlink,earthlink,Earthlink Holdings,59740.0,,,Earthlink Holdings,59740,100.0,Earthlink Holdings (Frankfurt),278313,100.0,Earthlink (XETRA),305661,100.0,Earth,106485,99.71,Earthlink Network,72069,99.69,Earthlink Network (Frankfurt),294456,99.69,Link Holdings,36554,99.62,Link Holdings,102272,99.62,Link Group,130496,99.62,Art,24322,99.5
EAST BOSTON SAVINGS BANK,24143,east boston savings,east,East Buildtech,100236.0,Engel East Europe (Non-NASDAQ OTC),236163.0,East West Banking,109213,99.67,Eastover Bank Savings Jack,64414,99.65,East Stone Acquisition,136386,99.63,East West Agro,92385,99.61,Easton Minerals,7441,99.59,Eastern Housing,78994,99.59,Eastern Housing,82666,99.59,Great Eastern Shipping Company,97650,99.59,Great Eastern Shipping (National India),221777,99.59,East Prospect State Bank,25681,99.58
EAST SLOPE RESIDENCIES PLC,9821,east slope residencies,east,East Buildtech,100236.0,Engel East Europe (Non-NASDAQ OTC),236163.0,East Star Resources,125611,99.63,East Star Resources (Frankfurt),269718,99.63,Eastern Resources,53921,99.62,Eastern Resources,82671,99.62,Eastern Resources (Berlin),269719,99.62,East Delta Resources,53918,99.62,East West Properties,118444,99.62,East Delta Resources (Frankfurt),278316,99.62,East Delta Resources (XETRA),305663,99.62,East Energy Resources,82660,99.6
Eastern Air Overseas (Hong Kong) Corporation L,10462,eastern air overseas corporation l,eastern,Eastern,136387.0,Eastern Platinum (Non-NASDAQ OTC),245194.0,North Eastern Carrying Corporation,103079,99.68,Eastern Overseas,25686,99.64,Far Eastern Air Transportes,42101,99.62,Eastern Star Real Estate,118450,99.59,Eastern Air Logistics 'A',88539,99.58,Eastern Air (SSE Connect Equities) Logistics 'A',212339,99.58,Eastern Highlands Plantations,46976,99.57000000000001,Eastern Environment Solutions (Stuttgart),278318,99.57000000000001,Eastern Star Real Estate NVDR,174968,99.57000000000001,Eastern Star Real Estate NVDR (Berlin),291209,99.57000000000001
"EASTERN GAS TRANSMISSION AND STORAGE, INC.",25164,eastern gas transmission and storage,eastern,Eastern,136387.0,Eastern Platinum (Non-NASDAQ OTC),245194.0,Texas Eastern Transmission Limited Partnership,201123,99.65,Eastern Sugar and Industries,100241,99.62,Eastern Transvaal ADR (London),46974,99.6,Eastern Star Real Estate,118450,99.6,Eastern Granites,25683,99.58,Eastern Gold Australian,1501,99.58,Eastern Pacific Industrial,25687,99.58,Eastern Silk Industries,100240,99.58,Southeastern Savings and Loans,68255,99.58,Eastern Transvaal (United States Dollar),64631,99.57000000000001
