Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
B2W Digital Lux S.a r.l.,15409,Digital Security,45493,90,"[('Digital Security', 90), ('Digit Inc', 90), (""Beijing Zhongkehaixun Digital 'A'"", 86), ('Hwaseung R&A', 86), (""Banco Intercontinental Espanol 'R'"", 86), (""Valiant 'R'"", 86), ('Bi POC et L Industrie de Cdiv SA', 86), ('Anhyp R', 86), ('BCI R', 86), ('Century Properties Fund Units L P XVI', 86)]"
IWG Group Holdings S.a r.l.,15410,Holdings,169490,90,"[('Holdings', 90), ('Holdings', 90), ('Capital Group Holdings', 90), ('Securities Group', 90), ('Securities Group', 90), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Securities Group', 90), ('Corporation Holding', 90)]"
Movida Europe S.A.,15412,Mo,41637,90,"[('Mo', 90), ('Vida', 90), ('Europe', 90), ('Da Securities', 90), ('Incorporated (Europe)', 90), ('Clean Industry Solutions Holding Europe', 86), ('Automotive Components Europe', 86), ('Europe Auto Industry', 86), ('Edisun Power Europe N', 86), ('Unit Energy Europe (XETRA)', 86)]"
ENERGEAN ISRAEL FINANCE LTD,15413,Israel Corporation Limited,10840,90,"[('Israel Corporation Limited', 90), ('ERG', 90), ('ERG', 90), ('AEL', 90), ('GEA', 90), ('INA', 90), ('Energean', 90), ('L&F', 90), ('ERG', 90), ('SRA', 90)]"
TRATON Finance Luxembourg S.A.,15414,Traton,55487,90,"[('Traton', 90), ('Aton', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Canterbury SRY Hills Community Finance', 86), ('Ipdc Finance', 86)]"
China Everbright Bank Company Limited - Luxemb,15415,T Bank,9088,90,"[('T Bank', 90), ('China Everbright', 90), ('Everbright Capital', 90), ('Trust Company', 90), ('Air Asia Company', 86), ('Danish Aerospace Company', 86), ('A Baumann and Company', 86), ('China Southern Power Grid Energy Efficiency and Clean Energy A', 86), ('China Network Media', 86), ('GC China Turbine', 86)]"
JBS Finance Luxembourg S.a r.l.,15416,Finance Leasing,402,86,"[('Finance Leasing', 86), ('Geo Finance', 86), ('Hwaseung R&A', 86), ('N R B Bearings', 86), ('B C L Forgings', 86), (""Valiant 'R'"", 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Ipdc Finance', 86)]"
SEGRO Capital S.a r.l.,15417,Segro,94195,90,"[('Segro', 90), ('L G Balakrisnan and Brothers', 86), ('N R B Bearings', 86), ('B C L Forgings', 86), (""Banco Intercontinental Espanol 'R'"", 86), (""Banco Comercial Portugues 'R'"", 86), ('Bi POC et L Industrie de Cdiv SA', 86), ('Michigan Community Bancorp L', 86), ('Bank Langnau R', 86), ('BCI R', 86)]"
Highland Holdings S.a r.l.,15418,Holdings,169490,90,"[('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Land', 90), ('LDI Corporation', 90), ('Corporation Holding', 90), ('Holdings', 90), ('Cadre Holdings', 86), ('China Aircraft Leasing Group Holdings', 86)]"
AS DNB banka,15419,DNB Bank,3411,90,"[('DNB Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('AB Banka', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('S&D', 90)]"
MAROC LEASING S.A.,15423,AR,5551,90,"[('AR', 90), ('ASI', 90), ('Capital Leasing', 90), ('ARO', 90), ('Aroc', 90), ('Capital Leasing', 90), ('Maruko Leasing', 89), ('China Aircraft Leasing Group Holdings', 86), ('California First Leasing', 86), ('People S Leasing and Financial Services', 86)]"
Societe Generale Marocaine de Banques SA,15444,Societe Generale,136793,90,"[('Societe Generale', 90), ('Gener', 90), ('General', 90), ('Genera', 90), ('General', 90), ('Societe Generale', 90), ('Societe Generale', 90), ('General', 90), ('De Molen', 86), (""Sanluis de 'A'"", 86)]"
WAFASALAF S.A.,15445,Sala,43980,90,"[('Sala', 90), ('WA', 90), ('ALA', 90), ('W-W Capital', 86), ('F&F', 86), ('Salma', 72), ('Fasil', 72), ('Fasma', 72), ('Ayala', 72), ('Scala', 72)]"
