Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
First National Bank of Namibia Limited,16036,first national of namibia,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First National Financial,80584,99.82000000000001,First National Financial (Non-NASDAQ OTC),245544,99.82000000000001,First National Financial (Frankfurt),263130,99.82000000000001,First National of Nebraska,127734,99.82000000000001,First National Bank Modaraba,140048,99.79,First National Bank Scotia,72632,99.78,First National Bank of Botswana,83103,99.78,First National Bank Wyoming,72633,99.77,First National California,64824,99.76,First National Alarmcap,158212,99.75
First Puerto Rico Tax Advantaged Target Maturi,17018,first puerto rico tax advantaged target maturi,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First Trust Tax Advantage Preferred Income Fund,144576,99.57000000000001,First Trust Tax Advantage Preferred Income Fund,236441,99.57000000000001,First Trust Multi- Manager Large Growth ETF,186317,99.56,First Asset Core Balanced ETF Advisor,158182,99.55,First Patriot Bankshares Corporation,72641,99.54,First Federal Savings Bank Decatur,64798,99.53,First National Bank Spangler Paris,69497,99.53,First Asset Core Balanced ETF,158181,99.53,First Trust Enhanced Short Maturity ETF,186560,99.53,First Trust Enhanced Short Maturity ETF (Berlin),256001,99.53
First Securities ASA,16553,first asa,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First Asia Holdings,54304,99.95,First USA,195701,99.89,First Data,64791,99.84,First Data,195656,99.84,First Data (Frankfurt),294781,99.84,First Data (XETRA),305929,99.84,First Coastal,79088,99.82000000000001,First AU,83095,99.82000000000001,First AU (Non-NASDAQ OTC),245536,99.82000000000001,First Banks,64773,99.8
"FIRST SENTRY BANK, INC.",22111,first sentry,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First Sensor,92727,99.83,First Sensor (XETRA),92728,99.83,First Sensor (Non-NASDAQ OTC),236425,99.83,Firstenergy,133209,99.78,Firstenergy (Mexico),217660,99.78,Firstenergy (MIC),224533,99.78,Firstenergy (Frankfurt),263146,99.78,Firstenergy (XETRA),263147,99.78,First Metro Investment,34602,99.78,First Metro Investment,178528,99.78
FIRST SOUTH PREFERRED TRUST I,21887,first south preferred i,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First International Computer Preferred,178527,99.81,First Executive Preferred F,195660,99.76,First Executive Preferred G,195661,99.76,First Lehigh Preferred 5%,144553,99.75,First Southern Bancorp Preferred 'A',205304,99.75,First Community Preferred Series A,186252,99.74,First Community Preferred Series B,186253,99.74,First Source Capital Trust I Trust Preferred Securities %,142123,99.74,First City Trust Preferred 8.75%,158205,99.73,First Commerce Preferred %,195654,99.73
First Tennessee Bank National Association,21800,first tennessee national association,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First National Bank Scotia,72632,99.67,First National California,64824,99.66,First National Bank Gallitizin,69492,99.66,First National Horizon,195683,99.66,First Federal Savings and Loans Association,64795,99.66,First National Bank Missoula Mount,54346,99.65,First Investments Bond Appreciation,64813,99.65,First Citizens National Bank Up Sndky,129475,99.65,First Federal Savings and Loan Association E,72598,99.65,First Citizens Financial Corporation,72583,99.64
First Tennessee Capital II,21899,first tennessee capital ii,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First Merchants Capital Trust I,72621,99.75,First Preferred Capital Trust III,144563,99.75,First Agate Capital,54299,99.71,First Preferred Trust Capital Unit,144565,99.7,First Star Capital,7936,99.68,First Federal Capital,72600,99.68,First Bitcoin Capital,129472,99.68,First Federal Capital (Berlin),300939,99.68,First Capital International,54309,99.67,First Capital Holdings,72560,99.67
First Western Capital Trust I,21522,first western capital i,first,First,186246.0,First Tellurium (Non-NASDAQ OTC),245551.0,First Star Capital,7936,99.83,First Merchants Capital Trust I,72621,99.79,First Western Financial,136601,99.78,First Western (Frankfurt) Financial,263144,99.78,First Federal Capital,72600,99.77,First Federal Capital (Berlin),300939,99.77,First Agate Capital,54299,99.76,First Preferred Capital Trust III,144563,99.76,First Preferred Trust Capital Unit,144565,99.75,First Western Bancorp,69502,99.73
FirstLight Hydro Generating Company,21685,firstlight hydro generating,firstlight,,,,,First International,1741,99.31,Light,2552,99.31,First Holdings,23848,99.31,First Finance,34597,99.31,First Securities,34608,99.31,First,54297,99.31,First Security,54359,99.31,Security First Bank,57407,99.31,First Security Group,59924,99.31,First Security,72646,99.31
FLCT TREASURY PTE. LTD.,17994,flct treasury pte.,flct,,,,,LCT Holdings,36460,99.29,FLC Group,125721,99.29,LCT Holdings (Non-NASDAQ OTC),237716,99.29,LCT Holdings (Frankfurt),279915,99.29,CT Holdings,53615,99.2,T Bank,22692,99.11,C Holdings,24873,99.11,F Investment Trust Group,125685,99.11,CTA,71644,79.49000000000001,CTR Holdings,99935,79.49000000000001
