Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"Banco Popular Portugal, S.A.",17059,popular portugal,popular,Popular,134863.0,Banco Popular Espanol (Non-NASDAQ OTC),234536.0,Banco Popular Espanol,15019,99.71,Banco Popular (BRN) Espanol,227207,99.71,Banco Popular Espanol (Ireland),231634,99.71,Banco Popular Espanol (Non-NASDAQ OTC),234536,99.71,Banco Popular Espanol,276979,99.71,Banco Popular Espanol (Lisbon),284550,99.71,Banco Popular Espanol (XETRA),284553,99.71,Banco Popular Espanol (Paris-SBF),293462,99.71,Banco Popular Espanol (VIRT-X),293463,99.71,Banco Popular Espan (Mexico),221169,99.69
BANCO PROCREDIT COLOMBIA S.A.,7318,procredit colombia,procredit,Procredit Holding,95183.0,Procredit Holding (Non-NASDAQ OTC),248155.0,Procredit Holding,95183,99.74,Procredit Holding (XETRA),95184,99.74,Procredit Holding (Non-NASDAQ OTC),248155,99.74,DIT Group,100130,99.29,CRE,108852,99.29,OCR Group,112387,99.29,DIT Group (Temp),166336,99.29,CRE (Non-NASDAQ OTC),235649,99.29,DIT Group (Stuttgart),278205,99.29,IT,27121,99.2
Banco Rabobank International Brasil S.A.,4149,rabobank brasil,rabobank,Rabobank Deutschland,21415.0,,,Rabobank Groep,21416,99.69,Rabobank Deutschland,21415,99.63,Rabobank Capital Funding Trust I 7% Non Cumulative Guaranteed Preferred Shares,146788,99.28,NK,121377,99.24,RA International Group,126784,99.24,K Group Holdings,101827,99.12,O-Bank,115989,99.12,AB Banka,4729,88.61,Banka (India),24603,88.61,Banks (Sidney C),45255,88.61
"Banco Sabadell, S.A., Institucion de Banca Mul",15675,sabadell institucion de banca mul,sabadell,Banco de Sabadell,87590.0,Banco de Sabadell (Non-NASDAQ OTC),244006.0,Banco de Sabadell Unsponsored ADR 1:2,184614,99.53,Banco de Sabadell (Stuttgart) Bonus Rights,276972,99.46,Banco de Sabadell (Munich) Bonus Rights,284543,99.46,Banco de Sabadell Bonus Rights,284544,99.46,Banco de Sabadell Bonus Rights,284545,99.46,Banco de Sabadell (Munich) ADR 1:2,255152,99.42,Aguas de Sabadell B,14294,99.38,Banco de Sabadell,87590,99.36,Banco de Sabadell (Mexico),216850,99.36,Banco de Sabadell (Mexico),221168,99.36
BANCO SAFRA (CAYMAN ISLANDS) LIMITED,14664,safra,safra,Safra Republic,79882.0,,,Safran,87400,99.91,Safran,170169,99.91,Safran (Mexico),218731,99.91,Safran (Swiss Stock Exchange),228576,99.91,Safran (Non-NASDAQ OTC),248528,99.91,Safran (Frankfurt),274140,99.91,Safran (Milan),274141,99.91,Safran (Vienna Stock Exchange),274142,99.91,Safran (XETRA),274143,99.91,Safran (Frankfurt),296897,99.91
BANCO SAFRA S.A.,4088,safra,safra,Safra Republic,79882.0,,,Safran,87400,99.91,Safran,170169,99.91,Safran (Mexico),218731,99.91,Safran (Swiss Stock Exchange),228576,99.91,Safran (Non-NASDAQ OTC),248528,99.91,Safran (Frankfurt),274140,99.91,Safran (Milan),274141,99.91,Safran (Vienna Stock Exchange),274142,99.91,Safran (XETRA),274143,99.91,Safran (Frankfurt),296897,99.91
Banco Safra S/A,15382,safra s/a,safra,Safra Republic,79882.0,,,Safran ADP,170170,99.74,Safran,87400,99.67,Safran,170169,99.67,Safran (Mexico),218731,99.67,Safran (Swiss Stock Exchange),228576,99.67,Safran (Non-NASDAQ OTC),248528,99.67,Safran (Frankfurt),274140,99.67,Safran (Milan),274141,99.67,Safran (Vienna Stock Exchange),274142,99.67,Safran (XETRA),274143,99.67
Banco Safra SA (Grand Cayman Branch),15012,safra,safra,Safra Republic,79882.0,,,Safran,87400,99.91,Safran,170169,99.91,Safran (Mexico),218731,99.91,Safran (Swiss Stock Exchange),228576,99.91,Safran (Non-NASDAQ OTC),248528,99.91,Safran (Frankfurt),274140,99.91,Safran (Milan),274141,99.91,Safran (Vienna Stock Exchange),274142,99.91,Safran (XETRA),274143,99.91,Safran (Frankfurt),296897,99.91
Banco Santander de Negocios Colombia S.A,7343,santander de negocios colombia,santander,Santander,11962.0,Banco Santander (Non-NASDAQ OTC),244007.0,Santander Madrilena de Inversiones Mobiliarias,21836,99.61,Banco Santander Rio 'B',661,99.6,Banco Santander Mexicano A,24780,99.6,Santander Overseas Bank A,67926,99.6,Banco Santander Mexicano B,173047,99.6,Banco Santander Rio (Non-NASDAQ OTC) 'B',234540,99.6,Banco Santander Dead,293472,99.59,Santander Cartera Mobiliaria,21834,99.59,Santander Inversiones Inverjota,21835,99.59,Santander Finance Preferred Series B,200202,99.59
"Banco Santander de Negocios Portugal, S.A.",17045,santander de negocios portugal,santander,Santander,11962.0,Banco Santander (Non-NASDAQ OTC),244007.0,Santander Inversiones Inverjota,21835,99.62,Santander Consumer USA Holdings,61222,99.62,Santander Consumer USA Holdings,281663,99.62,BN Santander der Bonus Rights,284807,99.61,Santander Bancorp,61221,99.6,Santander Bancorp (Frankfurt),281662,99.6,Santander Bancorp (Madrid),289083,99.6,Santander Bancorp (XETRA),308187,99.6,Banco Santander Mexicano A,24780,99.6,Santander Overseas Bank A,67926,99.6
