Target Name,Target No.,preprocessed,Focus Text,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
CIBC BANK USA,24845,cibc usa,cibc,Bcibc Equity,193344,99.6,IBC Group,47990,99.55,Cibc International Equity ETF,154049,99.52,Cibc MTC U S Equity ETF (CAD-Hedged),154051,99.45,Bcibc Blue Chip Fund,193343,99.43,Cibc U S Equity Index ETF,154063,99.42,Cibc International Equity Index ETF,154050,99.41,Bcibc Bond Index Fund,193342,99.41,CI Group,46079,99.4,CI Company SA,108653,99.4
CJ FOODVILLE CORP.,14519,cj foodville corp.,cj,CJ Seafood,117833,99.5,CJ Seafood Preferred,174832,99.47,CJ Bioscience,117830,99.45,CJ Cheiljedang 3PB,177961,99.44,CJ Cheil Jedang 1P,174829,99.44,CJ Cheil Jedang 2PB,177960,99.43,CJL Capital,6546,99.41,CJL Capital Inc,6547,99.41,CJ Internet,33392,99.41,CJ Logistics,115501,99.4
"CJ LiveCity Co.,Ltd.",14620,cj livecity co.ltd.,cj,CJL Capital,6546,99.47,CJL Capital Inc,6547,99.47,CJ Century Logistics Holdings,108677,99.46,CJ Logistics,115501,99.45,CJ Bioscience,117830,99.44,CJ Rural de Ahyct Los Andes,108678,99.43,CJ Cheiljedang,115499,99.42,CJ Seafood,117833,99.41,Inwestycje Alternatywne Profit,35777,99.41,CJ Internet,33392,99.4
"CJ OliveNetworks Co., Ltd",14482,cj olivenetworks,cj,CJ Internet,33392,99.59,CJ Bioscience,117830,99.55,CJ Logistics,115501,99.5,KFCJ Borac Prijedor STJ,2426,99.46,CJ ENM,115500,99.45,CJ Entertainment,33391,99.44,CJ Century Logistics Holdings,108677,99.44,CJ Preference Shares,174831,99.44,CJS-PLV,15976,99.43,CJ Preferred,174830,99.43
CK PROPERTY FINANCE (MTN) LIMITED,14989,ck property,ck,CKG Properties,15977,99.8,Black Sea Property,91603,99.76,Black Sea Property,108312,99.76,Black Sea Property (Stuttgart),268512,99.76,Stock Properties,113894,99.74,CK Power,115502,99.74,Trackhedge Property,181183,99.73,Jannock Properties,159199,99.69,Wheelock Properties,31625,99.67,Wheelock Properties (Singapore),40733,99.67
COTT CORPORATION,5381,cott corporation,cott,Scott Corporation,3779,99.97,Westcott Communications,69297,99.62,Scottish National Trust PLC,50379,99.61,Scottish National Trust PLC,183459,99.61,Cotton Trading (Debbah and Company),16323,99.6,Scottish Radio Holdings,50382,99.6,Scott Cord Labs,57366,99.58,Namoi Cotton (Non-NASDAQ OTC) Company-Operative,238322,99.58,Namoi Cotton (Berlin) Company-Operative,288043,99.58,Namoi Cotton (XETRA) Company-Operative,313832,99.58
Cott Corporation,4720,cott corporation,cott,Scott Corporation,3779,99.97,Westcott Communications,69297,99.62,Scottish National Trust PLC,50379,99.61,Scottish National Trust PLC,183459,99.61,Cotton Trading (Debbah and Company),16323,99.6,Scottish Radio Holdings,50382,99.6,Scott Cord Labs,57366,99.58,Namoi Cotton (Non-NASDAQ OTC) Company-Operative,238322,99.58,Namoi Cotton (Berlin) Company-Operative,288043,99.58,Namoi Cotton (XETRA) Company-Operative,313832,99.58
Drax Holdings Limited,9086,drax,drax,Drax Group,124581,100.0,Drax Group (Non-NASDAQ OTC),245145,100.0,Drax Group (Frankfurt),269673,100.0,Drax Group (XETRA),311483,100.0,Quadrax,209088,99.73,DR Finance,109161,99.67,RA International Group,126784,99.67,Drax Group ADR 1:2,185776,99.5,Draxis Health,7328,99.47,Draxis Health (Nasdaq Non-National),235940,99.47
E.ON International Finance B.V.,16198,e.on b.v.,e.on,Company On,1218,99.36,O-Bank,115989,99.2,ONA,37748,79.53,Finance One,42130,79.53,Bank One,62826,79.53,ONG Holdings,75588,79.53,ONI International,75591,79.53,One Bank,85136,79.53,One,112488,79.53,Finance One (Munich),221662,79.53
