Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
M&T Capital Trust I,21358,m&t capital i,m&t,M&T Bank (MIC),225050,90.4,m&t capital,Security Capital,200314,94.0,m&t capital i,Security Capital,76742,94.0
MONY Life Insurance Company,21423,mony life insurance company,mony,Mony Life Insurance Company of America,66631,96.6,mony life,Mony Life Insurance Company of America,66631,96.6,mony life insurance,Mony Life Insurance Company of America,66631,96.6
"New York & Company, Inc.",20349,new york & company,new,News World Wu Company,121307,95.39999999999999,new york,New York Times Company 'B',198573,95.39999999999999,new york &,New York Times Company 'B',198573,87.39999999999999
"Nissan Financial Services Co., Ltd.",13523,nissan financial services,nissan,Nissan France,20555,92.6,nissan financial,Financial Trust,64753,90.6,nissan financial services,Financial Services,109572,96.8
Nomura Bank International plc,9052,nomura bank international,nomura,Nomura Holdings (SEAQ International),222411,94.39999999999999,nomura bank,Nomura,112291,87.8,nomura bank international,Bank International,221176,96.8
Nordic Investment Bank,8215,nordic investment bank,nordic,Nordic Investmen,28902,96.8,nordic investment,Nordic Investmen,28902,96.8,nordic investment bank,Nordic Investmen,28902,96.8
"ONEMAIN FINANCIAL HOLDINGS, INC.",24015,onemain financial holdings,onemain,Onemain Holdings,134764,95.19999999999999,onemain financial,Securities Financial,57376,90.2,onemain financial holdings,Financial Trust,64753,90.2
"PECO Energy Capital, L.P.",21464,peco energy capital,peco,Peco Energy Company,75847,95.8,peco energy,Peco Energy Company,75847,95.8,peco energy capital,Peco Energy Capital Trust I Preferred Trust Receipt,146507,93.2
"PICO Holdings, Inc.",20392,pico holdings,pico,Pico Holdings (XETRA),307805,95.19999999999999,pico holdings,Holdings,206120,95.19999999999999,pico holdings,Holdings,206120,95.19999999999999
"PMX INDUSTRIES, INC.",21533,pmx industries,pmx,PMX Communities,56834,92.39999999999999,pmx industries,AG Industries,32001,96.6,pmx industries,AG Industries,32001,96.6
PQ GROUP HOLDINGS INC.,24540,pq group holdings,pq,Umpqua Holdings,135209,95.0,pq group,Q Group,49941,91.6,pq group holdings,PS Group Holdings,38450,94.0
QR National Limited,3496,qr national,qr,QR National (XETRA),314921,94.6,qr national,National,10379,96.8,qr national,National,10379,96.8
ROAD MANAGEMENT CONSOLIDATED PLC,8995,road management consolidated,road,Lang Son Road Management and Consolidated,126211,96.19999999999999,road management,Lang Son Road Management and Consolidated,126211,96.19999999999999,road management consolidated,Consolidated Securities,99851,92.0
S&T Bank,22229,s&t bank,s&t,S&T Bancorp,134965,94.8,s&t bank,T Bank,22692,97.19999999999999,s&t bank,T Bank,22692,97.19999999999999
S.P.C.M. SA,8472,s.p.c.m.,s.p.c.m.,PCM,60930,64.6,s.p.c.m.,PCM,60930,64.6,s.p.c.m.,PCM,60930,64.6
"Sabadell International Equity, Ltd",14738,sabadell international equity,sabadell,Banco de Sabadell (Vienna Stock Exchange),268227,89.8,sabadell international,International,206505,92.39999999999999,sabadell international equity,International,206505,92.39999999999999
Sable International Finance Ltd,14839,sable international finance,sable,Sableexploration and MI Ning,122231,92.39999999999999,sable international,International,206505,93.0,sable international finance,National Finance,112023,94.8
SB ONE BANK,24675,sb one bank,sb,SB One Bancorp,61237,96.0,sb one,SB One Bancorp,61237,96.0,sb one bank,One Bank,85136,96.8
"SBA Telecommunications, Inc.",22824,sba telecommunications,sba,SBA Communications,133084,98.0,sba telecommunications,SA Telecommunications,76612,98.0,sba telecommunications,SA Telecommunications,76612,98.0
"SBA TELECOMMUNICATIONS, LLC",23938,sba telecommunications,sba,SBA Communications,133084,98.0,sba telecommunications,SA Telecommunications,76612,98.0,sba telecommunications,SA Telecommunications,76612,98.0
