Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
SF Holding Investment 2021 Limited,7276,Investment Trust Corporation,48177,90,"[('Investment Trust Corporation', 90), ('Trust Invest', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Corporation Holding', 90), ('AKB Corporation Holding', 86), ('AKG Holding', 86), ('Audant Investment', 86), ('Boeblingen Investment Hong Kong and China', 86)]"
"Gas Natural del Oriente S.A., ESP",7277,Gas Natural,83245,90,"[('Gas Natural', 90), ('Gas Natural', 90), ('Gas Natural', 90), ('Orient', 90), ('Apollo Gas', 86), ('Aurora Oil and Gas', 86), ('CH4 Gas', 86), ('Cordoba del Tucumn', 86), ('Eastern Star Gas', 86), ('Empire Oil and Gas', 86)]"
ORGANIZACION DE INGENIERIA INTERNACIONAL S.A.,7281,Organizacion de Ingenieria Internacional,160149,100,"[('Organizacion de Ingenieria Internacional', 100), ('Organizacion de Ingenieria Internacional', 100), ('Terna', 90), ('Inter', 90), ('Internacion', 90), ('Nacional', 90), ('CIA Brasiliana de Energia', 86), ('De Witte-Lietaer', 86), ('Docas de Santos', 86), ('Forno de Minas Alimentos', 86)]"
BANCO COLPATRIA MULTIBANCA COLPATRIA S.A.,7283,Colpatria,6666,90,"[('Colpatria', 90), ('Patria', 90), ('Atria PLC', 90), ('Atria PLC', 90), ('Banco BTG Pactual S A', 86), ('Banco CMF SA', 86), ('Banco do Brasil SA', 86), (""Banco Santander Rio 'B'"", 86), ('Banco Solidario', 86), ('BCR Banco On Int', 86)]"
HSBC Colombia S.A.,7285,COL,41718,90,"[('COL', 90), ('OM', 90), ('IA', 90), ('MB Securities', 90), ('MBIA', 90), ('CCX Carvao Da Colombia On', 86), ('Banco Sudameris Colombia', 86), ('Colombia Goldfields (Toronto)', 86), ('Naviera Fluvial Colombia', 86), ('Promotora de Cafe Colombia S A', 86)]"
Banco de Occidente S.A.,7294,Banco de Occidente,88033,100,"[('Banco de Occidente', 100), ('ENT', 90), ('CCI', 90), ('CCI', 90), ('Security Banc', 90), ('OCC', 90), ('Alper Consultoria E Corretora de Seguros', 86), ('Altus Sistema de Automacao On', 86), ('Banco CMF SA', 86), (""Banco de Galicia Buenos Aires 'C'"", 86)]"
"Bavaria, S.A.",7295,Bavaria,59187,100,"[('Bavaria', 100), ('Bavaria', 100), ('AVA', 90), ('Bavaria Egypt', 90), ('Bavaria Venture Capital and (XETRA) Trade', 90), ('AR', 90), ('BAV', 90), ('Austro-Bavaria Investment ABI 7 Fonds', 90), ('Bavarian Nordic', 90), ('Bavaria Industries (XETRA) Group', 90)]"
Telefonica Moviles Colombia S.A.,7296,Telefonica Moviles,240247,90,"[('Telefonica Moviles', 90), ('Telefonica Moviles', 90), ('Fonic', 90), ('Telefonica', 90), ('MBIA', 90), ('Telefonica', 90), ('Telefonica Moviles', 90), ('Telefonica Moviles', 90), ('Banco de Colombia', 86), ('Telefonica Mundo', 86)]"
Carulla Viveros S.A.,7297,Carulla Vivero,52987,97,"[('Carulla Vivero', 97), ('AR', 90), ('Car', 90), ('CA', 90), ('ERO', 90), ('ERO', 90), ('OS', 90), ('Carulla', 90), ('R R Securities', 86), ('Carulla Vivero Sponsored ADR 1:1', 86)]"
Comunicacion Celular S.A.,7309,Ion,73918,90,"[('Ion', 90), ('Cel', 90), ('NIC', 90), ('ICA AB', 90), ('NIC', 90), ('Unica', 90), ('Ion', 90), ('Munic', 90), ('Cel', 90), ('ICA AB', 90)]"
