Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
ADVANTAGE SALES & MARKETING INC.,22625,Vantage,40472,90,"[('Vantage', 90), ('Marketing', 90), ('Advant', 90), ('Anta', 90), ('D2 Marketing', 86), ('Energo-Pro Sales', 86), ('Veda Advantage', 86), (""BG Advantage Standard and Poor's / TSX Income Trust Index Fund"", 86), ('Etac Sales', 86), ('JCP Marketing', 86)]"
"Consolidated Communications, Inc.",22626,Consolidated Communication Corporation,46299,98,"[('Consolidated Communication Corporation', 98), ('Consolidated Communications Holdings', 95), ('Consolidated Communications (Frankfurt)', 95), ('Capital Communication', 90), ('Consol', 90), ('Idate', 90), ('Unica', 90), ('Munic', 90), ('Consolidated Securities', 90), ('Solid', 90)]"
"COLUMBIA PROPERTY TRUST OPERATING PARTNERSHIP,",22630,Property Capital Trust,146652,90,"[('Property Capital Trust', 90), ('Property Capital Trust', 90), ('Columbia Property Trust', 90), ('Roper', 90), ('Artner', 90), ('Capital Partners', 90), ('A Pro', 90), ('Property Capital Trust', 90), ('Opera Limited', 90), ('Alfa Property REIT', 86)]"
"Audatex North America, Inc.",22632,North,28907,90,"[('North', 90), ('North', 90), ('ICA AB', 90), ('AME', 90), ('Udate', 90), ('ICA AB', 90), ('ICA AB', 90), ('AME', 90), ('North Quay', 86), ('Build America Investment Grade Bond Fund Class A Units', 86)]"
Safety First Trust Series 2008-4,22633,First,186249,90,"[('First', 90), ('Firs', 90), ('First', 90), ('First', 90), ('First', 90), ('First', 90), ('Safety First', 90), ('First', 90), ('First', 90), ('Safe', 90)]"
"FIRST BANK & TRUST, IL",22634,T Bank,22692,90,"[('T Bank', 90), ('First', 90), ('Security Bank', 90), ('Firs', 90), ('First', 90), ('First', 90), ('First', 90), ('Security Bank', 90), ('First Bank', 90), ('Security Bank', 90)]"
"JGB BANK, NATIONAL ASSOCIATION",22635,National,222336,90,"[('National', 90), ('Security Bank', 90), ('National', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Far East National Bank,22637,Ion,73918,90,"[('Ion', 90), ('National', 90), ('National-Bank', 90), ('Security Bank', 90), ('National', 90), ('NAL Bank', 90), ('ONA', 90), ('T&N', 90), ('National', 90), ('T&N', 90)]"
COMMERCE BANK,22638,Bank of Commerce,108183,95,"[('Bank of Commerce', 95), ('Bank Neo Commerce', 95), ('Bank of Commerce', 95), ('First Commerce Bank', 95), ('General Commerce Bank', 90), ('Security Bank', 90), ('OM', 90), ('Commerce Bank of Temecula Valley', 90), ('County Commerce Bank', 90), ('Security Bank', 90)]"
BANK OF THE CASCADES,22639,ASC Trust,304,90,"[('ASC Trust', 90), ('Cascades', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Cascade', 90), ('ADE', 90), ('Security Bank', 90), ('Cascades', 90), ('Security Bank', 90)]"
1st Centennial Bank,22640,Centennial Bank,70992,95,"[('Centennial Bank', 95), ('ENT', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Woori America Bank,22641,Security Bank,200310,90,"[('Security Bank', 90), ('Woori Securities', 90), ('ICA AB', 90), ('Security Bank', 90), ('Security Bank', 90), ('AME', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
K Bank,22642,Azar-Turk Bank,498,90,"[('Azar-Turk Bank', 90), ('EIK Banki', 90), ('Ostjydsk Bank', 90), ('Security Bank', 90), ('Kwong YIK Bank', 90), ('Aik Banka', 90), ('Chungbuk Bank', 90), ('Hallmark Bank', 90), ('Jeonbuk Bank', 90), ('Bangkok Bank Commerce', 90)]"
Lake City Bank,22643,CIT,15964,90,"[('CIT', 90), ('Security Bank', 90), ('IT', 90), ('Lake', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('City Bank', 90), ('Security Bank', 90)]"
Haven Trust Bank Florida,22644,Security Bank,200310,90,"[('Security Bank', 90), ('Flo', 90), ('Security Bank', 90), ('Security Bank', 90), ('Florida Capital', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
The First State Bank,22645,First,186249,90,"[('First', 90), ('Security Bank', 90), ('Firs', 90), ('Stat', 90), ('First', 90), ('First', 90), ('First', 90), ('Security Bank', 90), ('State Bank', 90), ('Security Bank', 90)]"
OAK BANK,22646,Security Bank,200310,90,"[('Security Bank', 90), ('Oak Capital', 90), ('Security Bank', 90), ('Security Bank', 90), ('Post Oak Bank Houston Tex Commerce', 90), ('Golden Oak Bank Oakhurst Calif Capital Stock', 90), ('Red Oak Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
HOMETRUST BANK,22647,T Bank,22692,90,"[('T Bank', 90), ('Security Bank', 90), ('Home Capital', 90), ('OM', 90), ('Security Bank', 90), ('Security Bank', 90), ('UST', 90), ('Hometrust Bank Merger 04/01/93', 90), ('UST', 90), ('Security Bank', 90)]"
"LIICA HOLDINGS, LLC",22648,IC,110344,90,"[('IC', 90), ('ICA AB', 90), ('Holdings', 90), ('Holdings', 90), ('CA', 90), ('LDI Corporation', 90), ('Holdings', 90), ('IC', 90), ('Holdings', 90), ('ICA AB', 90)]"
TOTALBANK,22649,Alba,91065,90,"[('Alba', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Alba', 90), ('Totalbanken', 90), ('Security Bank', 90)]"
NBT Bank National Association,22650,National,222336,90,"[('National', 90), ('T Bank', 90), ('Security Bank', 90), ('National', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Texas Capital Bank National Association,22651,National,222336,90,"[('National', 90), ('Security Bank', 90), ('National', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
American Southern Bank,22652,Security Bank,200310,90,"[('Security Bank', 90), ('Southern Bank', 90), ('Southern', 90), ('ICA AB', 90), ('Security Bank', 90), ('American Capital', 90), ('Security Bank', 90), ('AME', 90), ('American Capital', 90), ('American Capital', 90)]"
BANK SNB,22653,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('K&S', 90), ('Security Bank', 90), ('Security Bank', 90), ('Capital A', 90), ('NK', 90)]"
TRUSTATLANTIC BANK,22654,Security Capital Atlantic,200279,90,"[('Security Capital Atlantic', 90), ('Security Bank', 90), ('Stat', 90), ('ANT', 90), ('Security Bank', 90), ('Security Bank', 90), ('UST', 90), ('UST', 90), ('Security Bank', 90), ('Security Bank', 90)]"
