Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
AMPLUS MANAGEMENT SERVICES PRIVATE LIMITED,11843,amplus management services private,amplus,G D Amplus Public Company,92867,88.2,amplus management,Management Trust,19747,89.0,amplus management services,Management Services,74520,94.39999999999999
AMPLUS POWER SOLUTIONS PRIVATE LIMITED,11822,amplus power solutions private,amplus,G D Amplus Public Company,92867,89.4,amplus power,Mplus,121100,85.8,amplus power solutions,Power Solutions,112859,93.39999999999999
AMPLUS POWER SUPPLY PRIVATE LIMITED,11867,amplus power supply private,amplus,G D Amplus Public Company,92867,90.0,amplus power,Securities Power,104250,86.2,amplus power supply,Mplus,121100,86.2
AMPLUS RJ SOLAR PRIVATE LIMITED,11896,amplus rj solar private,amplus,G D Amplus Public Company,92867,89.2,amplus rj,Mplus,121100,87.2,amplus rj solar,Mplus,121100,87.2
AMPLUS SOLAR POWER MH PRIVATE LIMITED,11888,amplus solar power mh private,amplus,G D Amplus Public Company,92867,89.6,amplus solar,Mplus,121100,85.8,amplus solar power,Solar Power,57597,91.0
AMPLUS SOLAR POWER PRIVATE LIMITED,11780,amplus solar power private,amplus,G D Amplus Public Company,92867,89.4,amplus solar,Mplus,121100,86.4,amplus solar power,Solar Power,57597,91.8
AMPLUS SUPERIOR SOLAR PRIVATE LIMITED,11916,amplus superior solar private,amplus,G D Amplus Public Company,92867,89.6,amplus superior,Superior,12707,88.6,amplus superior solar,Superior,12707,88.6
AMUNDI FINANCE EMISSIONS S.A.,8607,amundi finance emissions,amundi,Amundi Index MSCI World,162357,92.8,amundi finance,INA,65640,84.4,amundi finance emissions,SSI Securities,124842,84.4
AMUNDI FINANCE S.A.,8576,amundi finance,amundi,Amundi ETF GSCI NE,164833,93.8,amundi finance,INA,65640,87.0,amundi finance,INA,65640,87.0
AMUNDI ISSUANCE S.A.,8610,amundi issuance,amundi,Amundi ETF Russ (Munich),254920,92.39999999999999,amundi issuance,ISS,159160,86.6,amundi issuance,ISS,159160,86.6
Amundi Luxembourg S.A.,15218,amundi luxembourg,amundi,Amundi (XETRA),267796,93.0,amundi luxembourg,EMB,118554,86.0,amundi luxembourg,EMB,118554,86.0
Amundi Luxembourg S.A..,15252,amundi luxembourg s.a..,amundi,Amundi ETF EM Asia,162293,91.8,amundi luxembourg,EMB,118554,84.6,amundi luxembourg s.a..,EMB,118554,84.6
Apollo Fibres Limited,11518,apollo fibres,apollo,Apollo Finvest,98636,96.19999999999999,apollo fibres,AP,14627,85.4,apollo fibres,AP,14627,85.4
"APOLLO MANAGEMENT HOLDINGS, L.P.",23923,apollo management holdings,apollo,Apollo Medical Holdings,133710,94.6,apollo management,Management Trust,19747,91.2,apollo management holdings,Management Trust Holding AG,19748,96.39999999999999
APOLLO Series 2003-2 Trust,3325,apollo series 2003-2,apollo,Apollo Industries,62594,93.0,apollo series,AP,14627,83.6,apollo series 2003-2,AP,14627,83.6
APOLLO Series 2004-1E Trust,3323,apollo series 2004-1e,apollo,Apollo Industries,62594,92.6,apollo series,AP,14627,83.4,apollo series 2004-1e,IE,35464,83.4
APOLLO Series 2004-2 Trust,3332,apollo series 2004-2,apollo,Apollo Industries,62594,93.0,apollo series,AP,14627,83.6,apollo series 2004-2,AP,14627,83.6
APOLLO Series 2005-1E Trust,3344,apollo series 2005-1e,apollo,Apollo Industries,62594,92.6,apollo series,AP,14627,83.4,apollo series 2005-1e,AP,14627,83.4
APOLLO SERIES 2005-2 TRUST,3354,apollo series 2005-2,apollo,Apollo Industries,62594,93.0,apollo series,IE,35464,83.6,apollo series 2005-2,AP,14627,83.6
APOLLO Series 2006-1E Trust,3367,apollo series 2006-1e,apollo,Apollo Industries,62594,92.6,apollo series,IE,35464,83.4,apollo series 2006-1e,IE,35464,83.4
