Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
EMERGING MARKETS CAPITAL PROTECTED INVESTMENTS,14886,emerging markets capital protected investments,emerging,Emerging Holdings,129258.0,iShares Emerging Markets Fundamental (Non-NASDAQ OTC) Index ETF,242059.0,Emerging Leaders Investments,144086,99.65,KSHS Emerging Markets Healthcare Index ETF,188762,99.64,Emerging Markets Telecommunications (Frankfurt),294562,99.62,Emerging United Kingdom Investments,144087,99.62,Lyxor Emerging Markets Local CY ETF,183142,99.62,Lyxor Emerging Markets Local CY (Luxembourg) ETF,242301,99.62,First Trust Emerging Markets Lcal Currency Bond ETF,186558,99.62,Emerging Markets Horizon Units,185909,99.61,Ishm Emerging Markets Asia ETF (Mexico),220298,99.61,Matthews Emerging Markets Equity Active ETF,189084,99.61
EMERIS,14891,emeris,emeris,,,,,Temeris,22831,99.92,ERI Holdings,109402,99.67,Eriks,17230,88.84,Eriks (Berlin),286021,88.84,Eriks (XETRA),311762,88.84,Risc Group,21619,85.74,Risa International,103954,85.74,Rise,113139,85.74,Rise (Frankfurt),281531,85.74,Risc Group (Berlin),288954,85.74
EMG SUKUK LIMITED,14946,emg sukuk,emg,Good EMG,34935.0,,,Hemglass,42391,99.47,EMG Redne,92524,99.44,Remgro,116073,99.4,Remgro Limited,180436,99.4,Remgro (Non-NASDAQ OTC),239411,99.4,Remgro (Non-NASDAQ OTC),248351,99.4,Remgro (Frankfurt),273949,99.4,Remgro (XETRA),315051,99.4,Semgroup Class B,209616,99.4,Stemgen,132047,99.38
Emgesa S.A. E.S.P.,7325,emgesa e.s.p.,emgesa,,,,,GES International,34848,99.38,GES International (Australian),215426,99.38,GES International (Berlin),301119,99.38,MG,36938,99.27,MG International,94498,99.27,ES Group (Holdings),118639,99.27,Esat,54142,85.49,Esab,134152,85.49,Esab (Pet),251443,85.49,Esat (Frankfurt),294626,85.49
EMH TREASURY PLC,9626,emh treasury,emh,,,,,Emhart,64502,99.56,Cenit Systemhaus (Ireland),231800,99.43,SHL Systemhouse,12192,99.37,SHL Systemhouse (New York),200386,99.37,SHL Systemhouse Rights,242832,99.35,Emhart Preferred Convertible $2 10,195258,99.3,Mitrosrem,37064,79.68,Transystem,123673,79.65,ML System,111798,79.58,ML System,179806,79.58
Emirates Airline,2700,emirates airline,emirates,Emirates Refreshments,125647.0,,,Emirates Insurance,125645,99.76,Emirates Islamic Bank,124585,99.75,Emirates Driving,125644,99.75,Emirates NBD,124484,99.71,Emirates REIT Ceic,136441,99.71,Emirates Integrated,42004,99.69,Emirates Bank International,42003,99.67,Emirates Investment Bank,125646,99.67,Jordan Emirates Insurance,27307,99.63,Emirates Properties REIT,82775,99.6
Emirates Semb Corp Water and Power Company PJS,2734,emirates semb corp water and power pjs,emirates,Emirates Refreshments,125647.0,,,ESG Emirates Stallions Group PRJSC,125665,99.55,Emirates Integrated,42004,99.53,Emirates Television Merchandising (Ireland),232015,99.51,Emirates Insurance,125645,99.5,Emirates Telecommunications,124440,99.49,Emirates Properties REIT,82775,99.48,Emirates Refreshments,125647,99.47,Inav MSCI Emirates Source ETF US Dollar,168044,99.47,Emirates REIT Ceic,136441,99.46,Erste Bank Bearer Shares Emirates (Prague),216481,99.45
"Emisora Santander Espana, S.A. Unipersonal",8125,emisora santander espana unipersonal,emisora,,,,,Emis Group,124716,99.2,Emis Group (Berlin),269854,99.2,MIS,20079,99.15,MIS (XETRA),20080,99.15,EMI,46869,99.15,EMI Group,46871,99.15,SOR,113792,99.15,EMI Group (VIRT-X),232018,99.15,EMI Group (Frankfurt),294561,99.15,EMI Group (XETRA),311667,99.15
EMLAK KATILIM VARLIK KIRALAMA ANONIM SIRKETI,18290,emlak katilim varlik kiralama anonim sirketi,emlak,Emlak Konut Gayrimenkul Yatirim Ortakligi,118564.0,Emlak Konut Gayrimenkul (Non-NASDAQ OTC) Yatirim Ortakligi,236122.0,Emlak Konut Gayrimenkul Yatirim Ortakligi,118564,99.52,Emlak Konut Gayrimenkul (Non-NASDAQ OTC) Yatirim Ortakligi,236122,99.52,La Holdings,111212,99.09,AK Holdings,116653,99.09,La Group,179478,99.09,La Group (Non-NASDAQ OTC),242241,99.09,K Group Holdings,101827,99.04,Nemak,112062,88.27,Nemak (Non-NASDAQ OTC),247457,88.27,Lake,27786,85.31
"EMPOWER FINANCE 2020, LP",25074,empower 2020 lp,empower,Empower Technologies,7586.0,Empower Clinics (Non-NASDAQ OTC),129267.0,Kempower,89351,99.61,Kempower (Frankfurt),271669,99.61,Empower Clinics (Non-NASDAQ OTC),129267,99.6,Empower Clinics,157894,99.6,Empower Clinics,212359,99.6,Empower Clinics (Frankfurt),262847,99.6,Empower Limited Class B,195267,99.6,Chempower,71091,99.58,Mpower Group,84805,99.57000000000001,Empower Units,195268,99.57000000000001
