Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"Banesto Financial Products, Plc.",10950,banesto financial products plc.,banesto,,,,,STO,123037,99.18,To Holdings,114306,99.12,ES Group (Holdings),118639,99.12,T Bank,22692,99.06,O-Bank,115989,99.06,Nestos,20453,90.41,Nestor,56261,90.41,Nestor (Berlin),288098,90.41,Nestor (XETRA),307289,90.41,Banesco Banco Universal Preferred,182483,85.66
Banesto Issuances Ltd,14678,banesto issuances,banesto,,,,,STO,123037,99.3,To Holdings,114306,99.21,ES Group (Holdings),118639,99.21,T Bank,22692,99.11,O-Bank,115989,99.11,Nestos,20453,90.61,Nestor,56261,90.52000000000001,Nestor (Berlin),288098,90.52000000000001,Nestor (XETRA),307289,90.52000000000001,Banesco Banco Universal,182481,85.79
BANGALORE INTERNATIONAL AIRPORT LIMITED,11611,bangalore airport,bangalore,Bangalore Fort Farms,98967.0,,,Bangalore Fort Farms,98967,99.7,Galore Group,1808,99.52,Banga,24569,99.45,Alor Bank,32215,99.38,Bang Holdings,128281,99.38,Ore Holdings,56552,99.3,Ore Holdings (Frankfurt),280837,99.3,Ore Holdings (XETRA),307604,99.3,Al Group,98448,99.21,GA Holdings,100637,99.21
Bangkok Bank Public Company Limited,10321,bangkok public,bangkok,Bangkok Ranch,117170.0,Bangkok Bank (Non-NASDAQ OTC),234544.0,Bangkok Bank Public 1:5,184626,99.88,Bangkok Insurance Public Company Limited,41360,99.74,Bangkok Rubber,41365,99.71,Bangkok Land,117168,99.69,Bangkok Land (Munich),284602,99.69,Bangkok Bank,115390,99.67,Bangkok Bank (Non-NASDAQ OTC),234544,99.67,Bangkok Bank (Frankfurt),268240,99.67,Bangkok Bank (XETRA),310158,99.67,Bangkok Ranch,41364,99.67
Banglalink Digital Communications Limited,3719,banglalink digital communications,banglalink,,,,,Link Holdings,36554,99.22,Link Holdings,102272,99.22,Bang Holdings,128281,99.22,Link Group,130496,99.22,Ali,116711,99.17,GL,17995,99.11,GL,34874,99.11,La Holdings,111212,99.11,NK,121377,99.11,La Group,179478,99.11
Bank Al Sean Al Sinaey w Al Tejary Al Mahdood,2710,al sean al sinaey w al tejary al mahdood,al,Al Masreen,14356.0,El Al (Non-NASDAQ OTC),245238.0,Al Alamya Poultry and Food,14350,99.55,Anhui Shenjian New Materials 'A',91166,99.53,Yangzhou Seashine New Materials 'A',96827,99.53,Zhejiang Walrus New Material 'A',96998,99.53,Anhui Shenjian New (SEC) Materials 'A',211723,99.53,XI An Manareco New Materials 'A',90593,99.53,Shengtak New Material 'A',95719,99.52,Hunan Sokan New Materials 'A',89071,99.52,Ganzhou Teng Yuan Cobalt New Material 'A',88679,99.52,Malion New Material 'A',89475,99.51
Bank Espirito Santo (International) Limited,14875,espirito santo,espirito,Espirito Santo (Frankfurt),294633.0,Banco Espirito Santo (Non-NASDAQ OTC),128278.0,Banco Espirito Santo (Non-NASDAQ OTC),128278,100.0,Espirito Santo (London),236216,100.0,Banco Espirito Santo (Frankfurt),276976,100.0,Banco Espirito Santo,284547,100.0,Banco Espirito Santo (VIRT-X),293456,100.0,Espirito Santo (Frankfurt),294633,100.0,Banco Espirito Santo (XETRA),310151,100.0,Banco Espirito Santo (Bescl) E92,32880,99.88,Espirito Santo Financial Group,17254,99.74,Espirito Santo (Non-NASDAQ OTC) Financial Group,236217,99.74
Bank J. Van Breda en Co N.V.,3772,j. van breda en co n.v.,j.,,,,,J Trust,110632,99.08,J-Group Holdings,110634,99.08,J-Holdings,110635,99.08,J Trust (Stuttgart),271481,99.08,John Deere SA de C V,173707,50.05,AJ Advance Technology ORS NVDR,174512,50.03,JP Morgan Realty Income ETF,188600,50.02,JAG Media Holdings Income,197174,50.01,Gujarat NRE Coke DVR,162843,50.01,Jarden Morgan,35858,50.0
BANK MUAMALAT MALAYSIA BERHAD,15838,muamalat malaysia berhad,muamalat,,,,,Amal,98529,99.29,Amal,164806,99.29,AMA,194,99.22,AMA Group,81173,99.22,ALA,91059,99.22,MUA,111903,99.22,Lat,120529,99.22,AMA Group (Non-NASDAQ OTC),243626,99.22,ALA (Frankfurt),267653,99.22,AMA Group (Frankfurt),267755,99.22
Bank of Clark County,22127,of clark county,of,Uddeholm of,181327.0,Port of Tauranga (Non-NASDAQ OTC),248101.0,Bank of Madera County,70357,99.77,Dhofar Poultry,109089,99.62,Bank of Africa Cote,125114,99.62,Officeland Unit,208329,99.6,Bank of AFR NG,125111,99.58,Dhofar University,33886,99.56,Goffre Carbone,151634,99.55,Bank of Nova Scotia,80275,99.55,Bank of Nova Scotia (SEAQ International),215047,99.55,Bank of Nova Scotia (Mexico),216929,99.55
