Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
TNB WESTERN ENERGY BERHAD,15963,tnb western energy berhad,tnb,,,,,JTNB Bancorp,130322,99.32,HSBC Apac ex Japan SSTNBL Equity Ucits ETF US Dollar,181752,99.31,HSBC Apac ex Japan (London) SSTNBL Equity Ucits ETF US Dollar,253084,99.31,HSBC Apac ex Japan (Berlin) SSTNBL Equity Ucits ETF US Dollar,256315,99.31,T Bank,22692,99.08,Shaw Wallace Eltn,30095,79.49000000000001,Egtn,16870,79.41,WTN Group,51789,79.41,STN,68425,79.41,Butn,81936,79.41
TOGETHER FINANCIAL SERVICES LIMITED,9411,together financial services,together,Together Pharma,105301.0,,,Together Pharma,105301,99.52,The Finance Company,40001,99.2,GET Group,42247,99.2,GET Group,47396,99.2,The Bank Holdings,58012,99.2,The Group,68671,99.2,GET Holdings,100744,99.2,TH Group,30936,99.14,OG International,75533,99.14,To Holdings,114306,99.14
TOGETHER HOUSING FINANCE PLC,9559,together housing,together,Together Pharma,105301.0,,,Together Pharma,105301,99.65,The Finance Company,40001,99.32,GET Group,42247,99.32,GET Group,47396,99.32,The Bank Holdings,58012,99.32,The Group,68671,99.32,GET Holdings,100744,99.32,TH Group,30936,99.22,OG International,75533,99.22,To Holdings,114306,99.22
TOGETHER HOUSING GROUP LIMITED,9555,together housing,together,Together Pharma,105301.0,,,Together Pharma,105301,99.65,The Finance Company,40001,99.32,GET Group,42247,99.32,GET Group,47396,99.32,The Bank Holdings,58012,99.32,The Group,68671,99.32,GET Holdings,100744,99.32,TH Group,30936,99.22,OG International,75533,99.22,To Holdings,114306,99.22
Tohato Inc,13586,tohato,tohato,,,,,OHA Investment,146361,99.67,OHA Investment (Berlin),288306,99.67,At-Group,24421,99.5,At Trust,45099,99.5,To Holdings,114306,99.5,T Bank,22692,99.29,O-Bank,115989,99.29,Atol,24440,85.74,Atom,32491,85.74,Atos,88005,85.74
TOIOTA BANK AO,17284,toiota ao,toiota,,,,,IOT Group,2293,99.5,OIO Holdings,121508,99.5,IOT Group (Frankfurt),279609,99.5,Ta Holdings,50943,99.36,To Holdings,114306,99.36,Ta,123225,99.36,T Bank,22692,99.2,O-Bank,115989,99.2,Otan,29100,85.6,Otaq,126544,85.6
"TOKAI-MAZDA Co., Ltd.",13657,tokai mazda,tokai,Tokai,31012.0,Tokai Rika (Non-NASDAQ OTC),240391.0,Tokai Maruman Securities,31016,99.75,Tokai Maruman (Berlin),303416,99.75,Tokai Rika,107259,99.67,Tokai Rika (Non-NASDAQ OTC),240391,99.67,Tokai Lease,114342,99.64,Tokai,31012,99.62,Tokai Holdings,107258,99.62,Tokai,114339,99.62,Tokai Bank (Paris-SBF),170894,99.62,Tokai Bank,223543,99.62
Tolentino Srl,12359,tolentino srl,tolentino,,,,,Tolent,51123,99.63,Tolent (Berlin),289795,99.63,ENT,1607,99.38,To Holdings,114306,99.27,TI Group,183594,99.27,TI Group,201171,99.27,T Bank,22692,99.14,O-Bank,115989,99.14,Inoc,26994,85.49,Inox,35670,85.49
"TOLL ROAD INVESTORS PARTNERSHIP II, L.P.",21621,toll road investors partnership ii,toll,Toll Holdings,4223.0,Toll Holdings (Non-NASDAQ OTC),249426.0,Toll Holdings Reset Preference Shares International,153070,99.52,Toll Holdings Reset Preference Shares Domestic,153069,99.51,Toll Holdings Unsponsored ADR 1:2,210542,99.48,Toll Brothers,135166,99.47,Toll Brothers (Pet),252460,99.47,Toll Brothers (Frankfurt),266594,99.47,Toll Brothers (XETRA),308748,99.47,Toll Holdings Rights 17APR,153071,99.47,Joonktollee Tea and Industries,101788,99.47,Tollgrade Communications,61590,99.45
Tongfang Aqua 2017 Limited,7087,tongfang aqua 2017,tongfang,Tsinghua Tongfang 'A',90457.0,,,Tongfang Kontafarma Holdings,105315,99.59,Tsinghua Tongfang 'A',90457,99.51,Tsinghua Tongfang (SSE Connect Equities) 'A',214151,99.51,Tsinghua Tongfang Company,161756,99.46,ONG Holdings,75588,99.29,GFA,109851,99.29,Ton Bank,147783,99.29,Company On,1218,99.2,To Holdings,114306,99.2,T Bank,22692,99.11
