Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
Novartis Finance S.A.,15201,novartis,novartis,Novartis,173978.0,Novartis 'R' (Non-NASDAQ OTC),247671.0,Novartis,173978,100.0,Novartis (Frankfurt),223423,100.0,Novartis B (Ciba and Sandoz B),43200,99.89,Novartis R (Ciba and Sandoz R),179994,99.89,Novartis R (Ireland),232580,99.89,Novartis PAK,37584,99.8,Novartis 'R',115095,99.8,Novartis AG BDR,149731,99.8,Novartis 'B',179993,99.8,Novartis 'R' (Mexico),218466,99.8
Novartis Securities Investment Ltd,3869,novartis,novartis,Novartis,173978.0,Novartis 'R' (Non-NASDAQ OTC),247671.0,Novartis,173978,100.0,Novartis (Frankfurt),223423,100.0,Novartis B (Ciba and Sandoz B),43200,99.89,Novartis R (Ciba and Sandoz R),179994,99.89,Novartis R (Ireland),232580,99.89,Novartis PAK,37584,99.8,Novartis 'R',115095,99.8,Novartis AG BDR,149731,99.8,Novartis 'B',179993,99.8,Novartis 'R' (Mexico),218466,99.8
NOVATEK FINANCE LIMITED,10999,novatek,novatek,Novatek,115114.0,Novatek (Non-NASDAQ OTC),247672.0,Novatek International,75437,100.0,Novatek,115114,100.0,Novatek,228327,100.0,Novatek (Non-NASDAQ OTC),247672,100.0,Novatek GDR (XETRA),317457,99.78,Novatek International Unit,198675,99.74,Nova,28913,99.73,Nova Group,56408,99.73,Nova,66943,99.73,Nova (Tel Aviv),97918,99.73
Nove Mesto ONE Industrial Park II SK s.r.o.,18021,nove mesto one industrial park ii sk s.r.o.,nove,Nove Broker,20630.0,,,Innoventive Industries,26992,99.49,Hanover Compress Convertible Preferred Security Tides 7.25%,205934,99.49,Hanover Lease Income L P Unit L P Interest,79201,99.45,Novel Enterprise,28919,99.44,November Meta Pharma,121419,99.44,Novestra Redemption Shares,228330,99.43,Genovese Drug Stores A,196049,99.43,Novestra Redemption Shares 2011,228331,99.43,Novelion Therapeutics,56416,99.41,Noven Pharmaceuticals,60783,99.41
Novelis Sheet Ingot GmbH,7853,novelis sheet ingot gmbh,novelis,Novelis,10667.0,,,Novelis,10667,99.45,Novelis (New York),238550,99.45,Novelis (Berlin),302344,99.45,Novelis (XETRA),314193,99.45,Elis,88558,99.29,Elis (Mexico),217564,99.29,Elis (Non-NASDAQ OTC),245268,99.29,Elis (Berlin),269826,99.29,LIS,120639,99.22,El Company,109292,99.15
"NOVO BANCO, S.A.",17075,novo,novo,Novo Resources,85057.0,Rio Novo Gold (Non-NASDAQ OTC),239477.0,Novo Group,49403,100.0,Anovo,14606,99.89,Anovo (Berlin),284272,99.89,Anovo (XETRA),309802,99.89,Novoil,60785,99.8,Lenovo Group,97226,99.8,Kinovo,126183,99.8,Lenovo Group (HKSE Connect Equity),218180,99.8,Lenovo Group (SZS),218181,99.8,Lenovo Group (SEAQ International),222142,99.8
"NOVO BANCO, S.A.",14949,novo,novo,Novo Resources,85057.0,Rio Novo Gold (Non-NASDAQ OTC),239477.0,Novo Group,49403,100.0,Anovo,14606,99.89,Anovo (Berlin),284272,99.89,Anovo (XETRA),309802,99.89,Novoil,60785,99.8,Lenovo Group,97226,99.8,Kinovo,126183,99.8,Lenovo Group (HKSE Connect Equity),218180,99.8,Lenovo Group (SZS),218181,99.8,Lenovo Group (SEAQ International),222142,99.8
"Novo Banco, S.A.",15301,novo,novo,Novo Resources,85057.0,Rio Novo Gold (Non-NASDAQ OTC),239477.0,Novo Group,49403,100.0,Anovo,14606,99.89,Anovo (Berlin),284272,99.89,Anovo (XETRA),309802,99.89,Novoil,60785,99.8,Lenovo Group,97226,99.8,Kinovo,126183,99.8,Lenovo Group (HKSE Connect Equity),218180,99.8,Lenovo Group (SZS),218181,99.8,Lenovo Group (SEAQ International),222142,99.8
NOWFLOATS TECHNOLOGIES PRIVATE LIMITED,11818,nowfloats technologies private,nowfloats,,,,,Flo,54397,99.18,ATS,59131,99.18,Now,112343,99.18,Now,131030,99.18,Now,134734,99.18,Now (Mexico),218472,99.18,Now (BRN),225297,99.18,Now (Pet),252110,99.18,Now (Frankfurt),265061,99.18,OA Group,10759,99.12
NR Finance Mexico S.A. de C.V. Sociedad Financ,15601,nr mexico de c.v. sociedad financ,nr,Voltalia NR,171260.0,Theolia NR (Non-NASDAQ OTC),210467.0,Monroe Title Insurance,74961,99.47,Winro Commercial India,105879,99.47,Penrice Soda Holdings,3251,99.44,Penrice Soda Holdings (Berlin),288522,99.44,Tanrich Financial Holdings (Berlin),289641,99.44,Tanrich Financial Holdings (XETRA),315977,99.44,Renrenle Commercial Group 'A',95329,99.43,ANR Preference Series A,202702,99.43,Midwest Strategic Trust Leshnr Financial A,79530,99.43,NRS Technologies Holding,43206,99.42
