Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
APOLLO Series 2007-1E Trust,3409,apollo series 2007-1e,apollo,Apollo Industries,62594,92.6,apollo series,AP,14627,83.4,apollo series 2007-1e,AP,14627,83.4
ARLO II LIMITED,14756,arlo ii,arlo,Parlo,112657,93.39999999999999,arlo ii,AR,24258,88.8,arlo ii,AR,24258,88.8
ARLO IV LIMITED,14754,arlo iv,arlo,Parlo,112657,93.39999999999999,arlo iv,AR,24258,88.8,arlo iv,AR,24258,88.8
ARLO IX LIMITED,14808,arlo ix,arlo,Parlo,112657,93.39999999999999,arlo ix,IX,27142,88.8,arlo ix,IX,27142,88.8
ARLO LIMITED,14744,arlo,arlo,Parlo,112657,97.8,arlo,Parlo,112657,97.8,arlo,Parlo,112657,97.8
ARLO VII LIMITED,14802,arlo vii,arlo,Parlo,112657,92.39999999999999,arlo vii,AR,24258,88.0,arlo vii,AR,24258,88.0
ARLO VIII LIMITED,14799,arlo viii,arlo,Parlo,112657,91.39999999999999,arlo viii,AR,24258,87.2,arlo viii,AR,24258,87.2
ARLO X LIMITED,14805,arlo x,arlo,Parlo,112657,94.6,arlo x,AR,24258,90.0,arlo x,AR,24258,90.0
ARLO XII LIMITED,14830,arlo xii,arlo,Parlo,112657,92.39999999999999,arlo xii,AR,24258,88.0,arlo xii,AR,24258,88.0
ARLO XIV LIMITED,14872,arlo xiv,arlo,Parlo,112657,92.39999999999999,arlo xiv,AR,24258,88.0,arlo xiv,AR,24258,88.0
ASSURA FINANCING PLC,9887,assura financing,assura,Security Assurance,39035,92.8,assura financing,Financing,17627,94.39999999999999,assura financing,Financing,17627,94.39999999999999
ASSURA GROUP LIMITED,8774,assura group,assura,United Assurance Group,51341,94.2,assura group,Assura PLC,182441,93.39999999999999,assura group,Assura PLC,182441,93.39999999999999
ASSURA PROPERTIES PLC,9792,assura properties,assura,Revenue Assurance Services,50132,91.2,assura properties,RAK Properties,126789,93.60000000000001,assura properties,RAK Properties,126789,93.60000000000001
Xstrata Canada Corporation,4976,xstrata canada corporation,xstrata,Xstrata Canada Preferred Series 2,162093,92.2,xstrata canada,Xstrata Canada Preferred Series H,162094,92.2,xstrata canada corporation,AB Corporation,23877,91.8
Xstrata Canada Financial Corporation,5120,xstrata canada financial corporation,xstrata,Xstrata Canada Preferred Series H,162094,91.0,xstrata canada,Xstrata Canada Preferred Series 3,148354,91.0,xstrata canada financial,Financial Securities,72530,88.0
Xstrata Finance (Canada) Limited,5098,xstrata finance (canada),xstrata,Xstrata (Non-NASDAQ OTC),241002,92.39999999999999,xstrata finance,Xstrata,51814,89.0,xstrata finance (canada),Xstrata,51814,89.0
Xstrata Finance (Dubai) Limited,2701,xstrata finance (dubai),xstrata,Xstrata (XETRA),316814,91.6,xstrata finance,Xstrata,51814,89.4,xstrata finance (dubai),Xstrata AG,51815,89.4
AES Andres B.V.,8079,aes andres b.v.,aes,AES Andes,87895,95.0,aes andres,AES,133231,86.6,aes andres b.v.,AES,133231,86.6
AES Andres Dominicana Ltd.,7930,aes andres dominicana,aes,AES Andes,87895,92.0,aes andres,AES,133231,85.0,aes andres dominicana,ICA AB,178995,85.0
AES Argentina Generacion S.A.,2810,aes argentina generacion,aes,AES China Generating A,69694,94.0,aes argentina,Tina,40038,85.8,aes argentina generacion,Genera,8175,88.0
