Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
Moelis Australia Ltd,3647,moelis australia,moelis,Moelis Class A,134646.0,,,Moelis Class A,134646,99.67,Moelis Class A (Pet),252026,99.67,Moelis Class A (Berlin),264743,99.67,Moelis Class B,198223,99.6,Moelis Class Partnership Units,198222,99.52,Elis,88558,99.4,Elis (Mexico),217564,99.4,Elis (Non-NASDAQ OTC),245268,99.4,Elis (Berlin),269826,99.4,LIS,120639,99.32
Mohawk Capital Finance S.A.,15366,mohawk capital,mohawk,Mohawk Rubber,66605.0,,,Mohawk Oil CDA,10220,99.64,Mohawk Industries,133414,99.58,Mohawk Industries (Mexico),218373,99.58,Mohawk Industries (Mexico),218374,99.58,Mohawk Industries (Pet),252028,99.58,Mohawk Industries (Frankfurt),264745,99.58,Mohawk Industries (XETRA),307130,99.58,Mohawk Rubber,66605,99.52,Mohawk Industries BDR,149660,99.51,Niagara Mohawk Power,208120,99.47
Mohawk Capital Luxembourg S.A.,15328,mohawk capital luxembourg,mohawk,Mohawk Rubber,66605.0,,,Mohawk Rubber,66605,99.53,Mohawk Industries BDR,149660,99.52,Mohawk Oil CDA,10220,99.51,Mohawk Industries,133414,99.48,Mohawk Industries (Mexico),218373,99.48,Mohawk Industries (Mexico),218374,99.48,Mohawk Industries (Pet),252028,99.48,Mohawk Industries (Frankfurt),264745,99.48,Mohawk Industries (XETRA),307130,99.48,Niagara Mohawk Power,208120,99.44
MOL GROUP FINANCE SA,15246,mol,mol,Mol Accessportal,28434.0,Mol MGY OLJ (Non-NASDAQ OTC) Gazipari,238236.0,Mo,60623,99.8,Molex,60628,99.75,Molex Inc (Ireland),232503,99.75,Molex (Frankfurt),280375,99.75,Molex (EASDAQ),296017,99.75,Molex Incorporated (Paris-SBF),296018,99.75,Molex (XETRA),307134,99.75,Molmed,20200,99.67,Molope Group,37150,99.67,Molynx Holdings,49091,99.67
Molnlycke Holding AB,17616,molnlycke holding,molnlycke,,,,,Mo,60623,99.21,YC,124262,99.21,KE Holdings Inc,159254,99.21,KE Holdings,163280,99.21,C Holdings,24873,99.11,K Group Holdings,101827,99.11,O-Bank,115989,99.11,Flyke International Holdings,26023,79.56,Holly Holdings,73405,79.56,KEO,94032,79.5
"Molson Coors International L.P.,",23083,molson coors,molson,Molson 'A',10225.0,Molson Coors Canada (Non-NASDAQ OTC) Exchangeable Shares 'B',247339.0,Molson Coors Canada (Frankfurt) B,264753,99.73,Molson Coors Beverage Company B,133331,99.69,Molson Coors Beverage A,189211,99.69,Molson Coors (Mexico) Beverage Company B,218375,99.69,Molson Coors (BRN) Beverage Company B,225163,99.69,Molson Coors (MIC) Beverage Company B,225164,99.69,Molson Coors (Frankfurt) Beverage A,258835,99.69,Molson Coors (Frankfurt) Beverage Company B,264751,99.69,Molson Coors (XETRA) Beverage Company B,264752,99.69,Molson Coors Brewing BDR,149663,99.67
MOMENTIVE PERFORMANCE MATERIALS INC.,22249,momentive performance materials,momentive,Momentive Global,134647.0,,,Momentive Global,134647,99.55,Momentive Global (Mexico),218376,99.55,Momentive Global (Frankfurt),264754,99.55,Moment Group,121063,99.32,Moment Group (Frankfurt),272786,99.32,ENT,1607,99.18,Men Investment Group,2744,99.18,IVE Group,83973,99.18,OM Holdings,3117,99.12,OM,43231,99.12
MONDI FINANCE PLC,9449,mondi,mondi,Mondi,37156.0,Mondi (Non-NASDAQ OTC),238243.0,Mondi,37156,100.0,Mondi,124490,100.0,Mondi,183247,100.0,Mondi (Johannesburg),223614,100.0,Mondi (London),232504,100.0,Mondi (Non-NASDAQ OTC),238243,100.0,Mondi (Non-NASDAQ OTC),247344,100.0,Mondi (Frankfurt),272793,100.0,Mondi (Frankfurt),280384,100.0,Mondi (XETRA),313742,100.0
Monex Finance Corporation,13790,monex corporation,monex,Monex,37160.0,Monex Group (Non-NASDAQ OTC),247347.0,Monexco Resources,74954,99.59,Monex Income,28448,99.55,Monex 01,28446,99.48,Monex Group Unsponsored ADR 1:4,207812,99.48,Monex Grupo Financiero SA de Convertible,28447,99.48,Monex,37160,99.45,Monex Group,106894,99.45,Monex Group (Non-NASDAQ OTC),247347,99.45,Monex Group (Frankfurt),272796,99.45,Monex Group (XETRA),313747,99.45
Mong Duong Finance Holdings B.V.,16463,mong duong b.v.,mong,Vinacomin - Mong,127531.0,,,Mongodb BDR,149666,99.54,Kemong Publishing,36073,99.5,Mongol Basalt,111839,99.5,Mongol Savkhi,111845,99.5,Mongol Shevro,111847,99.5,Mongodb A,133271,99.5,Mongodb A (Mexico),218379,99.5,Mongodb A (Pet),252032,99.5,Mongodb A (Frankfurt),264762,99.5,Mongeo,111837,99.48
