Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
HSBC Finance Corporation,20853,INA,65640,90,"[('INA', 90), ('NC&', 90), ('HSBC Finance 8.875% Units', 90), ('HSBC Finance Deposit Shares REP 1/40 Preferred Series B', 90), ('SAB Finance', 87), ('BCC Finance', 87), ('HNB Finance', 87), ('Allco Finance Group', 86), ('Beneficial Finance', 86), ('China Finance Holding Company', 86)]"
"Heller Financial, Inc.",20857,Heller Financial 'A',196496,95,"[(""Heller Financial 'A'"", 95), ('El Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('INA', 90), ('Financial Trust Corporation', 90), ('Heller Financial HFI Trust I Meds', 90), ('CIA', 90), ('Financial Trust Corporation', 90)]"
HILAND PARTNERS HOLDINGS LLC,20859,Partners Holdings,49608,95,"[('Partners Holdings', 95), ('Art', 90), ('Art', 90), ('Holdings', 90), ('Art', 90), ('Holdings', 90), ('Hiland Partners', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Hilan', 90)]"
"CenterPoint Energy Houston Electric, LLC",20860,Centerpoint Energy Houston Electric LLC,71000,100,"[('Centerpoint Energy Houston Electric LLC', 100), ('Energy', 90), ('Energy', 90), ('Center Trust', 90), ('Energy', 90), ('Capital Point', 90), ('Centerpoint Energy', 90), ('Centerpoint', 90), ('Acer Energy', 86), ('Adelaide Energy', 86)]"
International Finance Corporation,20866,International Finance Corporation,60266,100,"[('International Finance Corporation', 100), ('Premium International Finance', 95), ('Sanwa International Finance', 95), ('International Bills Finance Corporation', 95), ('International Lease Finance Corporation', 95), ('International Lease Finance Corporation', 95), ('International Resource Finance', 95), ('International Housing Finance', 95), ('International Personal Finance', 95), ('A G Finance (SEAQ International)', 95)]"
JPMorgan Chase Capital X,20868,GA Capital,8102,90,"[('GA Capital', 90), ('Gan', 90), ('Chase', 90), ('Mo', 90), ('JPM', 90), ('Chase', 90), ('Gan', 90), ('PM', 90), ('RG Securities', 90), ('Gan', 90)]"
JPMorgan Chase Capital XIX,20870,Gan,232110,90,"[('Gan', 90), ('Chase', 90), ('JPM', 90), ('Chase', 90), ('Gan', 90), ('Gan', 90), ('Kasten Chase Applied Research', 86), ('JP Morgan Chase Capital XI Securities 5.875% Series K', 86), ('JP Morgan Chase Cap XIX Securities Service S', 86), ('Mutual Fund Touche Remnant Chase FED Multi Market', 86)]"
JPMorgan Chase Capital XXIV,20872,Gan,232110,90,"[('Gan', 90), ('Chase', 90), ('JPM', 90), ('Chase', 90), ('Gan', 90), ('Gan', 90), ('Kasten Chase Applied Research', 86), ('JP Morgan Chase Capital XI Securities 5.875% Series K', 86), ('JP Morgan Chase Cap XIX Securities Service S', 86), ('Mutual Fund Touche Remnant Chase FED Multi Market', 86)]"
Keystone North America Inc.,20873,Keystone North America,216524,100,"[('Keystone North America', 100), ('Keystone North America Units', 95), ('North', 90), ('One', 90), ('North', 90), ('ICA AB', 90), ('AME', 90), ('Key Corporation', 90), ('Key Corporation', 90), ('One', 90)]"
"KINDER MORGAN G.P., INC.",20876,Kinder Morgan,133080,95,"[('Kinder Morgan', 95), ('Gan', 90), ('Gan', 90), ('Gan', 90), ('A N G Holdings (Australian)', 86), ('A P Group Taken Over 25/10/92', 86), ('Die Erste P', 86), ('E P T', 86), ('P A T Foods Limited', 86), ('BHIF-G', 86)]"
