Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
INTERSTAR MILLENIUM SERIES 2004 2G TRUST,3331,interstar millenium series 2004 2g,interstar,,,,,Inter,27025,99.26,Rstar,76591,99.26,Inter Investment International (Frankfurt),295388,99.26,Rstar (Berlin),302904,99.26,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2001-1E Trust,3298,interstar millennium series 2001 1e,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
INTERSTAR MILLENNIUM SERIES 2002-1G TRUST,3300,interstar millennium series 2002 1g,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2003-3G Trust,3317,interstar millennium series 2003 3g,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2004-4E Trust,3330,interstar millennium series 2004 4e,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2004-5 Trust,3338,interstar millennium series 2004 5,interstar,,,,,Inter,27025,99.26,Rstar,76591,99.26,Inter Investment International (Frankfurt),295388,99.26,Rstar (Berlin),302904,99.26,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2005-1G Trust,3457,interstar millennium series 2005 1g,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
INTERSTAR MILLENNIUM SERIES 2005-2L TRUST,3348,interstar millennium series 2005 2l,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2006-1 Trust,3362,interstar millennium series 2006 1,interstar,,,,,Inter,27025,99.26,Rstar,76591,99.26,Inter Investment International (Frankfurt),295388,99.26,Rstar (Berlin),302904,99.26,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
Interstar Millennium Series 2006-2G Trust,3375,interstar millennium series 2006 2g,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
INTERSTAR MILLENNIUM SERIES 2006-4H TRUST,3395,interstar millennium series 2006 4h,interstar,,,,,Inter,27025,99.25,Rstar,76591,99.25,Inter Investment International (Frankfurt),295388,99.25,Rstar (Berlin),302904,99.25,Star Holdings,30520,99.21,Star Group Company,104812,99.21,Star,122998,99.21,International Star,130232,99.21,Star Group,138381,99.21,STA Group,43876,99.16
INTERVAL ACQUISITION CORP.,22567,interval acquisition corp.,interval,Pioneer ILS Interval Fund Nav,79770.0,,,Interval di PIF Closed Fund,145163,99.53,S&S Intervalue China,29782,99.52,Lion Interval Pure Bond Fund A,145624,99.46,Lion Interval Pure Bond Fund 'A',215645,99.45,Pioneer ILS Interval Fund Nav,79770,99.44,Wanjia Enhanced Income Interval Bond Fund,96658,99.36,Bosera SCI-Technology Inno Board 3Y Interval,91656,99.34,Inter,27025,99.32,Inter Investment International (Frankfurt),295388,99.32,Bosera Chinext 2- Year Interval Hybird Fund,91653,99.32
