Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
"AES CHANGUINOLA, S.A.",16760,aes changuinola,aes,Aesculap,14227,92.2,aes changuinola,AES,133231,86.6,aes changuinola,AES,133231,86.6
AES Chivor & CIA S.C.A. E.S.P.,7311,aes chivor & cia s.c.a. e.s.p.,aes,AES China Generating A,69694,88.4,aes chivor,AES,133231,83.6,aes chivor &,AES,133231,83.6
AES Drax Energy Limited,9088,aes drax energy,aes,Daesung Energy,118095,93.8,aes drax,AES,133231,86.6,aes drax energy,Security Energy,12054,91.39999999999999
"AES Eastern Energy, L.P.",21580,aes eastern energy,aes,Daesung Energy,118095,93.8,aes eastern,Eastern,136387,91.2,aes eastern energy,Terna Energy,90376,91.4
AES El Salvador Trust II,16759,aes el salvador ii,aes,AES Elpa On,77,91.0,aes el,AES Elpa On,77,91.0,aes el salvador,Vado,127771,87.2
AES Gener S.A.,5711,aes gener,aes,Saes Getters,95417,95.19999999999999,aes gener,AES Gener Rights,214874,94.39999999999999,aes gener,AES Gener Rights,214874,94.39999999999999
AES HOLDINGS BRASIL LTDA.,4245,aes holdings brasil ltda.,aes,Daesang Holdings 2PB,178089,92.39999999999999,aes holdings,AG Holdings,44740,89.6,aes holdings brasil,Trust Holdings,51235,89.6
"AES Ironwood, L.L.C.",21586,aes ironwood,aes,Saes RNC,29792,92.0,aes ironwood,IRO,42575,88.0,aes ironwood,IRO,42575,88.0
"AES PANAMA GENERATION HOLDINGS, S.R.L.",16766,aes panama generation holdings s.r.l.,aes,AES China Generating A,69694,92.2,aes panama,Nama,94659,84.0,aes panama generation,Genera,8175,85.6
AES Sul Distribuidora Gaucha de Energia S.A.,4002,aes sul distribuidora gaucha de energia,aes,AES Alicura Sociedad Anonima,75,90.2,aes sul,AES Sul On,78,88.2,aes sul distribuidora,AES,133231,82.8
AES Trust VII,20980,aes vii,aes,AES (MIC),223696,92.39999999999999,aes vii,AES,133231,92.0,aes vii,AES,133231,92.0
AES Tucano Holdings II S.A.,4559,aes tucano holdings ii,aes,Daesung Holdings,115525,94.8,aes tucano,AES,133231,84.8,aes tucano holdings,Trust Holdings,51235,90.6
Alliance & Leicester Group Treasury PLC,9010,alliance & leicester group treasury,alliance,Alliance and Leicester (XETRA),309685,94.2,alliance &,Alliance and Leicester (XETRA),309685,86.2,alliance & leicester,IA,119645,82.2
"Alliance Global Group Cayman Islands, Inc.",14868,alliance global group cayman islands,alliance,Alliance Global Group,106301,94.8,alliance global,Alliance Global Group,106301,94.8,alliance global group,Alliance Global Group,106301,94.8
Alliance Healthcare Deutschland AG,7463,alliance healthcare deutschland,alliance,Alliance Healthcare Services,58954,95.0,alliance healthcare,Alliance Healthcare Services,58954,95.0,alliance healthcare deutschland,Alliance Health,69800,93.0
ALLIANCE ISLAMIC BANK BERHAD,15967,alliance islamic bank berhad,alliance,Alliance Tire and Rubber,62180,93.0,alliance islamic,AMI,116798,83.8,alliance islamic bank,AB Bank,80936,85.0
Alliance Pipeline Limited Partnership,5035,alliance pipeline partnership,alliance,Atlantic Alliance Partnership,142515,95.19999999999999,alliance pipeline,Line,27889,84.8,alliance pipeline partnership,Artner,107941,86.8
"ALLIANCE RESOURCE OPERATING PARTNERS, L.P.",24320,alliance resource operating partners,alliance,Alliance Resource Partners L P Unit Trust Limited Partnership,133661,95.0,alliance resource,Alliance Resource Partners L P Unit Trust Limited Partnership,133661,95.0,alliance resource operating,Alliance Resources,44816,88.6
ALLIANCE TIRE COMPANY LTD.,11163,alliance tire company,alliance,Alliance Finance Company,116728,96.8,alliance tire,Alliance Tire,24097,95.19999999999999,alliance tire company,Alliance Tire,24097,95.19999999999999
AllianceBernstein L.P.,21954,alliancebernstein,alliancebernstein,Alliancebernstein Income Fund,142314,94.8,alliancebernstein,Alliancebernstein Income Fund,142314,94.8,alliancebernstein,Alliancebernstein Income Fund,142314,94.8
