Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
All America Latina Logistica SA,3992,all america latina logistica,all,All America Latina Logistica Unit 144A GDR 1:1,202445,95.19999999999999,all america,All America Latina Logistica Unit 144A GDR 1:1,202445,95.19999999999999,all america latina,All America Latina Logistica Unit 144A GDR 1:1,202445,95.19999999999999
ALLIANZ BANQUE S.A.,8407,allianz banque,allianz,Allianz E,164757,95.6,allianz banque,Allianz Securities,164766,93.39999999999999,allianz banque,Allianz Securities,164766,93.39999999999999
Allianz Finance Corporation,22305,allianz finance corporation,allianz,Allianz France Vie,14466,93.39999999999999,allianz finance,Allianz Securities,164766,88.2,allianz finance corporation,AB Corporation,23877,91.6
Allianz Finance II BV,16209,allianz finance ii bv,allianz,Allianz France Vie,14466,95.39999999999999,allianz finance,Allianz Securities,164766,90.0,allianz finance ii,Allianz Securities,164766,90.0
Allianz Finance III B.V.,16331,allianz finance iii b.v.,allianz,Allianz France Vie,14466,94.2,allianz finance,Allianz Securities,164766,89.0,allianz finance iii,Allianz,87359,89.0
Allianz Leasing Bulgaria AD,3820,allianz leasing bulgaria ad,allianz,Vallianz Holdings Nil Paid,226009,92.8,allianz leasing,Allianz,87359,88.2,allianz leasing bulgaria,Allianz,87359,88.2
Allianz Managed Operations & Services SE,7754,allianz managed operations & services se,allianz,Allianz Malaysia Conversion Preference,171618,91.8,allianz managed,Allianz,87359,86.0,allianz managed operations,Allianz Securities,164766,86.0
ALPHA STAR HOLDING III LIMITED,15001,alpha star holding iii,alpha,Alpha Dhabi Holding,124436,94.6,alpha star,Alpha Star Acquisition,135508,92.8,alpha star holding,Star Holding,39553,94.2
ALPHA STAR HOLDING LIMITED,14939,alpha star holding,alpha,Alpha Holdings,116750,96.19999999999999,alpha star,Alpha Star Acquisition,135508,93.0,alpha star holding,Star Holding,39553,96.0
ALPHA STAR HOLDING V LIMITED,15015,alpha star holding v,alpha,Alpha Dhabi Holding,124436,95.39999999999999,alpha star,Alpha Star Acquisition,135508,92.39999999999999,alpha star holding,Star Holding,39553,95.0
ALTICE FINANCING S.A.,15254,altice financing,altice,Altice SA,164797,91.0,altice financing,Financing,17627,94.39999999999999,altice financing,Financing,17627,94.39999999999999
ALTICE FINCO S.A.,15253,altice finco,altice,Altice SA,164797,93.39999999999999,altice finco,Altice SA,164797,93.39999999999999,altice finco,Altice SA,164797,93.39999999999999
Altice France Holding S.A.,15286,altice france holding,altice,Altice Europe B,164796,91.2,altice france,Altice SA,164797,88.8,altice france holding,Altice SA,164797,88.8
Altice Luxembourg SA,15327,altice luxembourg,altice,Altice Europe,14516,93.39999999999999,altice luxembourg,Altice SA,164797,90.4,altice luxembourg,Altice SA,164797,90.4
ALTICE US FINANCE I CORPORATION,24159,altice us finance i corporation,altice,Altice USA Income A Placeholder A Dummy,184159,91.39999999999999,altice us,Altice USA (Frankfurt),261137,91.39999999999999,altice us finance,Altice SA,164797,86.4
ALTICE US FINANCE II CORPORATION,24158,altice us finance ii corporation,altice,Altice USA Income A Placeholder A Dummy,184159,91.2,altice us,Altice USA (Frankfurt),261137,91.2,altice us finance,Altice SA,164797,86.4
ALTICE US FINANCE S.A.,15321,altice us finance,altice,Altice USA 'A',133672,94.2,altice us,Altice USA 'A',133672,94.2,altice us finance,Altice SA,164797,90.4
AMPLUS ANDHRA POWER PRIVATE LIMITED,11840,amplus andhra power private,amplus,G D Amplus Public Company,92867,88.4,amplus andhra,Mplus,121100,86.2,amplus andhra power,Mplus,121100,86.2
AMPLUS Asset Development Inc.,14595,amplus asset development,amplus,G D Amplus Public Company,92867,89.0,amplus asset,Mplus,121100,86.8,amplus asset development,EC Development,53931,88.0
AMPLUS ENERGY SOLUTIONS PRIVATE LIMITED,11812,amplus energy solutions private,amplus,G D Amplus Public Company,92867,88.6,amplus energy,Energy,79025,86.4,amplus energy solutions,Energysolutions,59817,87.4
