Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Banco do Brasil,14747,Banco do Brasil SA,116701,100,"[('Banco do Brasil SA', 100), ('Banco do Brasil On', 95), ('Security Banc', 90), ('Bras', 90), ('ASI', 90), ('RAS', 90), ('NC&', 90), ('Banco do Brasil ADR 1:1', 90), ('Banco do Brasil ADR (Frankfurt) 1:1', 90), ('Zinco do Brasil', 87)]"
HSBC Bank USA NA (Cayman Islands Branch),14748,Island Capital,31667,90,"[('Island Capital', 90), ('Cayman Corporation', 90), ('Rocket Lab USA', 86), ('Drone Services USA', 86), ('GET Real USA', 86), ('Hua NA Hydropower', 86), ('Select Bank', 86), ('Cayman Engley Industrial', 86), ('Ikka Holdings Cayman', 86), ('Bank of America', 86)]"
Space Limited,14749,Howmet Aerospace,17,90,"[('Howmet Aerospace', 90), ('Aerospace Industrial Development', 90), (""China Aerospace Times Electronics 'A'"", 90), ('Hanwha Aerospace', 90), ('Korea Aerospace Industries', 90), ('Vertical Aerospace', 90), ('A-Sonic Aerospace', 90), ('Aerospace Technology of Korea', 90), ('Astra Space A', 90), ('Danish Aerospace Company', 90)]"
CSN Islands VIII Corp.,14750,NDS,17262,90,"[('NDS', 90), ('Island Capital', 90), ('Land', 90), ('Fleet Capital Trust VIII', 86), ('R R Securities', 86), ('Atel Cash Distribution Fund VIII', 86), ('Channel Islands and International Investment Trust', 86), ('Perpetual Growth Fund VIII Mutual Fund', 86), ('Public Storage Properties VIII A', 86), ('S S V', 86)]"
"BANIF FINANCE, LTD.",14751,Banif,5693,90,"[('Banif', 90), ('ANI', 90), ('INA', 90), ('F&F', 90), ('NC&', 90), ('Kuwait Finance House', 86), ('AU Small Finance Bank', 86), (""Group Finance Galicia 'B'"", 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86)]"
Hutchison Whampoa International (03/33) Limite,14752,National,277110,90,"[('National', 90), ('National', 90), ('National', 90), ('Hutchison Whampoa', 90), ('National', 90), ('International', 90), ('National', 90), ('Hutchison Whampoa (SEAQ International)', 88), ('Hutchison Whampoa (SEAQ International)', 88), ('Babcock International', 86)]"
Mizuho Financial Group (Cayman) Limited,14753,Mizuho Financial Group,3428,95,"[('Mizuho Financial Group', 95), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Al Group', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Mizuho Securities', 90), ('Securities Group', 90), ('Securities Group', 90), ('Cayman Corporation', 90)]"
ARLO IV LIMITED,14754,AR,5551,90,"[('AR', 90), ('Capital A', 90), (""Chase Capital IV Capital Securities Series 'D'"", 86), ('Independent Capital Trust IV', 86), ('Wells Fargo Capital IV Guaranteed Capital Securities 7% Maturity 31/09/31', 86), ('Arya Sciences Acquisition IV A', 86), ('CF Acquisition IV A', 86), ('Fortress Value Acquisition IV A', 86), ('Forum Merger IV A', 86), ('Interprivate IV Infratech Partners A', 86)]"
Itau Bank Ltd.,14755,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Tau Capital', 90), ('IT', 90), ('NK', 90)]"
ARLO II LIMITED,14756,AR,5551,90,"[('AR', 90), ('Capital A', 90), ('Allegiant Capital Trust II', 86), ('American Affordable Housing II Limited Partnership', 86), ('CFB Capital II 8.20% Cumulative Capital Securities', 86), ('City Holding Capital Trust II Capital Securities', 86), ('Corts Trust Allstate Fininvest Gestione Fondi II Corts 8.00', 86), ('Corts Trust Fleet Capital Trust II Corts 8', 86), ('Corts Trust Great Western Financial Trust II 7.625%', 86), ('Corts Trust II First Union Capital I A 7.5%', 86)]"
