Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Royal Bank of Scotland plc,22169,The Royal Bank of Scotland,40007,95,"[('The Royal Bank of Scotland', 95), ('Bank of Scotland', 95), ('Royal Bank of Scotland Group PLC', 95), ('Royal Bank of Scotland AVS', 95), ('Royal Bank of Scotland AVS', 95), ('Royal Bank of Scotland Warrants', 95), ('Security Bank', 90), ('Royal Trust B', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"ABB Treasury Center (USA), Inc.",22170,ENT,1607,90,"[('ENT', 90), ('ABB AG', 90), ('ABB AG', 90), ('Center Trust', 90), ('Tre', 90), ('ABB AG', 90), ('ABB AG', 90), ('ABB AG', 90), ('ABB AG', 90), ('ABB AG', 90)]"
Ashtead Capital Inc.,22171,HTE,73482,90,"[('HTE', 90), ('Capital A', 90), ('Ashtead Group', 90), ('Ashtead Technology Holdings', 90), ('Ashtead Group ADR 1:4', 90), ('Ashtead Group (BRN)', 90), ('Ashtead Group (Non-NASDAQ OTC)', 90), ('Ashtead Group ADR (Frankfurt) 1:4', 90), ('Ashtead Group (Frankfurt)', 90), ('Ashtead Technology (Frankfurt) Holdings', 90)]"
Nielsen Finance LLC,22172,El Corporation,1533,90,"[('El Corporation', 90), ('IE', 90), ('INA', 90), ('IEL', 90), ('LS', 90), ('NC&', 90), ('Nielsen', 90), ('China Finance Holding Company', 86), ('North Ryde Community Finance', 86), (""Christiansen and Nielsen 'B'"", 86)]"
SG Preferred Capital II,22174,Re Capital,67648,90,"[('Re Capital', 90), ('Re Capital', 90), ('D I', 90), ('SG', 90), ('SG', 90), ('Red Capital', 90), ('BTR Nylex Convertible Preferred', 86), ('FI Imobiliario Tourmalet II Sen B', 86), ('Perls II Trust Perpetual Exchequer Resettable SEC', 86), ('Preferred Capital Perpetual Exchange', 86)]"
GPT PROPERTY TRUST LP,22175,Property Capital Trust,146652,90,"[('Property Capital Trust', 90), ('Property Capital Trust', 90), ('Roper', 90), ('Property Capital Trust', 90), ('Ale Property Group Stapled Units', 86), ('AMP Diversified Property Trust', 86), ('APN European Retail Property Group', 86), ('APN Regional Property Fund', 86), ('Armstrong Jones Perth Property Fund Income Units', 86), ('Astro Japan Property Group', 86)]"
Abbey National North America LLC,22176,North,28907,90,"[('North', 90), ('National', 90), ('Abbey', 90), ('National', 90), ('North', 90), ('Abbey', 90), ('National', 90), ('Abbey National', 90), ('National', 90), ('National', 90)]"
DANSKE CORPORATION,22177,Carnegie Worldwide / Dansk / Danske Aktier,6196,90,"[('Carnegie Worldwide / Dansk / Danske Aktier', 90), ('Danske Invest Danmark Indeks', 90), ('Danske Invest Euro Stocks 50', 90), ('Danske Invest Europa Indeks Baeredygtig', 90), ('Danske Invest Fjernoesten', 90), ('Danske Invest Global Plus', 90), ('Danske Invest Japan', 90), ('Danske Invest Kina', 90), ('Danske Invest Latinamerika', 90), ('Danske Invest Norden Indeks', 90)]"
"Societe Generale North America, Inc.",22178,North,28907,90,"[('North', 90), ('Genera', 90), ('Gener', 90), ('General', 90), ('North', 90), ('Nera', 90), ('Rale', 90), ('Societe Generale', 90), ('General', 90), ('Societe Generale', 90)]"
"CROWN CORK & SEAL COMPANY, INC.",22179,Trust Company,4284,90,"[('Trust Company', 90), ('Crown', 90), ('Seal', 90), ('K + S', 90), ('Seal', 90), ('Crown', 90), ('Crown', 90), ('Company On', 86), ('Crown Diamonds', 86), ('Prudential Investment Company of Australia', 86)]"
