Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
EQUATE PETROCHEMICAL CO. K.S.C.C,14643,equate petrochemical k.s.c.c,equate,,,,,At-Group,24421,99.13,At Trust,45099,99.13,UA Group,51292,99.13,T Bank,22692,99.07,Q Group,49941,99.07,Q (XETRA),314901,99.07,Atea,106329,85.39,Atec,117041,85.39,Atec,128190,85.39,Atea (BRN),223866,85.39
EQUATE Sukuk SPC Limited,2730,equate sukuk spc,equate,,,,,At-Group,24421,99.22,At Trust,45099,99.22,UA Group,51292,99.22,T Bank,22692,99.12,Q Group,49941,99.12,Q (XETRA),314901,99.12,Atec,117041,85.54,Atec,128190,85.54,Atea,106329,85.44,Aten International,117046,85.44
EQUINOX BUSINESS PARKS PRIVATE LIMITED,11825,equinox business parks private,equinox,Equinox,34363.0,Equinox Gold Equity (Non-NASDAQ OTC) Warrant EXP 6 October 2021,241677.0,Equinox Minerals Warrants,157968,99.65,Equinox Resources Warrants,157970,99.61,Equinox Minerals,7678,99.57000000000001,Equinox Warrants,144140,99.57000000000001,Equinox Minerals,151445,99.57000000000001,Equinox Minerals (Stuttgart),278531,99.57000000000001,Equinox Minerals (XETRA),311752,99.57000000000001,Equinox Minerals Chess/Crest Depository Interest,151446,99.54,Equinox Minerals (Frankfurt) Chess/Crest Depository Interest,283363,99.54,Equinox Minerals (XETRA) Chess/Crest Depository Interest,317167,99.54
"Equistar Chemicals, LP",21418,equistar chemicals lp,equistar,,,,,Istar,134450,99.38,Istar (Frankfurt),264036,99.38,Star Holdings,30520,99.32,Star Group Company,104812,99.32,Star,122998,99.32,International Star,130232,99.32,Star Group,138381,99.32,Ista Investment,145278,99.32,UIS,23136,99.25,IST Group,35820,99.25
Equity Release Funding (No.1) PLC,9094,equity release funding,equity,Equity,88577.0,Equity (Non-NASDAQ OTC),245363.0,Equity Select Closed Fund,185987,99.72,Equity Holding,17211,99.67,Equity Holding (Berlin),300810,99.67,Equity Residential Trust (Frankfurt),262935,99.65,Equity Income Fund,144146,99.65,Equity Labs,129336,99.61,Equity Long / Short Fund,144136,99.61,DB Equity Strategies Hedge Fund Index ETF,204431,99.6,DB Equity Strategies (Berlin) Hedge Fund Index ETF,290868,99.6,Equity Bank Wethersfield,64582,99.59
EQUITY RELEASE FUNDING (NO.3) PLC,9186,equity release funding,equity,Equity,88577.0,Equity (Non-NASDAQ OTC),245363.0,Equity Select Closed Fund,185987,99.72,Equity Holding,17211,99.67,Equity Holding (Berlin),300810,99.67,Equity Residential Trust (Frankfurt),262935,99.65,Equity Income Fund,144146,99.65,Equity Labs,129336,99.61,Equity Long / Short Fund,144136,99.61,DB Equity Strategies Hedge Fund Index ETF,204431,99.6,DB Equity Strategies (Berlin) Hedge Fund Index ETF,290868,99.6,Equity Bank Wethersfield,64582,99.59
ERAC Canada Finance Ltd,5048,erac canada,erac,,,,,Literacy Capital,140730,99.59,Literacy Capital (Frankfurt),272297,99.59,Mineracao Da Trindad,152197,99.58,Heracles NR,167278,99.55,Seracare,79929,99.53,Interactive Data,60239,99.52,Overactive Media,85221,99.52,Overactive Media (Non-NASDAQ OTC),247856,99.52,Interactive Data (Frankfurt),279517,99.52,Interactive Data (XETRA),306505,99.52
ERAC USA FINANCE LLC,21289,erac usa,erac,,,,,Heracles,18377,99.62,Serac Holdings,76781,99.62,Seracare,79929,99.62,Serac Sports,12097,99.6,Geraco,72990,99.57000000000001,Adderacare,116528,99.56,Adderacare (Berlin),267475,99.56,Interactive Units,196900,99.56,Era Group,46948,99.55,RAC,49978,99.55
ERB RECOVERY DESIGNATED ACTIVITY COMPANY,11087,erb recovery designated activity,erb,ERB Lumber,64610.0,,,Verbio Vereinigte Bioenergie,90491,99.5,Verbio Vereinigte (XETRA) Bioenergie,96577,99.5,Verbio Vereinigte Bioenergie (Swiss Stock Exchange),226026,99.5,Gerber Scientific,60026,99.49,Gerber Scientific (Berlin),286583,99.49,Canterbury Building Society,33076,99.47,Sherbrooke Equity,22071,99.45,Sherbrooke Equity (XETRA),22072,99.45,Cerberus Telecom Acquisition Units,193918,99.45,Everbright Capital,7748,99.44
Erdoel-Lagergesellschaft m.b.H.,2849,erdoel lagergesellschaft m.b.h.,erdoel,,,,,Erdoelraffinerie AG,17219,99.43,OEL (Holdings),121498,99.18,El Company,109292,99.12,El Company,227555,99.12,O-Bank,115989,99.06,Super Dollar Stores,68501,82.61,Silver Dollar Resources,86131,82.61,Silver Dollar (Non-NASDAQ OTC) Resources,248782,82.61,Silver Dollar (Frankfurt) Resources,266073,82.61,Perdoceo Education,134827,82.58
