Target Name,Target No.,preprocessed,Focus Text,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
ELLI INVESTMENTS LIMITED,9533,elli investments,elli,Mellin Industries,55957,99.67,Hellix Ventures (Non-NASDAQ OTC),129962,99.65,Hellix Ventures,215501,99.65,Spelling Entertainment,68298,99.63,Spelling Entertainment Group,68299,99.63,Spelling Entertainment,200663,99.63,Hellix Ventures Warrants,158688,99.6,Ellinikes Chimikes,7561,99.59,Jingellic Mines,2366,99.58,Gabelli RBI Nextshares,205471,99.58
Henson International Finance Ltd,10375,henson,henson,Company On,1218,99.5,NS Group,66949,99.5,NS,121444,99.5,NS Group (Berlin),302348,99.5,O-Bank,115989,99.29,Stephensons Rental Services Income Fund,12583,99.27,Ramco-Gershenson Properties Preferred B,199777,99.27,Ramco-Gershenson (XETRA) Properties Trust Share Ben Interest,308025,99.23,Ramco-Gershenson Properties Trust 7.95% Preferred Convertible Series C,199778,99.17,Song,12411,85.74
ITT HOLDINGS LLC,24157,itt,itt,ITT,134453,100.0,ITT,197138,100.0,ITT (Tokyo),222013,100.0,ITT (AMS),237409,100.0,ITT (Pet),251716,100.0,ITT (Frankfurt),264041,100.0,ITT (XETRA),264042,100.0,ITT (Paris-SBF),287263,100.0,Hitt (Berlin),286898,99.86,IT,27121,99.8
JCB FINANCE S.A.S.,8617,jcb,jcb,JC,42605,99.8,JC (Stuttgart),295521,99.8,Jcbnext,110707,99.6,C Holdings,24873,99.5,J Trust,110632,99.5,J-Group Holdings,110634,99.5,J-Holdings,110635,99.5,J Trust (Stuttgart),271481,99.5,Penney JC (Mexico),222502,79.53,Penney JC (XETRA),307739,79.53
MPH ACQUISITION HOLDINGS LLC,23848,mph acquisition,mph,TKK Symphony Acquisition Units,210518,99.67,Triumph Communications,58175,99.59,Symphony Communication,123171,99.59,Symphony Communication (Stuttgart),282212,99.59,Mphasis,97887,99.55,Mphasis (National India),222315,99.55,Amphion Innovations,44887,99.53,Amphion Innovations (Berlin),284237,99.53,Amphion Innovations (XETRA),309764,99.53,MPHB Capital,111887,99.52
NB FINANCE LTD.,14971,nb,nb,NBK Bank,37368,99.8,Group NBT,47559,99.8,MNB,56083,99.8,NBI,56242,99.8,CNB Holdings,71271,99.8,NBC Bank,79593,99.8,NBL,84882,99.8,DNB Bank,106137,99.8,NBS Bank,112049,99.8,HNB Finance,119459,99.8
PT Bank Commonwealth,10847,pt commonwealth,pt,Optique Commerciale,20781,99.59,Opta Minerals,10830,99.57000000000001,Optimi Health,85153,99.57000000000001,Opta Minerals (Non-NASDAQ OTC),238823,99.57000000000001,Optimi Health (Non-NASDAQ OTC),247781,99.57000000000001,Optimi Health (Frankfurt),265182,99.57000000000001,RPT Realty,134960,99.56,RPT Realty (Frankfurt),265865,99.56,Optonet,37764,99.55,PTM Com,21361,99.55
RAK CAPITAL,14817,rak capital,rak,Rako Capital,76342,99.96000000000001,Toprak Kagit,44165,99.61,Trak Auto,77676,99.6,Rakhat,113023,99.59,Prakit Holdings,121857,99.59,Rentrak Japan,29646,99.58,Perak Transit,112704,99.58,RAK Petroleum,113021,99.58,Trakcja Prkii,114474,99.58,RAK Petroleum (Stockholm),228516,99.58
BANCA ALETTI & C SPA,12220,banca aletti & c spa,banca,Banca Carige Spa,165075,99.67,Banca Cremi ACP,172968,99.63,Banca Albina,32652,99.62,Bancal Tri-State,62812,99.61,Banca Carige RSP,162411,99.61,Banca Italease,14990,99.59,Banca Agricola,32651,99.59,Banca Macerata,91365,99.59,Banca Italease (Stuttgart),276968,99.59,Banca Italease (XETRA),310143,99.59
