Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
CP Foods Capital Limited,18177,DS,34066,90,"[('DS', 90), ('Germman Bangla Join Foods', 86), ('Greens Foods', 86), ('National Foods', 86), ('Network Foods', 86), ('Panfida Foods', 86), ('Patties Foods', 86), ('Weston G Foods', 86), ('Canbra Foods', 86), ('Canadian Splitshare CP Thoms Peacs-PMT Cap', 86)]"
BBGI PUBLIC COMPANY LIMITED,18180,Public Company Limited,121685,95,"[('Public Company Limited', 95), ('Bbgi Public Company Limited NVDR', 95), ('Trust Company', 90), ('LIC', 90), ('Public', 90), ('MPA', 90), ('Bbgi', 90), ('BGI', 90), ('Antipodes Global Investment Company', 86), ('Arab International Insurance Company', 86)]"
Triple T Broadband Public Company Limited,18181,Trust Company,4284,90,"[('Trust Company', 90), ('Public', 90), ('Broadband Security', 90), ('Public Company Limited', 90), ('Bakixanov Company', 86), ('Company On', 86), ('Contax Holding Company', 86), ('E P T', 86), ('Faulding FH&Company', 86), ('King Island Company', 86)]"
BANQUE TUNISO KOWETIENNE S.A.,18189,NIS,115980,90,"[('NIS', 90), ('Generale Banque', 86), ('Generale Banque Not Ranking For Dividend', 86), (""Banque Nationale de Paris Resources 'A'"", 86), ('Banque Bruxelles Lambert Boeblingen Investment Spain Capital', 86), ('Banque Bruxelles Lambert Boeblingen Investment (TSE Telecommunications and Media Distribution', 86), ('Banque Paribas Belges Paricor Parfixi 2000 Capital', 86), ('AXA Banque Limited Data', 86), ('Bacob Banque NV', 86), ('Banque Aquitaine', 86)]"
Arab International Lease S.A.,18190,Ion,73918,90,"[('Ion', 90), ('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('ONA', 90), ('National', 90), ('RAB Capital', 90), ('Tern', 90), ('ATI', 90)]"
YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI,18193,Yapi Kredi,44477,90,"[('Yapi Kredi', 90), ('Yapi Kredi Finansal Kiralama', 90), ('Alternatif Yatirim Ortakligi', 86), ('Aslan Cimento Anonim Sirketi', 86), ('Eczacibasi Yapi B', 86), ('Iktisat Finansal', 86), ('Toprak Finansal', 86), ('Yapi Kredi Sigorta', 86), ('Yapi Kredi Yatirim Ortakligi B', 86), ('Yapi VE Kredi Bankasi', 86)]"
TURKIYE CUMHURIYETI ZIRAAT BANKASI ANONIM SIRK,18241,Turkiye Cumhuriyeti Ziraat Bankasi,44236,95,"[('Turkiye Cumhuriyeti Ziraat Bankasi', 95), ('T Bank', 90), ('Aslan Cimento Anonim Sirketi', 86), ('Asya Katilim Bankasi', 86), ('T Kalkinma Bankasi', 86), ('Turk Ekonomi Bankasi', 86), ('Turkiye Garanti Bankasi', 86), ('Turkiye Vakiflar Bankasi', 86), ('Turkiye Halk Bankasi', 86), (""Turkiye IS Bankasi 'C'"", 86)]"
TURKIYE IHRACAT KREDI BANKASI ANONIM SIRKETI,18242,Aslan Cimento Anonim Sirketi,41274,86,"[('Aslan Cimento Anonim Sirketi', 86), ('Asya Katilim Bankasi', 86), ('T Kalkinma Bankasi', 86), ('Turk Ekonomi Bankasi', 86), ('Yapi Kredi', 86), ('Yapi Kredi Sigorta', 86), ('Yapi Kredi Finansal Kiralama', 86), ('Turkiye Garanti Bankasi', 86), ('Turkiye Vakiflar Bankasi', 86), ('Turkiye Halk Bankasi', 86)]"
Garanti Finansal Kiralama AS,18243,Garant,34774,90,"[('Garant', 90), ('Garan', 90), ('Aran', 90), ('IS Finansal Kiralama', 87), ('Berlin III AS', 86), ('Danfoss AS', 86), ('Dollar Kredit AS', 86), ('Doma AS', 86), ('Kablo Elektro AS', 86), ('Noving AS', 86)]"
ING Bank AS.,18244,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90), ('Security Bank', 90), ('Advance Bank Australia', 86)]"
