Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
T.H.F.C. (FUNDING NO. 1) PLC,9227,1 MAJ Metalska,1,86,"[('1 MAJ Metalska', 86), ('Agsu-Konserv-1', 86), ('Ask Funding', 86), ('Australian Masters Yield Fund Number 1', 86), ('Australian Masters Corporate Bond Fund Number 1', 86), ('Baki Insaat 1', 86), ('Baki Tikinti-1', 86), ('Band C F INV On', 86), ('Bernheim-Comofi Take Over by B C Holding', 86), ('BS&C Empreendimentos E Participacoes', 86)]"
Standard Bank Plc,9228,Standard Bank,113853,100,"[('Standard Bank', 100), ('Standard Bank', 100), ('Standard Bank', 100), ('Standard Bank', 100), ('Standard Bank Group', 95), ('Standard Bank Group', 95), ('Andar', 90), ('AR', 90), ('Security Bank', 90), ('Da Securities', 90)]"
SL MACS PLC,9229,Capital M,59340,90,"[('Capital M', 90), ('Capital A', 90), ('SL', 90), ('CS', 90), ('Dinamo - SL AD', 86), ('Unie Van Redding-SL', 86), ('SL Split Capital Shares', 86), ('Solarpack Corporacion Tecnologica SL', 86), ('1 SL Hospodarsky IF', 86), ('IF Regiofond SL Po', 86)]"
CLOSE BROTHERS FINANCE PLC,9230,INA,65640,90,"[('INA', 90), ('S&F Capital', 90), ('Prime Finance', 86), ('LEF Mclean Brothers International', 86), ('Petrobras Inernational Finance Company', 86), ('RCI Finance', 86), ('3A Finance', 86), ('Alpha Finance', 86), ('Artis Finance', 86), ('Finance Mining', 86)]"
BRITISH UNITED PROVIDENT ASSOCIATION LIMITED(T,9231,United,114651,90,"[('United', 90), ('British', 90), ('United', 90), ('United', 90), (""o'Connor T"", 86), ('P A T Foods Limited', 86), ('United Airways', 86), ('United Australia Industry', 86), ('United Energy Loan Stapled', 86), ('United Goldfield', 86)]"
Banco Bilbao Vizcaya Argentaria SA,9232,Banco Bilbao Vizcaya Argentaria,87408,100,"[('Banco Bilbao Vizcaya Argentaria', 100), ('Banco Bilbao Vizcaya Argentaria BDR', 95), ('Banco Bilbao (Mexico) Vizcaya Argentaria', 95), ('Banco Bilbao Vizcaya Argentaria (BUD)', 95), ('Banco Bilbao Vizcaya Argentaria (BRN)', 95), ('Banco Bilbao Vizcaya Argentaria (London)', 95), ('Banco Bilbao Vizcaya Argentaria (Milan)', 95), ('Banco Bilbao Vizcaya Argentaria Bonus Rights', 95), ('Banco Bilbao Vizcaya Argentaria Bonus Rights', 95), ('Banco Bilbao Vizcaya Argentaria Bonus Rights', 95)]"
SOUTH EAST WATER (FINANCE) LIMITED,9233,Dominant Finance Inc,1439,86,"[('Dominant Finance Inc', 86), ('East West Energy', 86), ('Hyundai Finance', 86), ('Prime Finance', 86), ('ACM Middenstands East Opportunities No Par Value Class A (SICAV)', 86), ('East Africa Gold Corporation', 86), ('East Coast Investment Grade Income Fund', 86), ('Petrobras Inernational Finance Company', 86), ('RCI Finance', 86), ('South Duval Gold', 86)]"
PERMANENT FINANCING (NO.6) PLC,9234,Financing,17627,90,"[('Financing', 90), ('Baki-Naqliyyat-6', 86), ('Imisli YOL 6', 86), ('ACM Middenstands East Opportunities No Par Value Class A (SICAV)', 86), ('Adig Investment Fondir Units No Par Value', 86), (""Alliance Atlantis Communications 'B' Non Voting Shares No Par Value"", 86), ('BIL Taiwan Premier No Par Value (SICAV)', 86), ('China Opportunities Fund Units No Par Value', 86), ('Manufactures Life Insurance Class A Shares Series 6', 86), ('Fonciere 6 et 7', 86)]"
Land Securities Capital Markets PLC.,9235,AR,24258,90,"[('AR', 90), ('Ark', 90), ('Land', 90), ('TS', 90), ('LC Corporation', 90), ('Agricultural Land Opportunity Fund MEL Invest REIT', 86), ('Canada Land Chess/Crest Depository Interest', 86), ('Credit Suisse PL100 Emerging Markets Infrastructure Development Trust', 86), ('Elarg Agricultural Land Opportunity Fund', 86), ('Land and Mineral Exploration', 86)]"
TRAVELEX HOLDINGS LIMITED,9236,Travelite Holdings,123674,91,"[('Travelite Holdings', 91), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Holdings', 90), ('Corporation Holding', 90), ('Holdings', 90), ('Tree Holdings', 87), ('3Q Holdings', 86)]"
