Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
"CBS Broadcasting, Inc.",21757,CB Capital,6254,90,"[('CB Capital', 90), ('BS', 90), ('DC', 90), ('Asting', 90), ('CBS', 90), ('STI', 90), ('Cast', 90), ('Asti', 90), ('CAS', 90), ('CBS', 90)]"
"CPG Partners, L.P.",21758,AR,24258,90,"[('AR', 90), ('Art', 90), ('Art', 90), ('Art', 90), ('PG', 90), ('Artner', 90), ('Capital Partners', 90), ('PA', 90), ('RS', 90), ('Art', 90)]"
Henkel Corporation,21759,Henkel,87513,100,"[('Henkel', 100), ('Heinkel', 92), ('El Corporation', 90), ('Henkel KGaA Stammaktie', 90), ('Henkel Spic India', 90), ('Henkel (XETRA)', 90), ('KEL', 90), ('NK', 90), ('Henkel Preference (XETRA)', 90), ('Henkel Preference', 90)]"
"Black Hills Power, Inc.",21760,Capital Hill,15644,90,"[('Capital Hill', 90), ('Capital Power', 90), ('Capital Power', 90), ('Hills', 90), ('Capital Power', 90), ('Lac', 90), ('Black Hills', 90), ('Capital Power', 90), ('ERM Power', 86), ('Summit Purbanchol Power Company', 86)]"
SunAmerica Institutional Funding,21761,Name,10356,90,"[('Name', 90), ('Sunam', 90), ('Sunamerica', 90), ('Ask Funding', 86), ('BBVA Capital Funding', 86), ('Four Crystal Funding', 86), ('United Development Funding IV Common Shares of Beneficial Interest', 86), ('Asta Funding', 86), ('Patriot Capital Funding', 86), ('RBS Capital Funding Trust VI 6.25%', 86)]"
CITIFINANCIAL CREDIT COMPANY,21762,Trust Company,4284,90,"[('Trust Company', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Bakixanov Company', 86), ('Company On', 86), ('Credit General', 86)]"
"MetLife Funding, Inc.",21763,Life,120584,90,"[('Life', 90), ('IFE', 90), ('Life', 90), ('Life', 90), ('Life', 90), ('TLI', 90), ('Metlife', 90), ('A&E Capital Funding Single Voting', 86), ('Funding Electric Vehicles', 86), ('D&D', 86)]"
Sun Canada Financial Co.,21764,Financial Trust Corporation,195613,90,"[('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('INA', 90), ('Financial Trust Corporation', 90), ('ADA', 90), ('Financial Trust Corporation', 90), ('Sun', 90), ('Sun*', 90), ('Financial Trust Corporation', 90)]"
"Simon Property Group, L.P.",21765,Simon Property Group,133105,100,"[('Simon Property Group', 100), ('Simon Property Group Class B', 95), ('Simon Property Group BDR', 95), (""Simon Property Group 'C'"", 95), (""Simon Property Group 'B'"", 95), ('Property Capital Trust', 90), ('Group', 90), ('Group', 90), ('Property Capital Trust', 90), ('Group', 90)]"
Boston Gas Company,21766,Trust Company,4284,90,"[('Trust Company', 90), ('MPA', 90), ('AS Company', 90), ('STO', 90), ('BOS Securities', 90), ('Antipodes Global Investment Company', 86), ('Apollo Gas', 86), ('Arab International Insurance Company', 86), ('Barbados Shipping and Trading Company Limited', 86), ('Bulgarian Telecommunications Company', 86)]"
Verizon California Inc,21767,Verizon California,148120,100,"[('Verizon California', 100), ('Ali', 90), ('Southern California Edison (London)', 86), ('First Pacific Bancorp California', 86), ('First Citizens Bank California', 86), ('Alliance Bancshares California', 86), ('California Bank of Commerce', 86), ('California Coastal Communities', 86), ('California Republic Bancorp', 86), ('Mojave Desert Bank N A California', 86)]"
GTE Southwest Incorporated,21768,Capital Southwest,139571,95,"[('Capital Southwest', 95), ('West', 90), ('West', 90), ('GTE', 90), ('West', 90), ('GTE Southwest Preferred 5.1%', 90), ('GTE Southwest Preferred $2.2', 90), ('Southwest Technologies', 86), ('S E S', 86), (""Charterhouse General o'Seas Southwest F"", 86)]"
