Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Banco Bilbao Vizcaya Argentaria Paraguay SA,17079,Banco Bilbao Vizcaya Argentaria,3401,95,"[('Banco Bilbao Vizcaya Argentaria', 95), ('Argentaria', 90), ('Genta', 90), ('Banco Bilbao Vizcaya Argentaria BDR', 89), ('Banco Bilbao Vizcaya Argentaria (BRN)', 89), ('Banco Bilbao Vizcaya Argentaria (BUD)', 89), ('Banco Products India', 86), ('Banco Santander', 86), ('Banco do Brasil On', 86), ('Banco BPM', 86)]"
WISDOM PRODUCT S.A.E.C.A.,17080,Duc,40755,90,"[('Duc', 90), ('Dom Security', 90), ('T&S', 90), ('Dom Security', 90), ('Capital Product', 90), (""Avic XI An Aircraft Industry Group 'A'"", 86), (""Anhui Great Wall Military Industry 'A'"", 86), (""Avicopter 'A'"", 86), (""Beijing BEI Mo GAO KE Friction Material 'A'"", 86), (""Changsha Jingjia Microelectronics 'A'"", 86)]"
TELEFONICA CELULAR DEL PARAGUAY SA,17081,Fonic,21539,90,"[('Fonic', 90), ('Telefonica', 90), ('Telefonica', 90), ('Oakes del Peru', 86), ('Banco del Caribe A', 86), ('Banco del Pichincha', 86), ('Banco del Pacifico', 86), ('Banco del Pacifico', 86), ('Banco del Tungurahua', 86), ('Heritage Bancorp del', 86)]"
Banco Itau Paraguay S.A.,17082,Security Banc,8809,90,"[('Security Banc', 90), ('Tau Capital', 90), ('Banco Bilbao Vizcaya Argentaria', 86), ('Banco BPM', 86), (""Banco Intercontinental Espanol 'R'"", 86), ('Banco Bilbao Vizcaya Argt Clomb', 86), ('Banco del Bajio Idbc Multiple', 86), ('Mibanco Banco de La Micro Empresa', 86), ('Banco Bisa', 86), ('Banco Cofiec SA', 86)]"
Nucleo S.A.,17083,Electro-Nucleonics,12682,90,"[('Electro-Nucleonics', 90), ('American Nucleonics', 90), ('UC Corporation', 90), ('LEO', 90), ('UC Corporation', 90), ('LEO', 90), ('Nucleus', 77), ('Ledo', 77), ('Leoc', 77), ('Chem-Nuclear Systems', 75)]"
Industries Qatar Q.S.C,17099,UST,111183,90,"[('UST', 90), ('Capital Industries', 90), ('Capital Industries', 90), ('UST', 90), ('Capital Industries', 90), ('UST', 90), ('ATA Inc', 90), (""North Industries Group Red Arrow 'A'"", 86), ('Krishna Defence and Allied Industries', 86), ('Alert B&C', 86)]"
Qatar Fuel Company QPSC,17102,PSC,98131,90,"[('PSC', 90), ('Trust Company', 90), ('PSC', 90), ('PSC', 90), ('MPA', 90), ('ATA Inc', 90), ('Hypower Fuel', 86), ('Renewable Fuel', 86), ('Al Corn Clean Fuel Limited Partnership Units A', 86), ('China Biodiesel International Holding Company', 86)]"
Qatar National Cement Company Q.P.S.C.,17104,National,277110,90,"[('National', 90), ('National', 90), ('National', 90), ('Trust Company', 90), ('National', 90), ('National', 90), ('Air Asia Company', 86), ('Butler National', 86), ('Danish Aerospace Company', 86), ('A Baumann and Company', 86)]"
Ras Laffan Liquefied Natural Gas Co. Ltd (3),17106,Liquefied Natural Gas,157954,90,"[('Liquefied Natural Gas', 90), ('Gas Corporate Jets', 86), ('Matador 3', 86), ('Petrotech Oil and Gas', 86), (""ENN Natural Gas 'A'"", 86), (""Guangdong Huate Gas 'A'"", 86), ('Mitsubishi Gas Chemical', 86), (""Suzhou Jinhong Gas 'A'"", 86), ('Aneka Gas Industri', 86), ('Bon Natural Life', 86)]"
Barwa Bank Q.S.C.,17108,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('AR', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90), ('WA', 90)]"
Qatar Reinsurance Company LLC,17111,Trust Company,34779,90,"[('Trust Company', 90), ('Pakistan Reinsurance Company', 87), ('Air Asia Company', 86), ('China Biodiesel International Holding Company', 86), ('Xinliwang International Holdings Company', 86), ('Comprehensive Multiple Project Company', 86), ('Ford Motor Company Capital Trust Trust Originated Preferred Securities 9%', 86), ('Koza Company', 86), ('CB Central Company- Operative Bank AD-Sofia', 86), ('Qatar First Bank', 86)]"
Industrial and Commercial Bank of China Limite,17112,Industrial and Commercial Bank of China 'A',3360,93,"[(""Industrial and Commercial Bank of China 'A'"", 93), (""Industrial and Commercial Bank of China 'H'"", 93), ('Industrial and Commercial Bank of China Asia', 91), ('Industrial and Commercial Bank', 90), ('Trust Commercial Bank', 90), ('Industrial and Commercial Bank of China (Thai)', 90), (""Industrial and Commercial Bank of China 'H' (SZS)"", 88), ('Industrial and Commercial Bank of China (Thai) NVDR', 87), ('Industrial and Commercial Bank of China (Thai) Preferred NVDR', 87), ('Industrial and Commercial Bank of China Preferred', 87)]"
Bank of China Limited (Qatar Financial Centre,17115,Financial Trust Corporation,175101,90,"[('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Centre Capital', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('China Southern Power Grid Energy Efficiency and Clean Energy A', 86), ('China Network Media', 86), ('GC China Turbine', 86)]"
RCS & RDS SA,17118,DS,21296,90,"[('DS', 90), ('CS', 90), ('R R Securities', 86), ('RCS Vanaspati Industries', 86), ('D&D', 86), ('RCS Libri Privilegies', 86), ('RCS Libri and Grand Opere', 86), ('RCS Libri and Grand Opere', 86), ('RCS Mediag RSP B', 86), ('RCS Mediagroup RSP', 86)]"
Banca Comerciala Romana S.A.,17119,Security Banc,8809,90,"[('Security Banc', 90), ('NCA', 90), ('Roman', 90), ('Man AG', 90), ('Man AG', 90), ('A-Com', 90), ('CIA', 90), ('ALA', 90), ('Man AG', 90), ('Roman', 90)]"
Raiffeisen Bank S.A.,17120,Raiffeisenbank,8628,97,"[('Raiffeisenbank', 97), ('ISE', 90), ('Raiffeisen Bank International', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Raiffeisen Bank D D Bosna I Hercegovina', 90), ('Security Bank', 90)]"
UniCredit Tiriac Bank S.A.,17121,Unicredit,3410,90,"[('Unicredit', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('TIR', 90), ('T T', 90)]"
ALPHA BANK ROMANIA SA,17123,Alpha,131233,90,"[('Alpha', 90), ('PHA', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('ANI', 90)]"
