Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
BBVA International Limited,14720,International,206505,95,"[('International', 95), ('BSA International', 91), ('MBV International', 91), ('Ion', 90), ('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('ONA', 90), ('National', 90)]"
THPA Finance Limited,14721,Thapar Finance,30942,92,"[('Thapar Finance', 92), ('INA', 90), ('PA', 90), ('NC&', 90), ('HP', 90), ('Allco Finance Group', 86), ('Beneficial Finance', 86), ('China Finance Holding Company', 86), ('Ding Sheng XIN Finance', 86), ('Intermills (Finance)', 86)]"
Seagate Technology International,14722,Technology International,77468,95,"[('Technology International', 95), ('National', 90), ('Seagate Technology', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('National', 90), ('Eaga', 90), ('Tern', 90), ('Stato Technology International', 90)]"
Petrobras International Finance Company,14723,Petrobras Inernational Finance Company,11144,99,"[('Petrobras Inernational Finance Company', 99), ('Trust Company', 90), ('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('National Finance', 90), ('National', 90), ('International Finance Corporation', 90), ('National', 90)]"
Swire Pacific MTN Financing Limited,14724,Pacific,37846,90,"[('Pacific', 90), ('Financing', 90), ('Pacific', 90), ('Accor Asia Pacific', 86), ('Asian Pacific', 86), ('Australian Pacific Technology Dead-Merger 600818', 86), ('City Pacific', 86), ('Highlands Pacific', 86), ('Horizon Pacific', 86), ('Indonesia Pacific', 86)]"
KASIKORNBANK Public Company Limited,14725,Trust Company,4284,90,"[('Trust Company', 90), ('Security Bank', 90), ('Public', 90), ('Nbank Corporation', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
KBC Financial Products International Limited,14726,National,222336,90,"[('National', 90), ('Financial Trust Corporation', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('National', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('National', 90)]"
Banco Santander (Brasil) S.A.,14727,Banco Santander Brasil Units,80317,95,"[('Banco Santander Brasil Units', 95), ('Banco Santander Brasil Cedear', 95), ('Banco Santander Brasil ADR 1:1', 95), ('Santander', 90), ('Santander', 90), ('RAS', 90), ('ANT', 90), ('Anta', 90), ('ASI', 90), ('Security Banc', 90)]"
GHG Finance Limited,14728,GPG Finance PLC,47490,91,"[('GPG Finance PLC', 91), ('INA', 90), ('NC&', 90), ('Gruh Finance', 87), ('Gruh Finance', 87), ('Allco Finance Group', 86), ('Beneficial Finance', 86), ('China Finance Holding Company', 86), ('Ding Sheng XIN Finance', 86), ('Intermills (Finance)', 86)]"
MTR Corporation (C.I.) Ltd,14729,Capital M,59340,90,"[('Capital M', 90), ('MTR', 90), ('A C N 059 457 279', 86), ('A C N 603 323 182', 86), ('A R C Industries', 86), (""Banco de Galicia Buenos Aires 'C'"", 86), ('Band C F INV On', 86), ('Bernheim-Comofi Take Over by B C Holding', 86), ('BS&C Empreendimentos E Participacoes', 86), ('C C Bottlers', 86)]"
Signum Hazel Limited,14730,El Corporation,1533,90,"[('El Corporation', 90), ('Azel', 90), ('Sign', 90), ('SIG', 90), ('Aziel', 80), ('Azwell', 72), ('Elk', 72), ('Elk', 72), ('Ely Capital', 72), ('ELQ', 72)]"
