Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
CALOI NORTE SA,4217,caloi norte,caloi,BIC Caloi PNB,150829.0,,,BIC Caloi PNB,150829,99.58,Cal Bank,91722,99.43,CA,59309,99.31,Al Group,98448,99.31,Al Group (Temp),164711,99.31,CA (Frankfurt),277291,99.31,CA (Vienna Stock Exchange),284948,99.31,CA (XETRA),304927,99.31,C Holdings,24873,99.17,O-Bank,115989,99.17
"Calpine Construction Finance Company, L.P.",21885,calpine construction,calpine,Calpine,59327.0,Calpine Natural Gas Trust (Non-NASDAQ OTC),235026.0,Calpine Resources,5993,99.59,Calpine Power Income Fund,5992,99.58,Calpine Power Income Fund,235027,99.58,Calpine Power Income Fund (Non-NASDAQ OTC),235028,99.58,Calpine Natural Gas Trust,5991,99.56,Calpine Capital Trust III,70804,99.56,Calpine Natural Gas Trust (Non-NASDAQ OTC),235026,99.56,Calpine Power Income Fund Subscription Receipts,156830,99.54,Calpine,59327,99.52,Calpine,203547,99.52
CALYCE PLC,9434,calyce,calyce,,,,,Cal Bank,91722,99.67,CA,59309,99.5,Al Group,98448,99.5,CE Holdings,108530,99.5,YC,124262,99.5,Al Group (Temp),164711,99.5,CA (Frankfurt),277291,99.5,CA (Vienna Stock Exchange),284948,99.5,CA (XETRA),304927,99.5,C Holdings,24873,99.29
"CAM CAPITAL, S.A. UNIPERSONAL",8014,cam capital unipersonal,cam,Cam-Financial,15612.0,Trakya Cam Sanayi (Non-NASDAQ OTC),240465.0,Cambridge Capital Acquisition Unit,203557,99.6,Campar Capital,6012,99.59,Decama Capital,100016,99.59,Campar Capital (Non-NASDAQ OTC),235037,99.59,Camford Capital,6010,99.58,Camelot Capital,45803,99.58,Camden National,135979,99.58,Camden National (Frankfurt),261916,99.58,Camelot Capital (Berlin),300012,99.58,La Campina Forestal,137235,99.57000000000001
CAM GLOBAL FINANCE SA,8044,cam global,cam,Cam-Financial,15612.0,Trakya Cam Sanayi (Non-NASDAQ OTC),240465.0,Camflo International,6009,99.62,Cambas,15614,99.62,Camflo International (OTC Bulletin Board),235036,99.62,Camflo International (Berlin),300014,99.62,Cam-or,63243,99.62,Cam Ha,125261,99.62,Camelot,15617,99.59,Camelot (XETRA),15618,99.59,Cambian Group,45797,99.59,Cambian Group (Non-NASDAQ OTC),235035,99.59
CAM INTERNATIONAL ISSUES SA,8060,cam issues,cam,Cam-Financial,15612.0,Trakya Cam Sanayi (Non-NASDAQ OTC),240465.0,Caminus,70819,99.71,Caminus (Frankfurt),293785,99.71,Caminus (XETRA),304963,99.71,Cam Resources,108451,99.7,Hucamp Mines,8790,99.64,Camson Seeds,99331,99.64,Cameo Resources (Frankfurt),277342,99.64,Cambrian Systems,52901,99.62,Camaieu,15613,99.59,Acambis,44656,99.59
CAMPOS DOS VENTOS V ENERGIAS RENOVAVEIS S.A.,4370,campos dos ventos v energias renovaveis,campos,Campos Hermanos,24906.0,,,Campos Deportivos Craighouse A,143113,99.52,Campos Deportivos Craighouse B,156856,99.52,Camposanto Santa ANA,78812,99.51,Campos Hermanos,24906,99.48,Campos Chilenos,91730,99.44,Camposol Holding,33073,99.4,Camposol Holding (Non-NASDAQ OTC),235038,99.4,AMP,62539,99.14,AMP,80393,99.14,Cam Group,128561,99.14
Campos Novos Energia S.A.,4193,campos novos energia,campos,Campos Hermanos,24906.0,,,Camposanto Santa ANA,78812,99.6,Campos Deportivos Craighouse A,143113,99.6,Campos Hermanos,24906,99.57000000000001,Campos Chilenos,91730,99.57000000000001,Camposol Holding,33073,99.56,Camposol Holding (Non-NASDAQ OTC),235038,99.56,Campos Deportivos Craighouse B,156856,99.56,AMP,62539,99.26,AMP,80393,99.26,Cam Group,128561,99.26
Canada Housing Trust No. 1,5051,canada housing no. 1,canada,Air Canada,155998.0,Canada Carbon (Non-NASDAQ OTC),244379.0,Canada Tungsten,6046,99.63,Canada Tungsten (Stuttgart),221320,99.63,Canada House Wellness Group,81983,99.63,Canada House Wellness Group (Non-NASDAQ OTC),244381,99.63,Canada House Wellness Group (Frankfurt),261928,99.63,Canada Income Plus Fund 19,6024,99.61,Canada Malting,6028,99.59,Canada Lease Fing,6027,99.59,Canada One Mining,81986,99.59,Canada One Mining (Non-NASDAQ OTC),244383,99.59
Canada Square Operations plc,9103,canada square operations,canada,Air Canada,155998.0,Canada Carbon (Non-NASDAQ OTC),244379.0,Canada Jetlines Operations,81984,99.76,Canada Rare Earths (XETRA),310563,99.71,Canada Mac Exploration,6041,99.7,Canada Rare Earth,81987,99.68,Canada Rare Earth (Non-NASDAQ OTC),244384,99.68,Canada Rare Earth (Frankfurt),261931,99.68,Lynx-Canada Exploration,9796,99.64,Canada Splitshare Warrants,156864,99.64,Beau Canada Exploration (Munich),293559,99.64,Canada Brokerlink,6039,99.63
