Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
CMB INTERNATIONAL LEASING MANAGEMENT LIMITED,10572,National,277110,90,"[('National', 90), ('Terna', 90), ('Capital Leasing', 90), ('Inter', 90), ('National', 90), ('National', 90), ('Managem', 90), ('Capital Leasing', 90), ('Management Trust', 90), ('National', 90)]"
GLP China Holdings Limited,10573,China Capital Holdings,29428,95,"[('China Capital Holdings', 95), ('China Capital Holdings', 95), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('INA', 90), ('LDI Corporation', 90), ('Corporation Holding', 90), ('Holdings', 90)]"
Leading Affluence Limited,10574,Lead,1996,90,"[('Lead', 90), ('Ading', 90), ('Fluence Corporation', 90), ('ADI', 90), ('Affluence', 90), ('Leading Spirit High-Technology', 86), ('Leading Value Number 1 Special Purpose Acquisition', 86), ('D&D', 86), ('F&F', 86), ('Hanwha Arirang ESG Leading Company ETF', 86)]"
Hong Kong Red Star Macalline Universal Home Fu,10575,Univers,37139,90,"[('Univers', 90), ('Universal', 90), ('Universal', 90), ('Universal Home', 90), ('Universal', 90), ('Star Navigation Systems Group', 86), ('Universal Detection Technology', 86), ('Universal Guardian Holdings', 86), ('Green Star Products', 86), ('Universal Solar Technology', 86)]"
CK HUTCHISON CAPITAL SECURITIES (17) LIMITED,10576,UTC,23168,90,"[('UTC', 90), ('Hi', 90), ('His', 90), ('CK Federal Savings Bank Merger 28/12/92', 86), ('Prime Bancshares Merger 17/02/93', 86), ('CK Power', 86), ('Arrow Electronics Depositary Shares Expired 17/09/92', 86), ('Moor Finanz AG B (Delisted 17/02/94)', 86), ('Americus Trust General Electric Score Liquidation 17/06/92', 86), ('Americus Trust Philip Morris Units Expired 17/07/92', 86)]"
Dr. Peng Holding Hongkong Limited,10577,Corporation Holding,140898,90,"[('Corporation Holding', 90), ('EVE Holding', 86), ('Iteknik Holding Corporation', 86), ('Clean Industry Solutions Holding Europe', 86), ('Hsinjing Holding', 86), ('SIF Holding', 86), ('CFQ Holding', 86), ('China Biodiesel International Holding Company', 86), ('Solarpro Holding', 86), ('Yangden Holding', 86)]"
Sumitomo Mitsui Trust Bank Ltd,10579,Sumitomo Mitsui Banking,9031,93,"[('Sumitomo Mitsui Banking', 93), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Mito Securities', 90), ('O-M Limited', 90)]"
Gemdale Ever Prosperity Investment Limited,10581,Prosper,55047,90,"[('Prosper', 90), ('Prosper', 90), ('Investment Trust Corporation', 90), ('Investment Trust Corporation', 90), ('Trust Invest', 90), ('Investment Trust Corporation', 90), ('Elbarbary Investment', 86), ('Prosperity Bancshares', 86), ('Balkan Investment Bank', 86), ('Social Investment Bank', 86)]"
SDG Finance Limited,10584,RSD Finance,26988,91,"[('RSD Finance', 91), ('SRG Securities Finance', 91), ('INA', 90), ('NC&', 90), ('SDFC Finance', 87), ('Kuwait Finance House', 86), ('GPO Finance Banorte', 86), ('AU Small Finance Bank', 86), (""Group Finance Galicia 'B'"", 86), ('The Housing Bank for Trade and Finance', 86)]"
Ping An Leasing Hong Kong Holdings Limited,10586,Holdings,169490,90,"[('Holdings', 90), ('Holdings', 90), ('Capital Leasing', 90), ('Holdings', 90), ('Holdings', 90), ('ONG Holdings', 90), ('Capital Leasing', 90), ('Corporation Holding', 90), ('Holdings', 90), ('Rolls-Royce Holdings', 86)]"
