Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
KLP KOMMUNEKREDITT AS,16565,klp kommunekreditt as,klp,KLP Group Takeover 915580 20/02/90,48418.0,,,KLP Group Takeover 915580 20/02/90,48418,99.37,K Group Holdings,101827,99.09,PKL,38110,79.37,PKL Holdings,49741,79.37,LKL International,111330,79.37,PKL Holdings (Berlin),302603,79.37,Kalpa Commercial,101869,66.92,KPN KON Rights (Non-NASDAQ OTC),237647,66.9,KP Media,42777,66.88,Kalyani Commercials,101873,66.88
Koc Fiat Kredi Tuketici Finansmani A.S.,18252,koc fiat kredi tuketici finansmani a.s.,koc,KOC Holding,115839.0,KOC Holding (Non-NASDAQ OTC),237627.0,KOC Holdings AS Unsponsored Turkey ADR 1:5,188722,99.47,KOC Holdings AS Unsponsored (Frankfurt) Turkey ADR 1:5,257996,99.47,Kochi Refineries,27615,99.44,Kochi Refineries,168601,99.44,Kochi Refineries (National India),222095,99.44,Kocaer Celik Sanayi VE Ticaret AS,120270,99.44,Koch Pipelines Canadian Limited Partnership Units,9472,99.42,Kocho Chestimenski AD,2448,99.4,Nikkociti Trust and Banking Corporation,28775,99.39,Kocref REIT 8,36156,99.38
KOKSTADFLATEN EIENDOMSINVEST II AS,16620,kokstadflaten eiendomsinvest ii as,kokstadflaten,,,,,Aten International,117046,99.21,Aten International (Non-NASDAQ OTC),234409,99.21,Ten,30895,99.16,STA Group,43876,99.16,ADF Group,80988,99.16,Lat,120529,99.16,ADF Group,155943,99.16,ADF Group (Non-NASDAQ OTC),243430,99.16,ADF Group (Frankfurt),260935,99.16,ADF Group (XETRA),309514,99.16
Komatsu Capital Europe S.A.,15195,komatsu capital europe,komatsu,Komatsu,106146.0,Komatsu (Non-NASDAQ OTC),246753.0,Komatsu Matere,111069,99.72,Komatsu Store,27640,99.63,Komatsu EDR,168612,99.61,Komatsu EDR (Luxembourg),298722,99.61,Komatsu Wall Industry,111070,99.6,Komatsu Certificates (Frankfurt),168611,99.57000000000001,Komatsu Certificates (XETRA),317336,99.57000000000001,Komatsu Indonesia,27639,99.56,Komatsu Zenoah,27641,99.56,Komatsu Manufacturing (London),232354,99.56
Komatsu Finance America Inc.,21531,komatsu america,komatsu,Komatsu,106146.0,Komatsu (Non-NASDAQ OTC),246753.0,Komatsu EDR,168612,99.77,Komatsu EDR (Luxembourg),298722,99.77,Komatsu Matere,111069,99.76,Komatsu Certificates (Frankfurt),168611,99.74,Komatsu Certificates (XETRA),317336,99.74,Komatsu Indonesia,27639,99.69,Komatsu Zenoah,27641,99.69,Komatsu Indonesia (Munich),295605,99.69,Komatsu ADR 1:1,188726,99.67,Komatsu ADR 1:1 (Frankfurt),257997,99.67
KOMMUNALBANKEN AS,16545,kommunalbanken as,kommunalbanken,,,,,Alba,14384,99.38,Alba (XETRA),14385,99.38,Alba,91065,99.38,NAL Bank,37292,99.3,UNA,68890,99.3,KEN Holdings,110916,99.3,OM Holdings,3117,99.21,OM,43231,99.21,OM Group,60832,99.21,OM Holdings,85128,99.21
Kommunalkredit Austria AG,2888,kommunalkredit austria,kommunalkredit,,,,,NAL Bank,37292,99.24,UNA,68890,99.24,DIT Group,100130,99.24,DIT Group (Temp),166336,99.24,DIT Group (Stuttgart),278205,99.24,OM Holdings,3117,99.17,IT,27121,99.17,KR,36305,99.17,OM,43231,99.17,IT Group,55439,99.17
KOMMUNALKREDIT Beteiligungs- und Immobilien Gm,2881,kommunalkredit beteiligungs und immobilien gm,kommunalkredit,,,,,NAL Bank,37292,99.12,UNA,68890,99.12,DIT Group,100130,99.12,DIT Group (Temp),166336,99.12,DIT Group (Stuttgart),278205,99.12,OM Holdings,3117,99.09,IT,27121,99.09,KR,36305,99.09,OM,43231,99.09,IT Group,55439,99.09
Kommunekredit,7886,kommunekredit,kommunekredit,,,,,DIT Group,100130,99.38,DIT Group (Temp),166336,99.38,DIT Group (Stuttgart),278205,99.38,OM Holdings,3117,99.27,IT,27121,99.27,KR,36305,99.27,OM,43231,99.27,IT Group,55439,99.27,IT Group Holdings,55440,99.27,OM Group,60832,99.27
Kommuninvest i Sverige Aktiebolag,17520,kommuninvest i sverige aktiebolag,kommuninvest,,,,,Trust Invest,4285,99.31,International Invest Bank,42547,99.31,Invest Bank,110546,99.31,Invest Bank,126116,99.31,INV,110540,99.17,NVE,137680,99.17,NVE (Frankfurt),265087,99.17,NVE (XETRA),307478,99.17,OM Holdings,3117,99.11,OM,43231,99.11
