Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
dtac TriNet Company Limited,18158,dtac trinet,dtac,,,,,DTA Holdings AG,16712,99.43,TAC,114047,99.43,TAC (Frankfurt),282242,99.43,TAC (XETRA),315916,99.43,Ta Holdings,50943,99.31,AC Holdings,107431,99.31,Ta,123225,99.31,T Bank,22692,99.17,C Holdings,24873,99.17,Yesdtc Holdings,58765,85.49
DTE Capital Corporation,22618,dte capital corporation,dte,DTE Energy,133201.0,,,Medtech Acquisition Corporation Class B,197928,99.61,Lava Medtech Acquisition Corporation Class B,197481,99.57000000000001,Rigidtech Microelectronics,43557,99.45,Medtech Acquisition A,137425,99.45,Medtecs International Depository Receipt,175758,99.45,Adtegrity Com International,127860,99.44,Padtec Holding,85247,99.43,Ledtech Electronics,120562,99.43,Adtec Plasma Technology,107467,99.43,Edtechx Holdings Acquisition II A,136401,99.43
Dubuque Bank & Trust Company,22684,dubuque &,dubuque,,,,,UBU Holdings,132415,99.5,Q Group,49941,99.2,Q (XETRA),314901,99.2,Ques,152556,85.6,Qume,67595,74.71,Qube Holdings,80769,74.71,Dbub Group,129049,74.71,Qube Holdings (Frankfurt),273825,74.71,Duquesne,195102,70.88000000000001,MTL Duque PN,145993,70.86000000000001
Ducato S.p.A.,12258,ducato,ducato,,,,,Duc,16718,99.67,At-Group,24421,99.5,At Trust,45099,99.5,CA,59309,99.5,UC,77822,99.5,To Holdings,114306,99.5,CA (Frankfurt),277291,99.5,CA (Vienna Stock Exchange),284948,99.5,CA (XETRA),304927,99.5,Horace Mann Educato (Frankfurt),263750,99.48
Duesseldorfer Hypothekenbank Aktiengesellschaf,7600,duesseldorfer hypothekenbank aktiengesellschaf,duesseldorfer,Koeln-Duesseldorfer Deutsche Rheinschiffahrt,19262.0,,,Koeln-Duesseldorfer Deutsche (XETRA) Rheinschiffahrt,19261,99.53,Koeln-Duesseldorfer Deutsche Rheinschiffahrt,19262,99.53,Orfe,37780,99.16,SSE,124455,99.12,SSE (BRN),225790,99.12,SSE (Non-NASDAQ OTC),249001,99.12,SSE (Frankfurt),274738,99.12,SSE (XETRA),274739,99.12,LD Holdings,55647,99.08,El Company,109292,99.08
Dufferin Wind Power Inc.,5345,dufferin wind power,dufferin,,,,,ERI Holdings,109402,99.27,F Investment Trust Group,125685,99.1,Fering,1709,90.49000000000001,Rino International,131671,85.49,Rino International (Berlin),288949,85.49,Rino International (XETRA),308111,85.49,Ring,50155,85.4,Rion,113138,85.4,Powell Duffryn,49811,79.56,Powell Duffyrn (Munich),296577,79.56
Dunfermline Building Society,9242,dunfermline building society,dunfermline,,,,,Line,27889,99.25,Line (Non-NASDAQ OTC),237786,99.25,Line (Frankfurt),279989,99.25,NF Holdings,112106,99.13,RM,126826,99.13,RM Group Holdings (Temp),170105,99.13,RM (Stuttgart),274035,99.13,RM (XETRA),315133,99.13,F Investment Trust Group,125685,99.07,Linde,19543,88.41
Duty Free Shops SA (CR),2448,duty free shops,duty,Duty,25647.0,World Duty Free Spa (Non-NASDAQ OTC),240939.0,Misr Duty Free Shops,94535,99.86,Jordan Duty Free Shops,110755,99.81,Duty Free International,72014,99.75,Duty Free International,118391,99.75,World Duty Free Spa,23696,99.71,World Duty Free Spa (Non-NASDAQ OTC),240939,99.71,World Duty Free Spa (Stuttgart),283014,99.71,Bahrain Duty Free Shop Complex,81690,99.62,New Zealand Duty Free,37434,99.5,China Tourism Group Duty Free 'A',87379,99.48
DW Catalyst Fund Ltd,10012,dw catalyst fund,dw,TCW / DW Balanced Fund,80051.0,,,DWS Rreef Real Estate Fund,143978,99.57000000000001,DWS Rreef Real Estate Fund,235980,99.57000000000001,Worldwide Value Fund,69399,99.56,Woodward Funds Capital Growth Fund,80249,99.56,Redwood Microcap Fund,146846,99.54,Worldwide Dollarvest Fund,148326,99.54,Adwall Capital,4838,99.53,TCW / DW Balanced Fund,80051,99.53,DWS Rreef Real Estate Fund II,143979,99.53,DWS Rreef Real Estate Fund II,235981,99.53
DWR CYMRU (FINANCING) LIMITED,9101,dwr cymru,dwr,,,,,Vidwrx,13566,99.4,Vidwrx (Non-NASDAQ OTC),240734,99.4,Vidwrx (Frankfurt),282803,99.4,Woodwrd and Lothrop,69386,99.36,MDW,19883,79.53,CDW International,24982,79.53,CDW,70960,79.53,CDW,133239,79.53,CDW (Mexico),217051,79.53,CDW (Pet),251234,79.53
DWR CYMRU CYFYNGEDIG,9244,dwr cymru cyfyngedig,dwr,,,,,Woodwrd and Lothrop,69386,99.31,Vidwrx,13566,99.23,Vidwrx (Non-NASDAQ OTC),240734,99.23,Vidwrx (Frankfurt),282803,99.23,MDW,19883,79.37,CDW International,24982,79.37,CDW,70960,79.37,CDW,133239,79.37,CDW (Mexico),217051,79.37,CDW (Pet),251234,79.37
DYNAMIC TALENT LIMITED,14909,dynamic talent,dynamic,Dynamic International,53883.0,Dynamic Fuel Systems (Non-NASDAQ OTC),245174.0,Dynamic Cables,100210,99.79,Dynamic Life,16752,99.77,Dynamic Securities Trading,16753,99.76,Dynamic Capital,143982,99.76,Dynamic Eastern Finance,143984,99.76,Dynamic International Units,204716,99.74,Dynamic Digital Depth,7393,99.74,Dynamic Ventures,53887,99.73,Dynamic American,72022,99.73,Dynamic Design,118403,99.71
E.CL S.A.,5745,e.cl,e.cl,,,,,C Holdings,24873,99.4,CLF Holdings,46147,79.77000000000001,CLP Holdings,97137,79.77000000000001,CLS Holdings,124693,79.77000000000001,CLP Holdings (HKSE Connect Equity),217342,79.77000000000001,CLP Holdings (SZS),217343,79.77000000000001,CLP Holdings (SEAQ International),221420,79.77000000000001,CLP Holdings (Non-NASDAQ OTC),244745,79.77000000000001,CLP Holdings (Frankfurt),269178,79.77000000000001,CLS Holdings (Frankfurt),269179,79.77000000000001
E.L.A.N. LTD,12399,e.l.a.n.,e.l.a.n.,,,,,AWN Holdings,480,66.69,LAV,2526,66.69,ATN,14830,66.69,Bel,15171,66.69,Gan,17790,66.69,Man,19737,66.69,Man,19738,66.69,Man (XETRA),19739,66.69,Cel,24987,66.69,Elk,25774,66.69
E.ON AG,7819,e.on,e.on,,,,,Company On,1218,99.67,O-Bank,115989,99.4,ONA,37748,79.77000000000001,Finance One,42130,79.77000000000001,Bank One,62826,79.77000000000001,ONG Holdings,75588,79.77000000000001,ONI International,75591,79.77000000000001,One Bank,85136,79.77000000000001,One,112488,79.77000000000001,Finance One (Munich),221662,79.77000000000001
E.ON Beteiligungen GmbH,7745,e.on beteiligungen gmbh,e.on,,,,,Company On,1218,99.16,O-Bank,115989,99.08,Finance One,42130,79.43,Bank One,62826,79.43,ONG Holdings,75588,79.43,ONI International,75591,79.43,One Bank,85136,79.43,One,112488,79.43,Finance One (Munich),221662,79.43,Bank One (Frankfurt),293482,79.43
E.ON Global Commodities SE,7717,e.on global commodities se,e.on,,,,,Company On,1218,99.14,O-Bank,115989,99.07,ONA,37748,79.41,Finance One,42130,79.41,Bank One,62826,79.41,ONG Holdings,75588,79.41,ONI International,75591,79.41,One Bank,85136,79.41,One,112488,79.41,Finance One (Munich),221662,79.41
