Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Oversea-Chinese Banking Corporation Limited,22879,Oversea-Chinese Banking,115123,100,"[('Oversea-Chinese Banking', 100), ('Oversea Chinese Banking ADR 1:2', 95), ('Oversea Chinese (London) Banking', 95), ('Oversea-Chinese (BRN) Banking', 95), ('Oversea-Chinese Banking 125', 95), ('Oversea-Chinese (XETRA) Banking', 95), ('Security Bank', 90), ('King', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Chinatrust Commercial Bank,22880,Security Bank,200310,90,"[('Security Bank', 90), ('Trust Commercial Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Natrust', 90), ('Security Bank', 90)]"
Mitsubishi UFJ Trust and Banking Corporation,22881,Mitsubishi Trust and Banking,28373,95,"[('Mitsubishi Trust and Banking', 95), ('Mitsubishi', 90), ('Security Bank', 90), ('King', 90), ('Mitsubishi UFJ Securities', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"Sumitomo Mitsui Trust Bank, Limited",22882,Sumitomo Mitsui Banking,30601,93,"[('Sumitomo Mitsui Banking', 93), ('Security Bank', 90), ('O-M Limited', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Mitsui', 90), ('Sumitomo', 90)]"
Australia and New Zealand Banking Group Limite,22883,Australia and New Zealand Banking Group,80289,95,"[('Australia and New Zealand Banking Group', 95), ('Australia and New Zealand Banking (New Zealand) Group', 95), ('Australian and New Zealand Banking Group DEF', 91), ('Australia and New Zealand Banking Group Rights', 91), ('New Zealand', 90), ('Austral', 90), ('Australia (ZRH) New Zealand Banking', 89), ('Australia and New Zealand Banking Group (XETRA)', 89), ('Australia and New Zealand Banking Group Capital Securities 9.125%', 88), ('Australia and New Zealand Banking Group Preference', 87)]"
Bank Negara Indonesia (Persero) Tbk PT (New Yo,22884,Bank Negara Indonesia,97200,90,"[('Bank Negara Indonesia', 90), ('Bank Negara', 90), ('Adelaide Bank', 86), ('Advance Bank Australia', 86), ('AFB Bank ASC', 86), ('Azar-Turk Bank', 86), ('Bahrain International Bank', 86), ('Bank Azerbaijan', 86), ('Bank of Western Australia', 86), ('Barbados National Bank', 86)]"
"Bank of Communications Co., Ltd.",22885,Bank of Communications 'A',87443,95,"[(""Bank of Communications 'A'"", 95), (""Bank of Communications 'H'"", 95), (""Bank of Communications 'H' (SZS)"", 95), ('Ion', 90), ('Capital Communication', 90), ('Security Bank', 90), ('NIC', 90), ('ICA AB', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"CHANGE HEALTHCARE HOLDINGS, INC.",22888,Healthcare Holdings,47757,95,"[('Healthcare Holdings', 95), ('Healthcare Holdings', 95), ('Holdings', 90), ('Holdings', 90), ('Health', 90), ('Holdings', 90), ('Healthcare', 90), ('Health', 90), ('Change', 90), ('Holdings', 90)]"
FIRST CENTRAL BANK MCCOOK,22890,Central Securities,138990,90,"[('Central Securities', 90), ('First', 90), ('Security Bank', 90), ('Firs', 90), ('Central Securities', 90), ('Central Securities', 90), ('First', 90), ('First', 90), ('First', 90), ('Security Bank', 90)]"
"FIRST MID BANK & TRUST, NATIONAL ASSOCIATION.",22891,National,222336,90,"[('National', 90), ('First', 90), ('National', 90), ('First', 90), ('National', 90), ('First', 90), ('First', 90), ('First', 90), ('National', 90), ('First', 90)]"
Blackstone Holdings Finance Co. L.L.C.,22892,One Holding,43252,90,"[('One Holding', 90), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Tone', 90), ('Holdings', 90), ('Blackstone', 90), ('Corporation Holding', 90), ('Holdings', 90), ('3Q Holdings', 86)]"
"Discovery Communications, LLC",22893,Disco,151297,90,"[('Disco', 90), ('Discovery Capital', 90), ('Capital Communication', 90), ('DIS', 90), ('NIC', 90), ('ICA AB', 90), ('Disc', 90), ('NIC', 90), ('Unica', 90), ('ATI', 90)]"
