Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
Delek Petroleum Ltd.,11158,delek petroleum,delek,Delek Group,97548,93.8,delek petroleum,Elk Petroleum,215305,92.2,delek petroleum,Elk Petroleum,215305,92.2
BSES Infrastructure Finance Limited,11511,bses infrastructure finance,bses,Bses GDR Repr 3 Ordinary,241324,89.4,bses infrastructure,Srei Infrastructure Finance,104776,89.8,bses infrastructure finance,Srei Infrastructure Finance,104776,93.0
Sesa Resources Limited,11703,sesa resources,sesa,Sesa Goa,170324,91.0,sesa resources,Mesa Resources,10057,93.0,sesa resources,Mesa Resources,10057,93.0
ANAGRAM INTERNATIONAL INC,25049,anagram international,anagram,Anagram Finance,24198,93.39999999999999,anagram international,International,206505,95.19999999999999,anagram international,International,206505,95.19999999999999
TELUS Communications Inc.,5337,telus communications,telus,Telus Communications Preferred 6%,161447,95.0,telus communications,USN Communications,77975,95.4,telus communications,USN Communications,77975,95.4
"CCO Holdings, LLC",21852,cco holdings,cco,Raccoon Holdings,113010,97.19999999999999,cco holdings,Trust Holdings,114528,96.0,cco holdings,Trust Holdings,114528,96.0
"MMH HOLDINGS, INC.",21606,mmh holdings,mmh,Lammhults Design Group,179484,89.4,mmh holdings,Trust Holdings,51235,96.0,mmh holdings,Trust Holdings,51235,96.0
TIERS Corporate Bond-Backed Certificates Trust,21561,tiers corporate bond-backed certificates,tiers,Tiers Call Print Protected Asset Tiers 2006,80083,90.2,tiers corporate,Corporate,99879,87.4,tiers corporate bond-backed,Corporate,99879,87.4
SCENTRE MANAGEMENT LIMITED,3366,scentre management,scentre,Scentre Group Unit,80363,92.2,scentre management,Management Trust,19747,94.2,scentre management,Management Trust,19747,94.2
Drax Holdings Limited,9086,drax holdings,drax,Draxis Health,7328,90.8,drax holdings,Trust Holdings,114528,95.19999999999999,drax holdings,Trust Holdings,114528,95.19999999999999
GKN Holdings plc,9069,gkn holdings,gkn,GKN Publishing,65125,92.39999999999999,gkn holdings,Trust Holdings,114528,96.0,gkn holdings,Trust Holdings,114528,96.0
JCB FINANCE S.A.S.,8617,jcb finance,jcb,Jcbnext,110707,91.2,jcb finance,Jacob Finance,101627,91.19999999999999,jcb finance,Jacob Finance,101627,91.19999999999999
"CCH I Holdings, LLC",22027,cch i holdings,cch,Vacchi PN,153172,90.4,cch i,Sunac China Holdings,104912,79.19999999999999,cch i holdings,Holdings,206120,94.6
"LPL HOLDINGS, INC.",22035,lpl holdings,lpl,Willplus Holdings,114889,96.6,lpl holdings,Holdings,206120,96.0,lpl holdings,Holdings,206120,96.0
ITT HOLDINGS LLC,24157,itt holdings,itt,Ittifak Holding,119920,96.19999999999999,itt holdings,AG Holdings,44740,96.0,itt holdings,AG Holdings,44740,96.0
"RWT HOLDINGS, INC",24050,rwt holdings,rwt,CLRWT Seafoods Income Fund,157333,88.4,rwt holdings,AG Holdings,44740,96.0,rwt holdings,AG Holdings,44740,96.0
"ICG Holdings, Inc.",21287,icg holdings,icg,ICG Holdings Canada 'A',8842,93.8,icg holdings,AG Holdings,44740,96.0,icg holdings,AG Holdings,44740,96.0
"CITGO HOLDING, INC.",21244,citgo holding,citgo,Citgo Petroleum,63580,91.39999999999999,citgo holding,Chigo Holding,25070,92.0,citgo holding,Chigo Holding,25070,92.0
CNA Holdings LLC,21056,cna holdings,cna,CNA Gallo (London),231848,90.6,cna holdings,AG Holdings,44740,96.0,cna holdings,AG Holdings,44740,96.0
Centel Capital Corporation,21014,centel capital corporation,centel,Centel Cable Television,63408,92.2,centel capital,Capital Trust,99352,88.4,centel capital corporation,Capital Corporation,24927,96.8
