Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
JEFFERIES LLC,21668,IE,35464,90,"[('IE', 90), ('Jefferies Group', 90), ('Jefferies Financial Group', 90), ('Jefferies Financial Group BDR', 90), ('Jefferies Financial GRP (Det)', 90), ('Jefferies Touche Remnant/J CRB Global Agriculture Equity Index Fund', 90), ('Jefferies Touche Remnant/J CRB Wildcatters Equity ETF', 90), ('Jefferies Financial (Mexico) Group', 90), ('Jefferies Financial (Pet) Group', 90), ('Jefferies Financial (Frankfurt) Group', 90)]"
Banca Popolare di Bergamo Capital Trust,21669,Banca Popolare Bergamo,15140,95,"[('Banca Popolare Bergamo', 95), ('Polar', 90), ('Polar', 90), ('Security Banc', 90), ('Banca Popolare Bergamo (Stuttgart)', 89), ('Banca Popolare Bergamo (VIRT-X)', 89), ('Bergamo On', 86), ('Di Janj Holding', 86), ('Di Janj Tvornica', 86), ('Di Klana', 86)]"
Fiat Finance North America Inc,21670,North,28907,90,"[('North', 90), ('North', 90), ('Dominant Finance Inc', 86), ('Hyundai Finance', 86), ('North Quay', 86), ('Prime Finance', 86), ('Rubicon America Trust', 86), ('Westfield America', 86), ('Battle North Gold', 86), ('Build America Investment Grade Bond Fund Class A Units', 86)]"
"Mirant Mid-Atlantic, LLC",21671,Security Capital Atlantic,200279,90,"[('Security Capital Atlantic', 90), ('ANT', 90), ('Mirant', 90), ('Mirant', 90), ('Security Capital Atlantic', 90), ('Deutsche Atlantic Telegraphen', 86), ('M&C', 86), ('Mid Industry Capital', 86), ('Atlantic Spinning and Weaving Mills', 86), ('Australian Mid Cap Fund Unit Trusts', 86)]"
Northern States Power Company,21672,Northern States Power Company,66959,100,"[('Northern States Power Company', 100), ('North', 90), ('Trust Company', 90), ('North', 90), ('Capital Power', 90), ('Stat', 90), ('Capital Power', 90), ('Capital Power', 90), ('Northern Trust', 90), ('Capital Power', 90)]"
ING Capital Funding Trust III,21673,ING Refinery Tabacalera,2218,86,"[('ING Refinery Tabacalera', 86), ('A&E Capital Funding Single Voting', 86), ('Income Streams III Equity Dividend', 86), ('Penfold Capital Acquisition III', 86), ('ING Berliner Handels Frankfurter-Bank', 86), ('ING Berliner Handels Frankfurter-Bank (XETRA)', 86), ('Funding Electric Vehicles', 86), ('D&D', 86), ('Pro-ING', 86), ('Aegis Consumer Funding Group', 86)]"
"Anthem Insurance Companies, Inc.",21674,DZI Insurance,1479,86,"[('DZI Insurance', 86), ('HIH Insurance', 86), ('Sgio Insurance', 86), ('Anthem Resources', 86), ('Anthem United', 86), ('Anthem Works', 86), ('Madison Companies', 86), ('Manufactures Life Insurance Class A Shares Series 6', 86), ('New Court Canadian Smaller Companies Fund', 86), ('Philiki Insurance', 86)]"
Anadarko Finance Company,21675,Trust Company,4284,90,"[('Trust Company', 90), ('Ark', 90), ('MPA', 90), ('INA', 90), ('ADA', 90), ('Arko', 90), ('Arab International Insurance Company', 86), ('Barbados Shipping and Trading Company Limited', 86), ('Bulgarian Telecommunications Company', 86), ('Company On', 86)]"
Qwest Corporation,21676,KPN Qwest 'C',19312,90,"[(""KPN Qwest 'C'"", 90), ('Qwest Communications International', 90), ('Q Capital', 90), ('Qwest Corporation 7% 1-July-2052', 90), ('KPN Qwest', 90), (""Kpnqwest Non Voting 'C' (Non-NASDAQ OTC)"", 90), (""KPN Qwest 'C' (Frankfurt)"", 90), ('KPN Qwest (VIRT-X)', 90), ('Qwest Communications (XETRA)', 90), (""KPN Qwest 'C' (XETRA)"", 90)]"
"GenOn Americas Generation, LLC",21677,Generation Capital,100726,90,"[('Generation Capital', 90), ('Endesa Americas', 86), ('Endesa Americas', 86), ('Genera', 86), ('Las Americas AFI SA', 86), ('Lithium Americas', 86), ('New Generation Biotechnology (Equity) Fund Inc', 86), ('Gener', 86), ('Nera', 86), ('Americas Energy', 86)]"
Sempra Energy Employee Stock Ownership Plan &,21678,Energy,79025,90,"[('Energy', 90), ('Energy', 90), ('Energy', 90), ('Sempra', 90), ('Acer Energy', 86), ('Adelaide Energy', 86), ('Adelphi Energy', 86), ('Advanced Energy Systems', 86), ('Allgas Energy', 86), ('Anatolia Energy', 86)]"
"Exelon Generation Company, LLC",21679,Trust Company,4284,90,"[('Trust Company', 90), ('Genera', 90), ('Gener', 90), ('Nera', 90), ('Exel', 90), ('Generation Capital', 90), ('Elon', 90), ('Exelon', 90), ('Exel', 90), ('Exel', 90)]"
AT&T Mobility LLC,21681,IT,27121,90,"[('IT', 90), ('MOB', 90), ('At Trust', 90), ('Mo', 90), ('AT&T', 90), ('T T', 90), ('AT&T', 90), ('AT&T', 90), ('Mobil', 90), ('Baki-At', 86)]"
DPL Capital Trust II,21682,DPL,59709,90,"[('DPL', 90), ('FI Imobiliario Tourmalet II Sen B', 86), ('Perls II Trust Perpetual Exchequer Resettable SEC', 86), ('B Split II Cap Shares', 86), ('Berkeley Capital II', 86), ('Canadian Resources Income Trust II Unit', 86), ('Connor Clark and Lunn Global Financials Fund II', 86), ('CRA Phase II', 86), ('Energy Split II Capital Yield Shares', 86), ('Excel Latin America Bond Fund II', 86)]"
Conoco Funding Company,21683,Trust Company,4284,90,"[('Trust Company', 90), ('MPA', 90), ('Conoco', 90), ('Antipodes Global Investment Company', 86), ('Arab International Insurance Company', 86), ('Ask Funding', 86), ('Barbados Shipping and Trading Company Limited', 86), ('Bulgarian Telecommunications Company', 86), ('Company On', 86), ('Prudential Investment Company of Australia', 86)]"
FirstLight Hydro Generating Company,21685,Light,151993,90,"[('Light', 90), ('Trust Company', 90), ('Genera', 90), ('Gener', 90), ('First', 90), ('First', 90), ('Hydro', 90), ('First', 90), ('First', 90), ('First', 90)]"
"Vectren Utility Holdings, Inc.",21686,Holdings,206120,90,"[('Holdings', 90), ('Holdings', 90), ('Vectren', 90), ('LDI Corporation', 90), ('Tre', 90), ('Holdings', 90), ('UTI', 90), ('TIL', 90), ('Holdings', 90), ('Ty Holdings', 90)]"
Deutsche Bank Financial LLC,21687,Financial Trust Corporation,195613,90,"[('Financial Trust Corporation', 90), ('Security Bank', 90), ('Financial Trust Corporation', 90), ('Security Bank', 90), ('Security Bank', 90), ('Financial Trust Corporation', 90), ('INA', 90), ('Financial Trust Corporation', 90), ('Security Bank', 90), ('Security Bank', 90)]"
GE Capital Franchise Finance Corporation,21688,ISE,9198,90,"[('ISE', 90), ('INA', 90), ('NCH', 90), ('Franchise Capital', 90), ('His', 90), ('Franchise Finance Corporation American', 87), ('Prime Finance', 86), ('Franchise Services of North America', 86), ('GE-Chile', 86), ('Minerva Finance and Investment', 86)]"
NorthWestern Capital Financing II,21689,North,28907,90,"[('North', 90), ('Financing', 90), ('North', 90), ('West', 90), ('Tern', 90), ('West', 90), ('West', 90), ('Tern', 90), ('Northwestern', 90), ('Northwestern Capital Financing III 8.10% Touche Remnant Preferred', 90)]"
Banca Popolare Commercio e Industria Capital T,21690,Banca Popolare Commercial E Industria 1.1,165188,91,"[('Banca Popolare Commercial E Industria 1.1', 91), ('Polar', 90), ('Polar', 90), ('Bematech Industria On', 86), ('Channel E', 86), ('E P T', 86), ('E Z Industries', 86), ('E-Business Systems', 86), ('E-Pay Asia', 86), (""o'Connor T"", 86)]"
"National Restaurant Enterprises Holdings, Inc.",21691,National,222336,90,"[('National', 90), ('National', 90), ('National', 90), ('Holdings', 90), ('Enterprise', 90), ('Holdings', 90), ('Holdings', 90), ('National', 90), ('Holdings', 90), ('Enterprise', 90)]"
RGA Capital Trust I,21692,GA Capital,8102,90,"[('GA Capital', 90), ('Capital A', 90), ('G Capital', 90), ('G Capital', 90), ('RG Securities', 90), ('Fabrika Otkovaka I Armature', 86), ('FIP EM Infu XP Omega I', 86), ('Jelen I Staklorad DD', 86), ('Raiffeisen Bank D D Bosna I Hercegovina', 86), ('Rio Bravo Credito Imobiliario I FII', 86)]"
COTT BEVERAGES INC.,21693,Ever,17378,90,"[('Ever', 90), ('Rage', 90), ('Be', 90), (': be AG', 90), ('Little World Beverages', 86), ('Charlie O Beverages Suspended 13/03/92', 86), ('Amalgamated Beverages Industry', 86), ('Beverages (West Africa)', 86), ('Paradise Beverages Fiji Limited', 86), ('Adirondack Springs Beverages', 86)]"
BPM Capital Trust I,21694,Capital M,59340,90,"[('Capital M', 90), ('BP', 90), ('PM', 90), ('Fabrika Otkovaka I Armature', 86), ('FIP EM Infu XP Omega I', 86), ('Jelen I Staklorad DD', 86), ('Raiffeisen Bank D D Bosna I Hercegovina', 86), ('Rio Bravo Credito Imobiliario I FII', 86), ('Unis Proizvodnja I Prerada Zice', 86), ('UTT I Turizam Prijedor', 86)]"
MEDIACOM BROADBAND LLC,21695,Mediacom Broadband LLC,74676,100,"[('Mediacom Broadband LLC', 100), ('Diaco', 90), ('Media Capital', 90), ('Media Capital', 90), ('Media Capital', 90), ('Mediacom Capital Corporation', 90), ('Media Capital', 90), ('Media Capital', 90), ('Acom', 90), ('Broadband Security', 90)]"
"Harcourt General, Inc.",21696,Harcourt General,65332,100,"[('Harcourt General', 100), (""Harcourt General 'B'"", 95), ('Genera', 90), ('Gener', 90), ('AR', 90), ('General', 90), ('Harcourt Corporation', 90), ('Nera', 90), ('Arco Limited', 90), ('General', 90)]"
Owens-Brockway Glass Container Inc.,21697,Brockway Glass,63137,90,"[('Brockway Glass', 90), ('Glass Containers', 87), ('Cartaway Container', 86), ('Moravia Glass', 86), ('Egyptian Container', 86), ('El Masreyah Glass', 86), ('Owens Group', 86), ('Tenth Ramadan Glass', 86), ('Asahi Techno Glass', 86), ('Bhagwati Glass', 86)]"
National Broadcasting Co. Inc,21698,Nation Broadcasting,121208,95,"[('Nation Broadcasting', 95), ('Ion', 90), ('National', 90), ('National', 90), ('Asting', 90), ('ONA', 90), ('National', 90), ('ATI', 90), (""International Broadcasting Systems 'A'"", 90), ('Ion', 90)]"
"Prudential Holdings, LLC",21699,ENT,1607,90,"[('ENT', 90), ('Prudential', 90), ('Prudential', 90), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Holdings', 90), ('Ude', 90), ('Prudential', 90)]"
Avon Capital Corporation,21700,Avon Corporation,24478,100,"[('Avon Corporation', 100), ('Autoslavonija', 90), ('Slavonija IGM', 90), ('Slavonija MK', 90), ('Slavonijatekstil', 90), ('Slavonska Banka', 90), ('Savon Sanomat', 90), ('Avon Industries', 90), ('Avonova Sverige', 90), ('Avonside', 90)]"
"Comcast MO Group, Inc.",21701,Group,54856,90,"[('Group', 90), ('Group', 90), ('Up', 90), ('OM', 90), ('Group', 90), ('CA', 90), ('Mo', 90), ('MCA', 90), ('Cast', 90), ('CAS', 90)]"
"DYNEGY DANSKAMMER, L.L.C.",21703,AMM,14563,90,"[('AMM', 90), ('Ans', 90), ('NSK', 90), ('Dynegy', 90), ('Dynegy', 90), ('D&D', 86), ('Dynegy Holdings Incorporation', 86), ('R R Securities', 86), ('Dynegy 5.375 Mandatory Convertible Preference Shares Series A', 86), ('Ansama', 75)]"
AHOLD Lease Series 2001-A-1 Pass Through Trust,21704,1 MAJ Metalska,1,86,"[('1 MAJ Metalska', 86), ('A C N 059 457 279', 86), ('A C N 603 323 182', 86), ('A N G Holdings (Australian)', 86), ('A R C Industries', 86), ('A V Buildings', 86), ('A-Cap Development', 86), ('Agsu-Konserv-1', 86), ('Astara-CAY-1 ASC', 86), (""BA Embotteladora 'A'"", 86)]"
Ahold Lease Series 2001-A-2-Pass Through Trust,21705,2 Park Street Trust,4,86,"[('2 Park Street Trust', 86), ('A C N 059 457 279', 86), ('A C N 603 323 182', 86), ('A N G Holdings (Australian)', 86), ('A R C Industries', 86), ('A V Buildings', 86), ('A-Cap Development', 86), ('Aqrotexbaza 2', 86), (""BA Embotteladora 'A'"", 86), ('Baki Ayaqqabi 2', 86)]"
J.P. Morgan Securities LLC,21707,GA Capital,8102,90,"[('GA Capital', 90), ('Gan', 90), ('Mo', 90), ('Gan', 90), ('RG Securities', 90), ('Morgan (JP)', 90), ('Gan', 90), ('A P Group Taken Over 25/10/92', 86), ('Cred Real MG On P', 86), ('E P T', 86)]"
"Ipalco Enterprises, Inc.",21708,Ipalco Enterprises,65809,100,"[('Ipalco Enterprises', 100), ('ENT', 90), ('IPA', 90), ('ISE', 90), ('O E', 90), ('Enterprise', 90), ('Alco', 90), ('ERP', 90), ('Palco', 90), ('Rise', 90)]"
Bekaert Corporation,21710,Bekaert (D),88152,95,"[('Bekaert (D)', 95), ('AE', 90), ('Be', 90), (': be AG', 90), ('Capital A', 90), ('Bekaert Strip VVPR', 90), ('Bekaert VVPR', 90), ('Bekaert Unsponsored ADR 10:1', 90), ('Bekaert (D) (ZRH)', 90), ('Bekaert SA (Non-NASDAQ OTC)', 90)]"
ENSCO Offshore Company,21711,Trust Company,4284,90,"[('Trust Company', 90), ('MPA', 90), ('Ensco PLC', 90), ('NSC', 90), ('Antipodes Global Investment Company', 86), ('Arab International Insurance Company', 86), ('Barbados Shipping and Trading Company Limited', 86), ('Bulgarian Telecommunications Company', 86), ('Company On', 86), ('Prudential Investment Company of Australia', 86)]"
KBC Bank Funding Trust III,21712,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Adelaide Bank', 86), ('AFB Bank ASC', 86)]"
