Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
"AAG Holding Company, Inc.",20767,aag holding company,aag,AAG Holdings Company 7.5% Preferred,142184,94.0,aag holding,AAG Holdings Company 7.5% Preferred,142184,94.0,aag holding company,Yang Holding Company,69435,94.39999999999999
"HC2 HOLDINGS, INC.",20445,hc2 holdings,hc2,HC2 Holdings Warrants 'A3' 01/07/2014,205989,89.8,hc2 holdings,Trust Holdings,114528,96.0,hc2 holdings,Trust Holdings,114528,96.0
1st Source Bank,22239,1st source bank,1st,21STORE,31840,91.0,1st source,URC,114704,86.6,1st source bank,Trust Bank,86763,88.4
21st Century Insurance Group,21615,21st century insurance group,21st,21STORE,31840,86.8,21st century,Century,117608,88.0,21st century insurance,Twenty First Century Insurance Group,61962,89.0
Zur Rose Finance B.V.,16469,zur rose finance b.v.,zur,Zurich Insurance B,181624,92.39999999999999,zur rose,ZUR Rose (Frankfurt),276266,91.8,zur rose finance,ZUR Rose,116404,91.0
"Zoomlion HK SPV Co., Limited",10477,zoomlion hk spv,zoomlion,Lion,106810,88.4,zoomlion hk,Zoom,115081,88.4,zoomlion hk spv,Zoom,115081,88.4
Zijin International Capital Company Limited,10605,zijin international capital company,zijin,Zijing International Financial Holdings,106069,94.6,zijin international,International,206505,90.8,zijin international capital,National Capital,75093,92.6
Zijin International Finance Company Limited,6661,zijin international finance company,zijin,Zijing International Financial Holdings,106069,95.6,zijin international,Zijing International Financial Holdings,106069,91.6,zijin international finance,National Finance,112023,92.6
ZIRAAT FINANSAL KIRALAMA ANONIM SIRKETI,18265,ziraat finansal kiralama anonim sirketi,ziraat,Ziraat Portfoy Bist Likit Banka Endeksi Hisse,177061,90.0,ziraat finansal,AAT,18,82.8,ziraat finansal kiralama,IS Finansal Kiralama,119887,84.8
ZIRAAT KATILIM VARLIK KIRALAMA ANONIM SIRKETI,18282,ziraat katilim varlik kiralama anonim sirketi,ziraat,Ziraat Gayrimenkul Yatirim Ortakligi A S,116401,90.4,ziraat katilim,ATI,62707,82.4,ziraat katilim varlik,ATI,62707,82.4
ZHONGTAI INTERNATIONAL FINANCE (BVI) COMPANY L,10532,zhongtai international finance (bvi) company l,zhongtai,Zhongtai Futures Company 'H',106064,91.39999999999999,zhongtai international,International,206505,88.8,zhongtai international finance,National Finance,112023,90.4
Zhongtai International Structured Solutions Li,10631,zhongtai international structured solutions li,zhongtai,Zhongtai Futures Company 'H',106064,89.8,zhongtai international,International,206505,88.8,zhongtai international structured,International,206505,88.8
Zhongsheng (Dalian) Group Co Ltd,6725,zhongsheng (dalian) group co,zhongsheng,Zhongsheng Group Holdings,97163,93.6,zhongsheng (dalian),Alia,229145,85.0,zhongsheng (dalian) group,Securities Group,29993,86.0
Zeus (Cayman) Ltd,14745,zeus (cayman),zeus,Zeus Energy,13974,90.0,zeus (cayman),Zeus,124387,89.4,zeus (cayman),Zeus,124387,89.4
ZEUS RECEIVABLES TRUST,5168,zeus receivables,zeus,Zeus Resources,87299,93.39999999999999,zeus receivables,Able,23892,88.0,zeus receivables,Able,23892,88.0
YTL Power Generation Sdn Bhd,15816,ytl power generation sdn bhd,ytl,YTL Power International,107360,94.2,ytl power,YTL Power International,107360,94.2,ytl power generation,Power Generation,126712,94.6
YPF ENERGIA ELECTRICA SOCIEDAD ANONIMA,2816,ypf energia electrica sociedad anonima,ypf,YPF Sociedad (Mexico) Anonima ADR Each 'D' 1:1,220928,89.6,ypf energia,Energia,34315,86.2,ypf energia electrica,Energia,1580,86.2
Yorkshire Building Society,8982,yorkshire building society,yorkshire,Yorkshire Electricity,183763,93.6,yorkshire building,Shire,183483,86.4,yorkshire building society,Home Building Society,2123,88.19999999999999
YORKSHIRE HOUSING FINANCE PLC,9694,yorkshire housing finance,yorkshire,Yorkshire Fine,51841,94.39999999999999,yorkshire housing,Shire,183483,86.6,yorkshire housing finance,Housing Finance,110274,95.0
YORKSHIRE HOUSING LIMITED,9678,yorkshire housing,yorkshire,Yorkshire Fine,51841,95.39999999999999,yorkshire housing,Shire,50501,89.0,yorkshire housing,Shire,50501,89.0
