Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
"WIDEOPENWEST FINANCE, LLC",22128,West,78284,90,"[('West', 90), ('West', 90), ('INA', 90), ('West', 90), ('Wideopenwest', 90), ('Prime Finance', 86), ('Minerva Finance and Investment', 86), ('Paramount Ventures and Finance A', 86), ('Petrobras Inernational Finance Company', 86), ('RCI Finance', 86)]"
THE BUSINESS BANK OF ST. LOUIS,22129,Business Trust,24861,90,"[('Business Trust', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Business Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Louis Capital', 90), ('Security Bank', 90)]"
BNP Paribas SA,22130,Riba,11746,90,"[('Riba', 90), ('Paribas', 90), ('AR', 90), ('Ariba', 90), ('PA', 90), ('Bas', 90), ('Paribas', 90), ('Banque Paribas Belges Paricor Parfixi 2000 Capital', 86), ('Banque Nationale de Paris Paribas', 86), ('Compagnie Benelux Paribas SA', 86)]"
NICOLET NATIONAL BANK,22131,National,222336,90,"[('National', 90), ('National-Bank', 90), ('Security Bank', 90), ('National', 90), ('NIC', 90), ('NAL Bank', 90), ('T&N', 90), ('COL', 90), ('National', 90), ('T&N', 90)]"
North Shore Community Bank & Trust Company,22132,North,28907,90,"[('North', 90), ('Trust Company', 90), ('North', 90), ('Community Bank', 90), ('Community Capital', 90), ('Community Bank', 90), ('Unity Bank', 90), ('Unity', 90), ('Adelaide Bank', 86), ('Advance Bank Australia', 86)]"
Banco Espirito Santo SA,22134,Banco Espirito Santo,284547,100,"[('Banco Espirito Santo', 100), ('Banco Espirito Santo (VIRT-X)', 95), ('Banco Espirito Santo (XETRA)', 95), ('O E', 90), ('Spirit Corporation', 90), ('Spirit Corporation', 90), ('Banco Espirito Santo (Bescl) E92', 90), ('Security Banc', 90), ('Santo', 90), ('Banco Espirito Santo (Non-NASDAQ OTC)', 90)]"
FIFTH THIRD BANK,22135,FTH,17747,90,"[('FTH', 90), ('Security Bank', 90), ('Hi', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('D B Corporation', 90), ('Security Bank', 90)]"
Libbey Glass Inc.,22136,GL,34874,90,"[('GL', 90), ('GL', 90), ('Libbey', 90), ('Be', 90), (': be AG', 90), ('Y&G', 90), ('Flat Glass Industries', 86), ('Arab Pharmaceutical Glass', 86), ('China Specialty Glass', 86), ('China Specialty Glass (XETRA)', 86)]"
"BMW Bank of North America, Inc.",22137,North,28907,90,"[('North', 90), ('Security Bank', 90), ('North', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
CADENCE BANK NA,22138,Cadence Bank,133873,95,"[('Cadence Bank', 95), ('Security Bank', 90), ('Security Bank', 90), ('CA', 90), ('Security Bank', 90), ('ADE', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"Crystal Lake Bank & Trust Company, N.A.",22139,Trust Company,4284,90,"[('Trust Company', 90), ('Security Bank', 90), ('Lake', 90), ('Crystal Trust', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"SENSATA TECHNOLOGIES, INC.",22140,Senat Technologies Limited,12078,95,"[('Senat Technologies Limited', 95), ('Sensata Technologies Holding', 95), ('Senstar Technologies', 95), ('Sat', 90), ('A&T', 90), ('Tec', 90), ('Sandata Technologies', 90), ('ATA Inc', 90), ('Sensata Technologies Holding (Mexico)', 90), ('Sensata Technologies Holding (Frankfurt)', 90)]"
PACIFIC CONTINENTAL BANK,22141,Pacific Continental,60896,95,"[('Pacific Continental', 95), ('ENT', 90), ('Pacific', 90), ('Security Bank', 90), ('Continental Capital', 90), ('Pacific', 90), ('Security Bank', 90), ('Security Bank', 90), ('Continental Bank', 90), ('Continental Capital', 90)]"
Centennial Bank,22142,Centennial Bank,70992,100,"[('Centennial Bank', 100), ('ENT', 90), ('Security Bank', 90), ('Ten', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
EnerBank USA,22143,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90), ('Security Bank', 90), ('Jyske Invest USA Aktier', 86)]"
"Fulton Bank, National Association",22144,National,222336,90,"[('National', 90), ('Security Bank', 90), ('National', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Citizens Bank,22145,Citizens State Bank,71198,95,"[('Citizens State Bank', 95), ('CIT', 90), ('Security Bank', 90), ('IT', 90), ('First Citizens Bank California', 90), ('Citizens Bank Edinburg', 90), ('Citizens Bank Logan Ohio', 90), ('Citizens', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"CIESCO, LLC",22146,IE,35464,90,"[('IE', 90), ('Cineco', 83), ('Cipsco', 83), ('Cresco', 83), ('Bank of San Francisco', 82), ('Isco', 80), ('Cesc', 80), ('Cesc', 80), ('Cisco BDR', 78), ('Calesco', 77)]"
Nestle Capital Corporation,22147,Nestle SA,179920,100,"[('Nestle SA', 100), ('Nestle SA', 100), ('Nestle SA', 100), ('Neste', 91), ('Nestle Deutschland', 90), ('Nestle Securities International', 90), ('Nestle Sources International SA', 90), ('Nestle ICE Cream', 90), ('Nestle Company', 90), ('Nestle-Lemur', 90)]"
Rabobank USA Financial Corporation,22148,Financial Trust Corporation,195613,90,"[('Financial Trust Corporation', 90), ('Security Bank', 90), ('RAB Capital', 90), ('Financial Trust Corporation', 90), ('Security Bank', 90), ('Security Bank', 90), ('Financial Trust Corporation', 90), ('INA', 90), ('Financial Trust Corporation', 90), ('Security Bank', 90)]"
RBS Citizens National Association,22149,National,222336,90,"[('National', 90), ('National', 90), ('National', 90), ('Citizens', 90), ('Citizens', 90), ('Citizens National', 90), ('National', 90), ('Citizens National', 90), ('National', 90), ('Barbados National Bank', 86)]"
Venture Bank,22150,ENT,1607,90,"[('ENT', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Re Capital', 90), ('Re Capital', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Omni National Bank,22151,National-Bank,20403,95,"[('National-Bank', 95), ('National Bank', 95), ('Ion', 90), ('National', 90), ('Security Bank', 90), ('National', 90), ('Omni', 90), ('MNI', 90), ('NAL Bank', 90), ('National', 90)]"
"Franklin Templeton Bank & Trust, F.S.B.",22152,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Franklin Capital', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Ton Bank', 90), ('Security Bank', 90)]"
UNITED BANK,22153,United Bank,114653,100,"[('United Bank', 100), ('United Bank', 100), ('United Gulf Bank', 95), (""Bank United 'A'"", 95), ('Ahli United Bank', 95), ('Asia United Bank', 95), ('United Arab Bank', 95), ('Ahli United Bank', 95), ('United Bank GDR', 95), ('Unite Capital', 90)]"
Town Bank,22154,Town Bank,77659,100,"[('Town Bank', 100), ('Ton Bank', 94), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Hometown Bankshares', 90), ('Home Town Bank Villa Rica', 90), ('Hometown Bank Moodus Connecticut', 90), ('Orrstown Bank PA', 90), ('Security Bank', 90)]"
"National CineMedia, LLC",22155,National Cinemedia,137566,100,"[('National Cinemedia', 100), ('National Cinemedia (XETRA)', 95), ('Ion', 90), ('National', 90), ('CIN', 90), ('Media Capital', 90), ('National', 90), ('ONA', 90), ('National', 90), ('Media Capital', 90)]"
Citizens Bank of Pennsylvania,22156,Security Bank,200310,90,"[('Security Bank', 90), ('Citizens', 90), ('Security Bank', 90), ('Security Bank', 90), ('Citizens', 90), ('Pennsylvania Capital', 90), ('Sylvan', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Great-West Life & Annuity Insurance Company,22157,Trust Company,4284,90,"[('Trust Company', 90), ('Aeyna Life and Casualty', 86), ('Afro West Mining', 86), ('Arthur Yates and Company', 86), ('Bakixanov Company', 86), ('Burns Philp and Company', 86), ('Colonial Mutual Life', 86), ('Company On', 86), ('Contax Holding Company', 86), ('Delta West', 86)]"
METROPOLITAN TOWER LIFE INSURANCE COMPANY,22158,Trust Company,4284,90,"[('Trust Company', 90), ('Metropolitan Trust', 90), ('Metropolitan Trust', 90), ('Aeyna Life and Casualty', 86), ('Arthur Yates and Company', 86), ('Bakixanov Company', 86), ('Burns Philp and Company', 86), ('Colonial Mutual Life', 86), ('Company On', 86), ('Contax Holding Company', 86)]"
