Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"ALEX ALPHA, LLC",23550,alex alpha,alex,Alex White,32187.0,,,Alexandra,44789,99.63,Alexandra Holdings,142308,99.63,Boralex A,80441,99.63,Boralex A (Non-NASDAQ OTC),244253,99.63,Boralex A (Frankfurt),261795,99.63,Alex White,32187,99.6,Datalex ADR (Berlin),303927,99.57000000000001,Boralex 'A' (XETRA),310401,99.57000000000001,Alexis Minerals (XETRA),309657,99.56,Stalexport A,180891,99.55
ALFA BOND ISSUANCE PUBLIC LIMITED COMPANY,10954,alfa bond issuance public,alfa,Alfa,69770.0,Alfa Laval (Non-NASDAQ OTC),243553.0,Alfa Wood Bulgaria,155,99.51,Alfa Leisure,78594,99.49,Alfa Holdings Series A PN,148476,99.49,Alfa Energi Investama TBK,98482,99.48,Alfa ICA India,98483,99.46,Banco Alfa de Investimento On,148598,99.46,Bnco Alfa Invest PN,139476,99.45,Alfa Menkul,41160,99.44,Alfa Holdings On,81099,99.44,Alfa Sigorta ASC,154,99.44
Algarve International B.V.,16195,algarve b.v.,algarve,,,,,Gar,8132,99.4,LGA Holdings,130457,99.4,ARV,142482,99.4,AR,24258,99.29,Al Group,98448,99.29,GA Holdings,100637,99.29,LG,115261,99.29,Al Group (Temp),164711,99.29,GA Holdings (Berlin),286512,99.29,V Group,132515,99.15
ALIANT INC,1940,aliant,aliant,Bell Aliant,5584.0,,,Valiant (Non-NASDAQ OTC),240660,99.92,Valiant (Frankfurt),275481,99.92,Valiant (XETRA),316500,99.92,Alia,32190,99.8,Alia,229145,99.8,Bell Aliant,5584,99.71,Valiant 'R',116333,99.71,Bell Aliant,234624,99.71,Bell Aliant (Frankfurt),277048,99.71,Bell Aliant (XETRA),310251,99.71
ALION SCIENCE AND TECHNOLOGY CORPORATION,21969,alion science and technology corporation,alion,,,,,Malion New Material 'A',89475,99.48,Sealion Hotels,39023,99.33,Detalion Games,109065,99.3,Battalion Oil (American),135782,99.3,Battalion Oil (Frankfurt),261593,99.3,Detalion Games (Frankfurt),269546,99.3,Lion,27895,99.18,Lion,74381,99.18,Lion,106810,99.18,Lion (Non-NASDAQ OTC),237792,99.18
ALLCHECKDEALS INDIA PRIVATE LIMITED,11906,allcheckdeals india private,allcheckdeals,,,,,Finance All,25967,99.2,HEC,26580,99.2,ALS,80384,99.2,CKD,106417,99.2,ALS (BRN),227075,99.2,ALS (Non-NASDAQ OTC),243595,99.2,ALS (Frankfurt),267724,99.2,KD,94021,99.14,Al Group,98448,99.14,EA Holdings,109204,99.14
Allfirst Preferred Capital Trust,21564,allfirst preferred capital,allfirst,,,,,First International,1741,99.32,First Holdings,23848,99.32,First Finance,34597,99.32,First Securities,34608,99.32,First,54297,99.32,First Security,54359,99.32,Security First Bank,57407,99.32,First Security Group,59924,99.32,First Security,72646,99.32,Security First,76746,99.32
Alliander N.V.,16190,alliander n.v.,alliander,,,,,Finance All,25967,99.35,AB and Company,107405,99.35,Al Group,98448,99.25,IA,119645,99.25,Al Group (Temp),164711,99.25,Alliance Holdings,172,87.76,Allianse,32207,87.76,Bank Alliance,41367,87.76,Bank Alliance,41368,87.76,Alliance Holdings Group,58955,87.76
ALLY BANK,22191,ally,ally,Ally Financial,133462.0,,,Nally,2946,99.89,Sally Holdings LLC,76640,99.89,Bally,128275,99.89,Finance All,25967,99.86,Rallye,95285,99.8,Rallys,209149,99.8,Rallye (Non-NASDAQ OTC),248276,99.8,Rallye (Frankfurt),273860,99.8,Rallye (XETRA),314979,99.8,Totally,127302,99.73
ALMAVIVA - THE ITALIAN INNOVATION COMPANY S.P.,12308,almaviva  the italian innovation s.p.,almaviva,,,,,Aviva,124460,99.24,Aviva (Mexico),221140,99.24,Aviva (BRN),223888,99.24,Aviva (VIRT-X),231610,99.24,Aviva (Non-NASDAQ OTC),243948,99.24,Aviva (Frankfurt),268142,99.24,Aviva (XETRA),268143,99.24,Aviva (Irish),293404,99.24,Aviva (Paris-SBF),293405,99.24,LMA International,36590,99.15
ALME LOAN FUNDING III DESIGNATED ACTIVITY COMP,11040,alme loan funding iii designated activity comp,alme,Alme Invest,91104.0,,,Balmer Lawrie Investments,98955,99.42,Calmena Energy Services,5988,99.41,Calmena Energy Services (Non-NASDAQ OTC),235025,99.41,Almedahl A Converted Into 504070,177274,99.41,Valmet OYJ Unsponsored Finland FI ADR 1:1,191653,99.41,Canadian National Railway First Instalment Receipt,156903,99.4,Almeda Ventures Units,98507,99.39,Almendral Telecomunicaciones SA,5007,99.38,Palmer and Harvey,49557,99.38,Visualmed Clinical Solutions,132604,99.38
"Alon Refining Krotz Springs, Inc.",22520,alon refining krotz springs,alon,Dor Alon,100157.0,,,Salona Cotspin,104112,99.54,Getalong Enterprise,100747,99.52,H Alony Enterprises,26490,99.52,Avalon Borden Companies,142547,99.52,Avalon Correctional Services,128223,99.51,Avalon Correctional (Berlin) Services,299720,99.51,Avalon Properties,62758,99.5,Avalon Innovation 'B',41316,99.5,Avalon Innovation (Frankfurt) 'B',293392,99.5,Avalon Innovation (XETRA) 'B',310063,99.5
ALPS Capital II PLC,10972,alps capital ii,alps,Alps Infosys,24116.0,Alps Alpine (Non-NASDAQ OTC),243594.0,Alps Alpine,106304,99.62,Alps Alpine (Non-NASDAQ OTC),243594,99.62,Alps Alpine (Frankfurt),267723,99.62,Alps Alpine ADR 1:2,184130,99.59,Alps Electric (BRN),227074,99.57000000000001,Alps Electric (XETRA),309707,99.57000000000001,Alps Logistics,107724,99.55,Alps Logistics (Berlin),299490,99.55,Alps Industries,98520,99.53,Alps ETF Trust,184135,99.52
ALSOL ENERGIAS RENOVAVEIS S/A,4498,alsol energias renovaveis s/a,alsol,,,,,ALS,80384,99.19,Sol,90256,99.19,ALS (BRN),227075,99.19,Sol (Non-NASDAQ OTC),239899,99.19,ALS (Non-NASDAQ OTC),243595,99.19,ALS (Frankfurt),267724,99.19,Sol (Stuttgart),274622,99.19,Al Group,98448,99.13,LS,115894,99.13,Al Group (Temp),164711,99.13
"ALTA WIND HOLDINGS, LLC",23050,alta wind,alta,Alta,124977.0,Alta Natural Herbs and (Non-NASDAQ OTC) Supplements,234152.0,Altamin,81149,99.75,Altamin (Frankfurt),267731,99.75,Altafund,5022,99.71,Altai,62219,99.71,Altana,14503,99.67,Altana (XETRA),14504,99.67,Altair International,127968,99.67,Altair,192656,99.67,Altair International,214908,99.67,Altana AG (Non-NASDAQ OTC),234160,99.67
"AltaLink Investments, L.P.",5116,altalink investments,altalink,,,,,Link Holdings,36554,99.33,Link Holdings,102272,99.33,Alta,107728,99.33,Alta,124977,99.33,Link Group,130496,99.33,Tal Holdings,4114,99.26,Ali,116711,99.26,Tal International Group (XETRA),308580,99.26,Ta Holdings,50943,99.18,Al Group,98448,99.18
"Altalink, L.P.",5066,altalink,altalink,,,,,Link Holdings,36554,99.67,Link Holdings,102272,99.67,Alta,107728,99.67,Alta,124977,99.67,Link Group,130496,99.67,Tal Holdings,4114,99.55,Ali,116711,99.55,Tal International Group (XETRA),308580,99.55,Ta Holdings,50943,99.4,Al Group,98448,99.4
"ALTERNEGY, S.A.",16765,alternegy,alternegy,,,,,Alte,14505,99.62,Tern,51035,99.62,Tern Group,51036,99.62,Tern,127180,99.62,Tern (Non-NASDAQ OTC),249282,99.62,Tern (Frankfurt),275077,99.62,Al Group,98448,99.36,LT Group,106815,99.36,EG,118501,99.36,Al Group (Temp),164711,99.36
Alto Parana S.A.,2784,alto parana,alto,Rio Alto,11772.0,Alto Ventures (Non-NASDAQ OTC),234168.0,Walton Pharmaceuticals,44419,99.61,Alton Sports,116763,99.61,Smalto NR,170471,99.6,Dalton,25454,99.59,Salton,57300,99.59,Malton,111447,99.59,Salton (Frankfurt),296915,99.59,Calton (Berlin),300006,99.59,Salton (XETRA),308177,99.59,Saltos del Nansa,21803,99.59
Alxa Zuoqi Urban Construction Investment Devel,6843,alxa zuoqi urban construction devel,alxa,,,,,XA,58727,99.11,Al Group,98448,99.11,LX International,115899,99.11,LX Holdings,120725,99.11,Al Group (Temp),164711,99.11,XA (Frankfurt),283035,99.11,XA (XETRA),309183,99.11,X,13869,99.06,Coconala,108710,85.42,Rotala,126837,85.34
Amangeldy Gas limited liability partnership,15069,amangeldy gas liability partnership,amangeldy,,,,,AMA,194,99.16,Man,19737,99.16,Man,19738,99.16,Man (XETRA),19739,99.16,AMA Group,81173,99.16,Man Group,124608,99.16,Man AG,169104,99.16,Man (Swiss Stock Exchange),225061,99.16,Man (Swiss Stock Exchange),228123,99.16,Man (Ireland),232432,99.16
