Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
"Santander US Debt, S.A. Unipersonal",8048,Santander,136581,90,"[('Santander', 90), ('Santander', 90), ('Uniper Securities', 90), ('Anta', 90), ('Persona', 90), ('Santander', 90), ('Banco Santander', 86), ('Banco Santander B', 86), ('Santander Bancorp', 86), ('Debt Strategies III', 86)]"
"Fondo de Titulizacion de Activos, Santander Em",8049,Santander,136581,90,"[('Santander', 90), ('Santander', 90), ('Santander', 90), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco Santander', 86), ('Banco Santander Brasil Units', 86), ('Banco de Chile', 86), ('Banco Santander Chile', 86)]"
BBVA International Preferred S.A. Unipersonal,8050,National,277110,90,"[('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('National', 90), ('Uniper Securities', 90), ('Persona', 90), ('National', 90), ('International', 90), ('National', 90)]"
Altadis Emisiones Financieras S.A.U,8052,Iones,108332,90,"[('Iones', 90), ('Altadis', 90), (""Aecc Aviation Power 'A'"", 86), (""Avicopter 'A'"", 86), (""Glarun Technology 'A'"", 86), ('Joby Aviation A', 86), (""Moog 'A'"", 86), ('A-Sonic Aerospace', 86), ('Archer Aviation A', 86), ('Astra Space A', 86)]"
BBVA Autos 2 Fondo de Titulizacion de Activos,8053,Supan 2 Hydropow,968,86,"[('Supan 2 Hydropow', 86), ('Itapebi Geracao de Energia SA', 86), ('Ifad Autos Limited', 86), ('Omax Autos', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco BBVA Peru', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86)]"
"EDT FTPYME PASTOR 3, FONDO DE TITULIZACION DE",8054,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), ('Matador 3', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86), ('Banco de Sabadell', 86)]"
AyT Cedulas Cajas Global Fondo de Titulizacion,8055,Global,90599,90,"[('Global', 90), ('Global', 90), ('Global Ecology', 86), ('Spire Global A', 86), ('United States Global Nanospace', 86), ('Global Aircraft Solutions', 86), ('Beam Global', 86), ('G P Global Power', 86), ('Global Bioenergies', 86), ('Global Clean Energy', 86)]"
Telefonica Emisiones S.A.U.,8056,Fonic,21539,90,"[('Fonic', 90), ('Telefonica', 90), ('Iones', 90), ('Telefonica', 90), (""Avicopter 'A'"", 86), (""Beijing BEI Mo GAO KE Friction Material 'A'"", 86), ('Joby Aviation A', 86), (""Moog 'A'"", 86), ('A-Sonic Aerospace', 86), ('Archer Aviation A', 86)]"
"Programa Cedulas TDA, Fondo de Titulizacion de",8057,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86), ('Banco de Sabadell', 86), ('Banque Cantonale de Geneve', 86)]"
BBVA U.S. Senior S.A. Unipersonal,8058,Senior,258,90,"[('Senior', 90), ('Uniper Securities', 90), ('Persona', 90), ('C A S Commodity and Financial Futures Accumulation', 86), ('S D S', 86), ('U Save Foods', 86), ('S-Energy', 86), ('S-Fuelcell', 86), ('Tachi-S', 86), ('A P S', 86)]"
"BBVA Consumo 1, Fondo de Titulizacion de Activ",8059,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco BBVA Peru', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86), ('Banco de Sabadell', 86)]"
CAM INTERNATIONAL ISSUES SA,8060,Ion,120567,90,"[('Ion', 90), ('National', 90), ('Terna', 90), ('Tern', 90), ('Inter', 90), ('National', 90), ('National', 90), ('ONA', 90), ('Tern', 90), ('ATI', 90)]"
"Open Bank, S.A.",8061,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90), ('Security Bank', 90), ('Bank of America', 86)]"
FTA Santander Consumer Spain Auto 06,8062,Santander,136581,90,"[('Santander', 90), ('Santander', 90), ('Santander', 90), ('Bajaj Auto', 86), ('Atul Auto', 86), ('Auto Kuca 21 MAJ', 86), ('Auto Partner', 86), ('Auto Pins (India)', 86), ('Bosna Auto', 86), ('G S Auto International', 86)]"
"Gas Natural Capital Markets, S.A.",8063,Gas Natural,44234,90,"[('Gas Natural', 90), ('Gas Natural', 90), ('Gas Natural', 90), ('Ark', 90), (""Gas Natural 'A'"", 87), ('Hanjung Natural Conctvty System', 86), ('Citigroup Global Markets Index Lasers', 86), (""Natural Springs Canada 'A' VT"", 86), ('China Gas Industry Investment Holdings', 86), ('Southern Gas', 86)]"
CAJA SAN FERNANDO FINANCE SA,8064,Ando,15890,90,"[('Ando', 90), ('Finance Leasing', 86), ('Geo Finance', 86), ('San Fu Motor', 86), ('The Housing Bank for Trade and Finance', 86), ('Asia Al Iraq Isbk for Investment and Finance', 86), ('Al Taif Isbk for Investment and Finance', 86), ('Bimputh Finance', 86), ('Canterbury SRY Hills Community Finance', 86), ('Ipdc Finance', 86)]"
BBVA-5 FTPYME Fondo de Titulizacion de Activos,8065,T A T Industries 5,542,86,"[('T A T Industries 5', 86), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco BBVA Peru', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86)]"
"GC FTPYME PASTOR 4, FONDO DE TITULIZACION DE A",8066,Aecc Aviation Power 'A',14,86,"[(""Aecc Aviation Power 'A'"", 86), (""Avic Shenyang Aircraft 'A'"", 86), (""Aecc Aero Engine Control 'A'"", 86), (""Avicopter 'A'"", 86), (""Glarun Technology 'A'"", 86), (""Jiangxi Hongdu Aviation 'A'"", 86), ('Joby Aviation A', 86), (""Mantech International 'A'"", 86), (""Moog 'A'"", 86), ('Spirit Aerosystems Class A', 86)]"
"Cemex Espana, S.A.",8067,CEM,117450,90,"[('CEM', 90), ('Espana', 90), ('Span', 90), ('PA', 90), ('SP', 90), ('Emex', 90), ('SP', 90), ('CEM', 90), ('Compania Vinicola del Norte de Espana', 86), ('LAR Espana Real Estate Socimi', 86)]"
RURALPYME 2 FTPYME Fondo de Titulizacion de Ac,8068,Supan 2 Hydropow,968,86,"[('Supan 2 Hydropow', 86), ('Itapebi Geracao de Energia SA', 86), ('AC Autogaz', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86)]"
"Fondo de Titulizacion de Activos, Santander Em",8069,Santander,136581,90,"[('Santander', 90), ('Santander', 90), ('Santander', 90), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco Santander', 86), ('Banco Santander Brasil Units', 86), ('Banco de Chile', 86), ('Banco Santander Chile', 86)]"
BBVA Consumo 2 Fondo de Titulizacion de Activo,8070,Supan 2 Hydropow,968,86,"[('Supan 2 Hydropow', 86), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco BBVA Peru', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86)]"
"FONDO DE TITULIZACION DE ACTIVOS, SANTANDER FI",8071,Santander,136581,90,"[('Santander', 90), ('Santander', 90), ('Santander', 90), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco Santander', 86), ('Banco Santander Brasil Units', 86), ('Banco de Chile', 86), ('Banco Santander Chile', 86)]"
"Cedulas Grupo Banco Popular 3, Fondo de Tituli",8072,Popular,3833,90,"[('Popular', 90), ('Banco Popular', 90), ('Banco Popular', 90), ('Itapebi Geracao de Energia SA', 86), ('Banco Products India', 86), ('Grupo Resilient International', 86), ('De Molen', 86), ('Matador 3', 86), (""Sanluis de 'A'"", 86), ('Banco Santander', 86)]"
BBVA FINANZIA AUTOS 1 Fondo de Titulizacion de,8073,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('Ifad Autos Limited', 86), ('Omax Autos', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco BBVA Peru', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86)]"
FONDO DE TITULIZACION DE ACTIVOS SANTANDER CON,8074,Santander,136581,90,"[('Santander', 90), ('Santander', 90), ('Santander', 90), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco Santander', 86), ('Banco Santander Brasil Units', 86), ('Banco de Chile', 86), ('Banco Santander Chile', 86)]"
BBVA-6 FTPYME Fondo de Titulizacion de Activos,8075,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco BBVA Peru', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86), ('Banco de Sabadell', 86)]"
"Financiacion Banesto 1, Fondo de Titulizacion",8076,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86), ('Banco de Sabadell', 86), ('Banque Cantonale de Geneve', 86)]"
"GC FTPYME SABADELL 6, FONDO DE TITULIZACION DE",8077,GC China Turbine,787,86,"[('GC China Turbine', 86), ('Itapebi Geracao de Energia SA', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86), ('Banco de Sabadell', 86)]"
"Fondo de Titulizacion de Activos, Programa Ind",8078,Itapebi Geracao de Energia SA,1196,86,"[('Itapebi Geracao de Energia SA', 86), ('IND Automotriz', 86), ('KBI Dongkook IND', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86), ('Banco de Chile', 86), ('Banco de Bogota', 86), ('Banco de Credito del Peru', 86), ('Banco de Credito E Inversion', 86), ('Banco de Occidente', 86)]"
AES Andres B.V.,8079,AE,2439,90,"[('AE', 90), ('AES', 90), ('Capital Re', 90), ('Capital Re', 90), ('Saab B', 86), ('Alert B&C', 86), ('B/E Aerospace When Issued', 86), (""Greenwich Air Services 'B'"", 86), (""Northern Growers Cap Unit Class 'B'"", 86), (""Shenzhen V and T Technologies 'A'"", 86)]"
Atradius Credito y Caucion S.A. de Seguros y R,8080,Credito,6607,90,"[('Credito', 90), ('Radius', 90), ('Seguros', 90), ('O y Nofar Energy', 86), ('Itapebi Geracao de Energia SA', 86), ('Hwaseung R&A', 86), ('N R B Bearings', 86), ('AHL Group Limited y', 86), ('De Molen', 86), (""Sanluis de 'A'"", 86)]"
