Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Flagstar Bank FSB,22088,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Star', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('AGS', 90), ('Agstar', 90)]"
"MULTI PACKAGING SOLUTIONS, INC.",22089,Multi Packaging Solutions International,60668,90,"[('Multi Packaging Solutions International', 90), ('Pack', 90), ('Multi Packaging Solutions (Frankfurt) International', 90), ('724 Solutions', 86), (""American Depository Share 'A' Multi-Voting"", 86), ('CO2 Solutions', 86), ('Eight Solutions', 86), ('GSO Solutions', 86), ('Netop Solutions', 86), ('Onex Packaging', 86)]"
PARAGON OFFSHORE DRILLING LLC,22090,Paragon Offshore,56649,90,"[('Paragon Offshore', 90), ('Paragon', 90), ('Arago', 90), ('Century Drilling', 86), ('Artisan Drilling', 86), ('Command Drilling', 86), ('Paragon Minerals', 86), ('SSP Offshore', 86), ('Xtreme Drilling', 86), ('Parker Drilling', 86)]"
WMG ACQUISITION CORP.,22091,Ion,73918,90,"[('Ion', 90), ('UIS', 90), ('ITI', 90), ('Ion', 90), ('Sit', 90), ('ITI', 90), ('L&L Acquisition', 87), ('Infor Acquisition Class A Restricted Voting Shares', 86), ('Mcewen Mining and Minera Andes Acquisition', 86), ('Shire Acquisition Exchangeable Shares', 86)]"
NEW YORK COMMUNITY BANK,22092,Community National Bank New York,59516,95,"[('Community National Bank New York', 95), ('Security Bank', 90), ('Unit', 90), ('Community Bank', 90), ('Security Bank', 90), ('Unit', 90), ('Security Bank', 90), ('Community Capital', 90), ('Community Bank', 90), ('Security Bank', 90)]"
DZ BANK AG Deutsche Zentral-Genossenschaftsban,22093,Deutsche Capital,100182,90,"[('Deutsche Capital', 90), ('DZ Bank', 90), ('Adelaide Bank', 86), ('Advance Bank Australia', 86), ('AFB Bank ASC', 86), ('Azar-Turk Bank', 86), ('Bahrain International Bank', 86), ('Bank Azerbaijan', 86), ('Bank of Western Australia', 86), ('Barbados National Bank', 86)]"
BAC Capital Trust XI,22094,X,13869,90,"[('X', 90), ('Capital A', 90), ('BAC Holding International Dummy', 86), ('BAC Majestic', 86), ('Vojvodinaput BAC', 86), ('BAC A Mineral and Metallurgy', 86), ('BAC Giang Exploitable Mineral', 86), ('BAC Kan Petrovietnam Power', 86), ('BAC NA JSC', 86), ('Dong BAC Food', 86)]"
MAINSOURCE BANK,22095,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Insource', 90), ('Security Bank', 90), ('AI', 90), ('RCE Capital', 90)]"
SL Green Operating Partnership LP,22096,Artner,107941,90,"[('Artner', 90), ('Capital Partners', 90), ('Opera Limited', 90), ('Dinamo - SL AD', 86), ('Green Invest', 86), ('Green Pacific Energy', 86), ('Kilpatrick Green', 86), ('Unie Van Redding-SL', 86), ('CI Master Partnership', 86), ('Green Forest Lumber', 86)]"
"Nordea North America, Inc.",22097,North,28907,90,"[('North', 90), ('North', 90), ('ICA AB', 90), ('Nord', 90), ('AME', 90), ('DEA Capital', 90), ('Nord', 90), ('RDE', 90), ('ICA AB', 90), ('ICA AB', 90)]"
Commerzbank AG (NY Branch),22098,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NCH', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Commerzbank', 90), ('Security Bank', 90), ('Commerzbank', 90)]"
