Target Name,Target No.,preprocessed,Focus Text,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"RWT HOLDINGS, INC",24050,rwt,rwt,SRWT,22464,99.86,T Bank,22692,99.5,CLRWT Seafoods Income Fund,157333,99.21,Griffin FDS Inc GRWTH and Incm B,205811,99.19,Ishrs MSCI EM CNSMR GRWTH US Dollar (ACC) ETF,233525,99.14,iShares Euro Total MRKT GRWTH LRG Ucits ETF European,181901,99.11,iShares Euro Total MRKT (AMS) GRWTH LRG Ucits ETF European,257050,99.11,iShares Euro Total MRKT (XETRA) GRWTH LRG Ucits ETF European,257051,99.11,TRW,68842,79.87,NRW Holdings,85064,79.87
SB Capital S.A.,15167,sb capital,sb,SBD Capital,86016,99.95,SBD Capital (Non-NASDAQ OTC),248609,99.95,SBD Capital (Frankfurt),265942,99.95,Crosby Capital (XETRA),311222,99.83,Brisbane Capital,156709,99.77,Douglasbay Capital,46669,99.71,MSB Global Capital,130816,99.71,SBI Capital Trust Preferred,147079,99.65,SB Financial Group,138172,99.64,SB Financial Group (Frankfurt),265940,99.64
TD Capital Trust,4979,td capital,td,MTD Capital,28502,99.95,TD Split,161401,99.67,TDB Split 'A',86518,99.61,TDB Split 'A' (Non-NASDAQ OTC),249224,99.61,TDS Capital I 8.5% 2037,147688,99.61,Nxtdigital,103122,99.6,Dotdigital Group,125579,99.6,Dotdigital Group (Non-NASDAQ OTC),245137,99.6,Dotdigital Group (Frankfurt),269656,99.6,Dotdigital Group (Frankfurt),278234,99.6
TIERS Corporate Bond-Backed Certificates Trust,21561,tiers corporate bond backed certificates,tiers,Citigroup Global Markets Holdings Tiers Trust Certificates 2000-13,194127,99.53,Tiers Call Prin-Protected Assets Tiers 2006,80082,99.51,Tiers Call Print Protected Asset Tiers 2006,80083,99.51,Quartiers Properties,176121,99.5,Structured Products Tiers Principal Protected Trust Certificate Russel 2000,200822,99.5,Structured Products Tiers Principal Protected Trust Certificate Service 2000,200825,99.49,Quartiers Properties Preference,141230,99.48,Structured Products Tiers Principal Protected Trust Certificate S and P500 Preferred,200824,99.46,Structured Products Tiers Principal Protected Trust Certificate Standard and Poor's 500,200823,99.45,Structured Products Tiers 2003,200820,99.4
Wurth Finance International B.V.,16161,wurth b.v.,wurth,TH Group,30936,99.33,RT Group,50230,99.33,RT Group (VIRT-X),232760,99.33,T Bank,22692,99.18,Worth,69400,79.73,Howarth Timber,47928,79.7,Werth Holz,114874,79.7,Rockworth NVDR,176155,79.7,Warthog,51572,79.67,Worthen Bank,69401,79.67
Yinson Juniper Ltd,25390,yinson juniper,yinson,Yinson Holdings,107354,99.6,Company On,1218,99.25,NS Group,66949,99.25,NS,121444,99.25,NS Group (Berlin),302348,99.25,O-Bank,115989,99.13,Song,12411,85.47,Sony Bank Inc,30415,85.47,Sony (United Kingdom),50651,85.47,Sony Group,106094,85.47
YPF ENERGIA ELECTRICA SOCIEDAD ANONIMA,2816,ypf energia electrica sociedad anonima,ypf,YPF Sociedad (Mexico) Anonima ADR Each 'D' 1:1,220928,99.53,Ypfb Transporte,80888,99.38,YPF 'D' Sponsored ADR 1:1,192237,99.38,YPF 'D' Sponsored ADR 1:1 (Frankfurt),260806,99.38,YPF A On (BSP),153327,99.35,Ypfb Andina,80886,99.33,Ypfb Chaco,80887,99.33,Repsol YPF (Stuttgart) Bonus Rights Code,281480,99.33,YPF S A (London),243315,99.31,Repsol YPF (Non-NASDAQ OTC) Bonus Rights,239426,99.3
