Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Banca Italease Capital Trust (Delaware),22074,Security Banc,8809,90,"[('Security Banc', 90), ('AWA', 90), ('NCA', 90), ('Banca Italease', 90), ('Aware', 90), ('Security Capital Delaware', 90), ('Banca Generali', 86), ('Banca Transilvan', 86), ('Bper Banca', 86), ('Banca Carige', 86)]"
"SESI, LLC",22075,Borgosesia,55767,90,"[('Borgosesia', 90), ('Borgosesia RSP', 90), ('Sesil', 89), ('Selsi', 89), ('ESI', 86), ('SSI Securities', 86), ('Seshin', 80), ('TOL Gases Limited', 77), ('Bhuruka Gases', 77), ('Gagan Gases', 77)]"
"Community Bank, N.A.",22076,Community Capital Bank,6458,95,"[('Community Capital Bank', 95), ('Community Capital Bank', 95), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Unity Bank', 90), ('Security Bank', 90), ('Community Capital', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Hartford Life Insurance Company,22077,Hartford Life Insurance,119940,95,"[('Hartford Life Insurance', 95), ('Trust Company', 90), ('Life', 90), ('Life', 90), ('Life', 90), ('Life', 90), ('SBI Life Insurance Company', 87), ('Air Asia Company', 86), ('HLB Life Science', 86), ('SPI Energy Company Limited', 86)]"
Lake Forest Bank and Trust Company,22079,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('T Bank', 90), ('Trust Company', 90), ('Lake', 90)]"
Entegra Bank,22080,Integra Bank,7630,92,"[('Integra Bank', 92), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Entegra', 90), ('NK', 90)]"
MERCANTILE BANK OF MICHIGAN,22081,Security Bank,136665,90,"[('Security Bank', 90), ('Security Bank', 90), ('Mercantile Bank', 90), ('Mercantile Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Mercantile Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
UBS Preferred Funding Trust V,22082,UBS AG,137469,90,"[('UBS AG', 90), ('UBS AG', 90), ('UBS AG', 90), ('Ford Motor Company Capital Trust Trust Originated Preferred Securities 9%', 86), ('BAC Capital Trust V 6% Capital Securities', 86), (""Corts Trust Bellsouth Capital Funding 'D' Corts 7.12%"", 86), ('GBB Capital V', 86), (""UBS 'R'"", 86), ('Olympic Financial Convertible Preferred Shares', 86), ('Affymax N V', 86)]"
ANCHOR CAPITAL TRUST III,22083,NCH,54917,90,"[('NCH', 90), ('NC&', 90), ('Anchor Bancorp Wisconsin', 86), ('Anchor Bancorp Wisconsin', 86), ('Anchor Services Bank', 86), ('Corts Trust III First Union Institutional Capital 7.5%', 86), ('Corts Trust III IBM Debs 7.2%', 86), ('Corts Trust III Safeco Capital Trust I 8.072%', 86), ('Corts Trust III Sherwin Williams Class A 7.25%', 86), ('Excelsior Venture Partners III LLC', 86)]"
Bank Hapoalim B.M.,22084,Bank Hapoalim B M Limited,3513,100,"[('Bank Hapoalim B M Limited', 100), ('Bank Hapoalim B M Bearer', 95), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Ali', 90)]"
