Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
Ulster Bank Ireland Limited,10951,ulster ireland,ulster,Ulster Petrofina Rights,13325.0,,,Ulster Petes New,161783,99.6,Ulster T V 'A',183656,99.57000000000001,Ulster Petrofina Rights,13325,99.49,Ulster Petroleum Warrants 11/91,161784,99.49,Tyndall Ulster Fund Accumulation,51279,99.43,Tyndall Ulster Fund Distiller,51280,99.42,LS,115894,99.25,T Bank,22692,99.13,Beckman Coulter,59199,90.43,Beckman Coulter (Frankfurt),277043,90.43
Ultra Resources Inc,22842,ultra resources,ultra,Ultra Petroleum,216275.0,Ultra Brands (Non-NASDAQ OTC),249585.0,Ultrasonic,23146,99.64,Ultrasonic (XETRA),23147,99.64,Ultra Source Technology,44281,99.63,Ultra Clean,23143,99.62,Ultra Clean (XETRA),23144,99.62,Ultra Electronics,124639,99.62,Ultra Clean Holdings,135205,99.62,Ultra Electronics Holdings (Non-NASDAQ OTC),249586,99.62,Ultra Clean (Pet) Holdings,252511,99.62,Ultra Clean Holdings (Frankfurt),266756,99.62
Ultragaz Participacoes Ltda.,4095,ultragaz participacoes ltda.,ultragaz,,,,,Ultr Holdings,13327,99.25,Gaz,118981,99.19,AGA AB,177192,99.19,AGA (Tokyo),220977,99.19,AGA (Frankfurt),293008,99.19,GA Holdings,100637,99.13,LT Group,106815,99.13,RA International Group,126784,99.13,GA Holdings (Berlin),286512,99.13,T Bank,22692,99.07
"UMB Bank, n.a.",22165,umb n.a.,umb,UMB Holiding,105474.0,,,Umbra,68889,99.62,Bumble A,133866,99.62,Bumble A (Mexico),216985,99.62,Jumbo BAG,101806,99.59,Dumbla,25637,99.57000000000001,UMB Financial,135207,99.57000000000001,UMB Financial (Pet),252513,99.57000000000001,UMB Financial (Frankfurt),266760,99.57000000000001,Plumb Fast,121787,99.56,Jumberca,19091,99.5
UNE EPM Telecomunicaciones S.A.,7336,une epm telecomunicaciones,une,UNE United Engineers,23161.0,,,Sunenergy Communication,68485,99.65,Dunes Exploration,129151,99.56,Dunes Exploration (Frankfurt),278272,99.56,Huneed Technologies,119553,99.53,Jeunesse Cosmetic Paris,27258,99.53,Fortune Petroleum Units,195829,99.53,UNE United Engineers,23161,99.52,Dunes Hotels and Casinos,53872,99.52,Neptune Resources,10425,99.51,Uunet Technologies,78002,99.5
UNEDIC,8413,unedic,unedic,,,,,Dic,106470,99.67,Dic (Non-NASDAQ OTC),235864,99.67,Dic (Non-NASDAQ OTC),245073,99.67,Dic (Frankfurt),269595,99.67,Dic (XETRA),311416,99.67,IC Group,8836,99.5,IC,35427,99.5,IC,110344,99.5,IC Group (Berlin),287019,99.5,C Holdings,24873,99.29
Unibail Holding SA,1864,unibail holding,unibail,Unibail-Rodamco,171056.0,Unibail Rodamco We (Non-NASDAQ OTC) Stapled Units,249593.0,Unibail-Rodamco,171056,99.67,Unibail-Rodamco (AMS),297644,99.67,Unibail-Rodamco (Dutch Trading Service),297645,99.67,Unibail (VIRT-X),297643,99.64,Unibail Rodamco We Stapled Units,87673,99.51,Unibail Rodamco We (Mexico) Stapled Units,219137,99.51,Unibail Rodamco We (Non-NASDAQ OTC) Stapled Units,249593,99.51,Unibail Rodamco We (Frankfurt) Stapled Units,275404,99.51,Unibail Rodamco We (Milan) Stapled Units,275405,99.51,Unibail Rodamco We (Vienna Stock Exchange) Stapled Units,275406,99.51
Unican Limited,25310,unican,unican,Unican Security Systems,13339.0,,,Unica,61662,99.91,Unica (Frankfurt),282639,99.91,Unica (XETRA),308855,99.91,NIC,28718,99.67,ICA AB,42475,99.67,NIC,60749,99.67,ICA AB,178994,99.67,ICA AB,178995,99.67,ICA (Non-NASDAQ OTC),237135,99.67,NIC (Non-NASDAQ OTC),238449,99.67
UniCredit Jelzalogbank Zrt,10686,unicredit jelzalogbank zrt,unicredit,Unicredit,87413.0,Unicredit (Non-NASDAQ OTC),249595.0,Unicredit Bank Zao,23170,99.67,Unicredit Bank D D Mostar,4329,99.57000000000001,Unicredit RSP,171066,99.56,Unicredit RSP (Frankfurt),299179,99.56,Unicredit Bank,86821,99.51,Unicredit,87413,99.51,Unicredit (Mexico),219138,99.51,Unicredit (BUD),223025,99.51,Unicredit (Warsaw),225970,99.51,Unicredit (Swiss Stock Exchange),228990,99.51
UNIDAD PUNTA DE RIELES SOCIEDAD ANONIMA,25190,unidad punta de rieles sociedad anonima,unidad,,,,,Unid,123825,99.19,Da Securities,25386,99.1,Da Group,46473,99.1,ID Holdings,110369,99.1,NI Holdings,137627,99.1,NI Holdings (Frankfurt),264980,99.1,Da Group (Frankfurt),294221,99.1,Da Group (XETRA),311283,99.1,Industry Reunida,179055,90.45,Compania CVCS Unida (Mexico),223234,90.4
