Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
AXIS Speciality Finance LLC,22986,axis speciality finance,axis,Axis Auto Finance,81511,95.0,axis speciality,Special,39462,89.4,axis speciality finance,Special,39462,89.4
AXIS Specialty Finance PLC,9633,axis specialty finance,axis,Axis Auto Finance,81511,95.39999999999999,axis specialty,Special,39462,89.6,axis specialty finance,Special,39462,89.6
BAC Canada Finance Company,5045,bac canada finance company,bac,Pakistan Tobacco Company,107023,91.2,bac canada,Texaco Canada Income,12958,85.0,bac canada finance,INA,65640,84.2
BAC Capital Trust VI,21984,bac capital vi,bac,BAC Capital Trust IV,62793,98.6,bac capital,BAC Capital Trust IV,62793,98.6,bac capital vi,Security Capital,76742,93.39999999999999
BAC CAPITAL TRUST VII,21999,bac capital vii,bac,BAC Capital Trust IV,62793,98.0,bac capital,BAC Capital Trust IV,62793,98.0,bac capital vii,Security Capital,76742,92.8
BAC Capital Trust VIII,20781,bac capital viii,bac,BAC Capital Trust IV,62793,97.39999999999999,bac capital,BAC Capital Trust IV,62793,97.39999999999999,bac capital viii,Capital Trust,99352,92.2
BAC Capital Trust XI,22094,bac capital xi,bac,BAC Capital Trust IV,62793,98.6,bac capital,BAC Capital Trust IV,62793,98.6,bac capital xi,Capital Securities,115447,93.39999999999999
BAC CAPITAL TRUST XIII,22274,bac capital xiii,bac,BAC Capital Trust IV,62793,97.39999999999999,bac capital,BAC Capital Trust IV,62793,97.39999999999999,bac capital xiii,Capital Limited,125283,92.2
BAC CAPITAL TRUST XV,22345,bac capital xv,bac,BAC Capital Trust IV,62793,98.6,bac capital,BAC Capital Trust IV,62793,98.6,bac capital xv,Capital Trust,99352,93.39999999999999
BAC LB Capital Funding Trust II,24449,bac lb capital funding ii,bac,BAC Capital Trust IV,62793,93.39999999999999,bac lb,BAC Lieu Fisheries,125097,75.80000000000001,bac lb capital,Capital Limited,125283,88.8
Banca Popolare di Ancona SpA,12190,banca popolare di ancona spa,banca,Banca Popolare di Lajatico Scpa,91372,97.0,banca popolare,Banca Popolare di Novara,15144,97.0,banca popolare di,Banca Popolare di Novara,15144,97.0
Banca Popolare di Aprilia - S.p.A.,12246,banca popolare di aprilia -,banca,Banca Popolare di Bari ORS,91369,96.6,banca popolare,Banca Popolare di Bari ORS,91369,96.6,banca popolare di,Banca Popolare di Bari ORS,91369,96.6
Banca Popolare di Lanciano e Sulmona SpA,12222,banca popolare di lanciano e sulmona spa,banca,Banca Popolare di Puglia E Basilicata,91373,94.6,banca popolare,Banca Popolare di Puglia E Basilicata,91373,94.6,banca popolare di,Banca Popolare di Cividale Scpa,91370,94.6
Banca Popolare di Lodi Investor Trust III,22005,banca popolare di lodi investor iii,banca,Banca Popolare di Sondrio (XETRA),310223,94.8,banca popolare,Banca Popolare di Sondrio (XETRA),310223,94.8,banca popolare di,Banca Popolare di Sondrio (XETRA),310223,94.8
Banca Popolare di Mantova SpA,12238,banca popolare di mantova spa,banca,Banca Popolare di Novara,15144,97.39999999999999,banca popolare,Banca Popolare di Novara,15138,97.39999999999999,banca popolare di,Banca Popolare di Novara,15138,97.39999999999999
Banca Popolare di Ravenna SpA,12198,banca popolare di ravenna spa,banca,Banca Popolare di Lajatico Scpa,91372,96.0,banca popolare,Banca Popolare di Lajatico Scpa,91372,96.0,banca popolare di,Banca Popolare di Lajatico Scpa,91372,96.0
Banca Popolare di Verona - S.Geminiano e S.Pro,12099,banca popolare di verona - s.geminiano e s.pro,banca,Banca Popolare di (XETRA) Milano,284538,93.8,banca popolare,Banca Popolare di Verona (XETRA),310144,93.8,banca popolare di,Banca Popolare di (XETRA) Milano,284538,93.8
BANCA POPOLARE DI VICENZA SOCIETA PER AZIONI,12184,banca popolare di vicenza societa per azioni,banca,Banca Popolare di Verona (XETRA),310144,94.2,banca popolare,Banca Popolare di Verona (XETRA),310144,94.2,banca popolare di,Banca Popolare di Verona (XETRA),310144,94.2
Bank of China (Canada),5156,bank of china (canada),bank,Bank of China 'A',87355,95.39999999999999,bank of,Bank of China 'A',87355,95.39999999999999,bank of china,Bank of China 'A',87355,95.39999999999999
BANK OF CHINA (DUBAI) BRANCH,2731,bank of china (dubai) branch,bank,Bank of Hawaii DRC Each,184657,93.39999999999999,bank of,Bank of Hawaii DRC Each,184657,93.39999999999999,bank of china,Bank of China 'H',162413,93.39999999999999
