Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Telemar Norte Leste SA,4001,Telemar Norte Leste On,152939,95,"[('Telemar Norte Leste On', 95), ('SOC Concesionaria Vespucio Norte Express', 86), ('Compania Vinicola del Norte de Espana', 86), ('Banco Norte', 86), ('Del Norte C2', 86), ('RTE', 86), ('Edenor Empresa Distribuidora y Comercializadora Norte', 86), ('Leste FDO Deinvt CAD Prod Agroind Fiagro', 86), (""Transportadores de Gas del Norte 'C'"", 86), ('Norte Grande', 86)]"
AES Sul Distribuidora Gaucha de Energia S.A.,4002,Energia,34315,90,"[('Energia', 90), ('Energia', 90), ('AES Brasil On', 86), ('AES Elpa On', 86), ('AES Sul On', 86), ('CIA Brasiliana de Energia', 86), ('De Witte-Lietaer', 86), ('Docas de Santos', 86), ('Forno de Minas Alimentos', 86), ('Gral de Fostoros', 86)]"
Agra Empreendimentos Imobiliarios S.A.,4004,Mobil,238219,90,"[('Mobil', 90), ('CR2 Empreendimentos Imobiliarios On', 88), ('Multiplan Empreendimentos Imobiliarios On', 87), ('HBR Realty Empreendimentos Imobiliarios On', 87), ('Lavvi Empreendimentos Imobiliarios On', 87), ('CR2 Empreendimentos Imobiliarios ADR 1:4', 87), ('Agra Incorp On', 86), ('Canadian Agra Food', 86), ('Agra Tagger', 86), ('Agra-Technology', 86)]"
B2W Companhia Global do Varejo,4008,IA Global,55113,90,"[('IA Global', 90), ('Globa', 90), ('Global', 90), ('Global', 90), ('ADG Global Supply', 86), ('Banco do Brasil SA', 86), ('Bluestone Global', 86), ('Global Doctor', 86), ('Global Property Fund', 86), ('Global Television', 86)]"
Itau Unibanco S.A.,4014,IT,27121,90,"[('IT', 90), ('Uniban', 90), ('Tau Capital', 90), ('Security Banc', 90), ('NC&', 90), ('Ta', 90), ('Itau Unibanco Holding PN', 90), ('Itau Unibanco Holding Cedear', 90), ('Itau Unibanco Holding On', 90), ('Itau Unibanco Banco Holding ADR 1:1', 90)]"
BROOKFIELD INCORPORACOES S.A.,4018,RAC,49978,90,"[('RAC', 90), ('Broo', 90), ('IEL', 90), ('D I', 90), ('Brookfield Australian Opportunities Fund', 86), ('Brookfield On', 86), ('Brookfield High Yield Strategic Income Fund', 86), ('Brookfield Homes', 86), ('I D I', 86), ('D&D', 86)]"
Brasil Brokers Participacoes SA,4019,Brok,32970,90,"[('Brok', 90), ('Bras', 90), ('AES Brasil On', 86), ('Arcelor Brasil On', 86), ('Banco do Brasil SA', 86), ('Easy Brokers', 86), ('Zain Participacoes', 86), ('Fenalu GST de Investimentos E Participacoes', 86), ('Krak Brokers', 86), ('Squarestone Brasil', 86)]"
BRAZILIAN FINANCE & REAL ESTATE S.A.,4021,Real Estate,3531,90,"[('Real Estate', 90), ('Real Security', 90), ('Stat', 90), ('Capital Estate', 90), ('Real Security', 90), ('Allco Finance Group', 86), ('Aroma Real Estate', 86), ('Beneficial Finance', 86), ('Coopers Estate', 86), ('Cred Real MG On P', 86)]"
Centrais Eletricas do Para S.A. - CELPA,4023,Centrais Eletricas do Para Celpa Series A PN,139590,95,"[('Centrais Eletricas do Para Celpa Series A PN', 95), ('Centrais Eletricas do Para Celpa Series B PN', 95), ('Centrais Eletricas do Para Celpa Series C PN', 95), ('Centrais Eletricas do Para Celpa On', 95), ('Trais', 90), ('Entra', 90), ('Banco do Brasil SA', 86), ('Cellulose do Caima', 86), ('Do Deutsche Office', 86), ('Niko Niko do', 86)]"
Estacio Participacoes S.A.,4035,TAC,114047,90,"[('TAC', 90), ('Staci', 90), ('Art', 90), ('Art', 90), ('Art', 90), ('RTI', 90), ('TAC', 90), ('Art', 90), ('Estacio Participacoes (Non-NASDAQ OTC)', 90), ('BS&C Empreendimentos E Participacoes', 86)]"
All America Latina Logistica Mahla Paulista S.,4037,Latina,27809,90,"[('Latina', 90), ('Banco BTG Pactual S A', 86), ('Banco Estado Pernambuco S/A', 86), ('Centro Shopping America Trust', 86), ('Cosan Logistica On', 86), ('Elekeiroz S A', 86), ('Euromayor S A de Inversiones', 86), (""Foster's Group"", 86), (""Gibson's"", 86), ('Mcleod M S', 86)]"
Kroton Educacional SA,4046,Ion,73918,90,"[('Ion', 90), ('Duc', 90), ('Ion', 90), ('D&D', 86), ('ONA', 86), ('Cruzeiro do Sul Educacional On', 86), ('FI Imob Rio Bravo Rnda Educacional- FII - Unica', 86), ('R R Securities', 86), ('T T', 86), ('FI Imobiliario Anhanguera Educacional', 86)]"
Jereissati Participacoes S/A,4048,Jereissati Participacoes PN,151909,91,"[('Jereissati Participacoes PN', 91), ('Reis', 90), ('A C N 059 457 279', 86), ('A C N 603 323 182', 86), ('A R C Industries', 86), ('A V Buildings', 86), ('A-Cap Development', 86), (""BTR 'A'"", 86), (""Della Penna 'A'"", 86), ('Elekeiroz S A', 86)]"
MPX Energia S.A.,4053,Energia,34315,90,"[('Energia', 90), ('RGI', 90), ('Energia', 90), ('ERG', 90), ('ERG', 90), ('ERG', 90), ('IA', 90), ('RG Securities', 90), ('CIA Brasiliana de Energia', 86), ('Energisa Sergipe Dist de Energia SA', 86)]"
Obrascon Huarte Lain Brasil S.A.,4061,Obrascon Huarte Lain,94897,95,"[('Obrascon Huarte Lain', 95), ('Huarte', 90), ('Ascon', 90), ('Huarte', 90), ('Bras', 90), ('Obrascon Huarte La', 90), ('AES Brasil On', 86), ('Arcelor Brasil On', 86), ('Banco do Brasil SA', 86), ('Squarestone Brasil', 86)]"
PETROBRAS DISTRIBUIDORA S.A.,4063,Petrobras Distribuidora On 1000,152433,95,"[('Petrobras Distribuidora On 1000', 95), ('Petrobras Distribuidora PN 1000', 95), ('Petrobras Distribuidora Forward On', 95), ('DIS', 90), ('RAS', 90), ('IDO Security', 90), ('Pet', 90), ('IST Limited', 90), ('Bras', 90), ('S&D', 90)]"
Espirito Santo Centrais Eletricas S.A.,4086,Espirito Santo Centrais Electrica GDR,144155,91,"[('Espirito Santo Centrais Electrica GDR', 91), ('Spirit Corporation', 90), ('Spirit Corporation', 90), ('Trais', 90), ('Entra', 90), ('Santo', 90), ('Santo Mining', 86), ('Centrais Eletricas Brasileira Eletrobras On ADR 1:1', 86), ('Centrais Eletricas Brasileira Eletrobras PNB ADR 1:1', 86), ('Espirito Santo Financial Sponsored ADR 1 ADR = 1 Share', 86)]"
Globo Comunicacoes e Participacoes S.A.,4087,Globo,47444,90,"[('Globo', 90), ('Globo', 90), ('Unica', 90), ('Munic', 90), ('Bonaire Participacoes', 86), ('Channel E', 86), ('E P T', 86), ('E Z Industries', 86), ('E-Business Systems', 86), ('E-Pay Asia', 86)]"
BANCO SAFRA S.A.,4088,Safr,21760,90,"[('Safr', 90), ('Security Banc', 90), ('NC&', 90), ('Banco BTG Pactual S A', 86), (""Banco de Galicia Buenos Aires 'C'"", 86), ('Banco Estado Pernambuco S/A', 86), (""Banco Santander Rio 'B'"", 86), ('Banco Popular Argentina', 86), (""Nuevo Banco Suquia 'B'"", 86), ('Banco de Costa Rica', 86)]"
HSBC Bank Brasil SA,4089,RAS,21455,90,"[('RAS', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('ASI', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Bras', 90)]"
BANCO CREDIT AGRICOLE BRASIL S.A.,4090,Cole,71312,90,"[('Cole', 90), ('Security Banc', 90), ('Credit Agricole SA', 90), ('Agri', 90), ('Bras', 90), ('Credit Agricole SA', 90), ('AES Brasil On', 86), ('Arcelor Brasil On', 86), ('Banco CMF SA', 86), ('Banco do Brasil SA', 86)]"
"Banco Itau BBA, S.A.",4091,IT,27121,90,"[('IT', 90), ('Tau Capital', 90), ('Security Banc', 90), ('NC&', 90), ('Ta', 90), ('Banco BTG Pactual S A', 86), ('Banco CMF SA', 86), (""Banco de Galicia Buenos Aires 'C'"", 86), ('Banco Estado Pernambuco S/A', 86), (""Banco Santander Rio 'B'"", 86)]"
Banco Votorantim S.A.,4092,Tim,114294,90,"[('Tim', 90), ('Otor', 90), ('Security Banc', 90), ('Tim', 90), ('IM', 90), ('NC&', 90), ('Banco CMF SA', 86), (""Banco de Galicia Buenos Aires 'C'"", 86), ('Banco Estado Pernambuco S/A', 86), ('Banco Shaw', 86)]"
BANCO ABN AMRO REAL S.A.,4093,Real Security,131585,90,"[('Real Security', 90), ('AMR', 90), ('Security Banc', 90), ('ABN Amro Securities LLC', 90), ('Real Security', 90), ('ABN Amro Securities LLC', 90), ('Banco CMF SA', 86), (""Banco de Galicia Buenos Aires 'C'"", 86), ('Banco Shaw', 86), ('Macarthurcook Asian Real Estate Securities Fund', 86)]"
Banco Citibank S.A.,4094,CIT,15964,90,"[('CIT', 90), ('Security Bank', 90), ('IT', 90), ('Banco Citibank de El Salvador SA', 90), ('Banco Citibank de Honduras SA', 90), ('Security Bank', 90), ('Security Bank', 90), ('ITI', 90), ('Security Banc', 90), ('Security Bank', 90)]"
