Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
CLX Communications AB (publ),17641,Ion,73918,90,"[('Ion', 90), ('Capital Communication', 90), ('NIC', 90), ('ICA AB', 90), ('NIC', 90), ('Unica', 90), ('ATI', 90), ('Ion', 90), ('Munic', 90), ('ATI', 90)]"
Velcora Holding AB,17642,El Corporation,1533,90,"[('El Corporation', 90), ('Valora Holding Limited', 90), ('LDI Corporation', 90), ('Elco', 90), ('LC Corporation', 90), ('Valora Holding Limited', 90), ('Valora Holding Limited', 90), ('Corporation Holding', 90), ('Velcan Holdings', 87), ('Vector Holdings', 87)]"
Stillfront Group AB (publ),17646,Stillfront Group,116211,95,"[('Stillfront Group', 95), ('Group', 90), ('Group', 90), ('Stil', 90), ('Stil', 90), ('Group', 90), ('STI', 90), ('Till Capital', 90), ('TIL', 90), ('Adtrans Group', 86)]"
Volvo Car AB,17648,Volvo Car B,115158,95,"[('Volvo Car B', 95), ('AR', 90), ('Car', 90), ('CA', 90), ('Volvo Car ADR 1:2', 90), ('Volvo Car B (Non-NASDAQ OTC)', 90), ('Volvo Car B (Frankfurt)', 90), ('Volvo Car ADR 1:2 (Munich)', 90), ('Volvo A', 88), ('Car Telematics', 86)]"
Bluestep Bank AB (publ),17649,Blue Capital,832,90,"[('Blue Capital', 90), ('Step', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Step', 90)]"
Garo AB,17651,Garo,115650,100,"[('Garo', 100), ('Kangaroo Resources', 90), ('GA Capital', 90), ('Kangaroo Media', 90), (""Garonor 'A'"", 90), ('AR', 90), ('Empresas Tagaropulos S A', 90), (""Garovaglio 'B'"", 90), ('Yangaroo', 90), ('Garofalo Health Care', 90)]"
AddLife AB,17655,Addlife B,115306,95,"[('Addlife B', 95), ('Life', 90), ('IFE', 90), ('Life', 90), ('Life', 90), ('Capital A', 90), ('DL', 90), ('Life', 90), ('Addlife AB Class B', 90), ('Addlife B Fuly Paid 15/02/19', 90)]"
SPP Pension & Forsakring AB (publ),17664,Ring,50155,90,"[('Ring', 90), ('LD Invest Pension', 86), ('Kalceks Publ', 86), ('Baillie Gifford Annuity Protection Pension Fund Class S Dead', 86), ('HWC Pension Real Estate Fund Limited Partnership Units', 86), ('Boettcher Pension Investments Unit L P Interest', 86), ('Century Pension Income Fund Unit Trust Limited Partnership ASG Xxvi', 86), ('NFO Drives AB (Publ)', 86), ('Balcor Equity Pension Insurances L Units Limited Partnership 1 Txex', 86), ('Balcor Pension Investors L P Unit L P Interest', 86)]"
Embracer Group AB,17668,Embracer Group,115242,100,"[('Embracer Group', 100), ('Acer', 90), ('Group', 90), ('Group', 90), ('Up', 90), ('RAC', 90), ('Group', 90), ('Acer', 90), ('EMB', 90), ('MB Securities', 90)]"
Ellevio AB,17670,El Corporation,1533,90,"[('El Corporation', 90), ('Levi', 90), ('Evio', 90), ('Vior', 77), ('Elevon', 77), ('Vior', 77), ('Vipo', 77), ('Viol', 77), ('Elevation Capital', 75), ('Televideo', 75)]"
SCA Hygiene AB,17672,SCA Hygiene Products (XETRA),21885,90,"[('SCA Hygiene Products (XETRA)', 90), ('SCA Hygiene Products', 90), ('IE', 90), ('CA', 90), ('Groupe Steria SCA', 86), ('S E S', 86), ('Zenith Hygiene Group', 86), ('Swisher Hygiene (Non-NASDAQ OTC)', 86), ('Reinet Investments SCA', 86), ('Ascencio SCA REIT', 86)]"
Collector Bank AB,17675,CTO,16324,90,"[('CTO', 90), ('Security Bank', 90), ('LEC', 90), ('COL', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
SBB i Norden AB,17676,Nord,112302,90,"[('Nord', 90), ('B I Incorporated', 90), ('Nord', 90), ('RDE', 90), ('Fabrika Otkovaka I Armature', 86), ('FIP EM Infu XP Omega I', 86), ('FIP Infra-Estr BB VTRM Energ Sustentavel I', 86), ('I D C', 86), ('Jelen I Staklorad DD', 86), ('Raiffeisen Bank D D Bosna I Hercegovina', 86)]"
Akademibokhandeln Holding AB (publ),17678,Corporation Holding,204304,90,"[('Corporation Holding', 90), ('AKB Corporation Holding', 86), ('AKG Holding', 86), ('Continental Holding', 86), ('Di Janj Holding', 86), ('Ekoinvest Holding', 86), ('Energoremont Holding', 86), ('Enice Holding', 86), ('Holding Roads', 86), ('Izotservice Holding', 86)]"
Nackahusen Holding AB,17679,Usen,31372,90,"[('Usen', 90), ('LDI Corporation', 90), ('NAC', 90), ('Corporation Holding', 90), ('AKB Corporation Holding', 86), ('AKG Holding', 86), ('Bernheim-Comofi Take Over by B C Holding', 86), ('Bulgarian Transport Holding', 86), ('China Finance Holding Company', 86), ('Constantia Industry Holding', 86)]"
Instalco AB,17681,Instalco,115774,100,"[('Instalco', 100), ('Alco', 90), ('Capital A', 90), ('NS', 90), ('Ta', 90), ('LC Corporation', 90), ('Instalco (Berlin)', 90), ('Instacom', 88), ('T T', 86), ('Insetco', 80)]"
Mariefjard AB (publ),17683,AR,24258,90,"[('AR', 90), ('IE', 90), ('BL', 90), ('D&D', 86), ('Svenska Cellulosa Aktiebolaget (Publ)', 86), ('R R Securities', 86), ('F&F', 86), ('Kollect On Demand Holding Publ', 86), ('Olink Holding AB Publ ADR 1:1', 86), ('AB Angpanneforeningen (Publ)', 86)]"
Balder Finska Otas AB,17684,ALD,87906,90,"[('ALD', 90), ('ALD', 90), ('ALD', 90), ('NSK', 90), ('D&D', 86), ('R R Securities', 86), ('T T', 86), ('F&F', 86), ('Fastighets Balder Preferred', 86), ('Fastighets Balder B (Non-NASDAQ OTC)', 86)]"
Sedana Medical AB (publ),17686,Sedana Medical,122492,95,"[('Sedana Medical', 95), ('Ical', 90), ('Medica', 90), ('Medica', 90), ('Dana', 90), ('ICA AB', 90), ('Dana', 90), ('Medica', 90), ('Dic', 90), ('Dana', 90)]"
Danske Hypotek AB (publ),17687,Ans,44917,90,"[('Ans', 90), ('NSK', 90), ('E&H', 90), ('Carnegie Worldwide / Dansk / Danske Aktier', 86), ('Danske Invest Europa Indeks Baeredygtig', 86), ('Dexia Invest Danske Small Cap Aktier', 86), ('Dexia Invest Korte Danske Obligationer', 86), ('Dexia Invest Lange Danske Obligationer', 86), ('Laan and Spar Rationel Invest Danske Aktie', 86), ('Kalceks Publ', 86)]"
Offentliga Hus i Norden AB (publ),17691,Offentliga Hus I Norden,43227,95,"[('Offentliga Hus I Norden', 95), ('Nord', 90), ('Nord', 90), ('I D C', 86), ('A L I Technologies', 86), ('C I L', 86), ('Eagle I Capital', 86), ('Egns-Invest Norden', 86), ('Go Capital I', 86), ('Lokalbanken I Nord', 86)]"
Galliaden Holding AB (publ),17693,All Corporation,24093,90,"[('All Corporation', 90), ('LDI Corporation', 90), ('ADE', 90), ('Corporation Holding', 90), ('AKB Corporation Holding', 86), ('AKG Holding', 86), ('Bernheim-Comofi Take Over by B C Holding', 86), ('Di Janj Holding', 86), ('Enice Holding', 86), ('Focus Energia Holding Participacoes On', 86)]"
Avanza Bank AB,17696,AVA,14892,90,"[('AVA', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Anza Capital', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Avanza Bank Holding', 90)]"
Epiroc AB,17697,Epiroc A,115198,95,"[('Epiroc A', 95), ('Epiroc B', 95), ('EPI', 90), ('IRO', 90), ('Iroc', 90), ('Epiroc AB No Par Value B Red 02/06/21', 90), ('Epiroc AB No Par Value A Red 02/06/21', 90), ('Epiroc Aktiebolag Unsponsored ADR 1:1', 90), ('Epiroc A (Mexico)', 90), ('Epiroc A (Non-NASDAQ OTC)', 90)]"
Radisson Hotel Holdings AB,17699,DIS,16605,90,"[('DIS', 90), ('Rad', 90), ('ADI', 90), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Holdings', 90), ('ISS', 90), ('Adiss', 90), ('Holdings', 90)]"
Qliro AB,17704,Qliro,121984,100,"[('Qliro', 100), ('IRO', 90), ('Q Capital', 90), ('Qliro Group Dummy', 90), ('Qliro Group Dummy', 90), ('Qliro Group (Non-NASDAQ OTC)', 90), ('Qliro (Frankfurt)', 90), ('R R Securities', 86), ('Livero', 73), ('Emili Romani On 1000', 72)]"
AURELIUS Equity Opportunities AB,17705,Equity,88577,90,"[('Equity', 90), ('Unit', 90), ('Unit', 90), ('Equity', 90), ('Equity', 90), ('Uniti', 90), ('Port', 90), ('Central Equity', 86), ('Equity in Industry', 86), ('Fulcrum Equity', 86)]"
K-Fast Holding AB,17706,K-Fast Holding B,120094,95,"[('K-Fast Holding B', 95), ('LDI Corporation', 90), ('Corporation Holding', 90), ('K-Fast Holding B (Frankfurt)', 90), ('Fast Line Holding', 87), ('Albena Invest Holding', 86), ('Bernheim-Comofi Take Over by B C Holding', 86), ('Bulgarian Transport Holding', 86), ('China Finance Holding Company', 86), ('Constantia Industry Holding', 86)]"
Valerum AB,17708,Valereum,127389,93,"[('Valereum', 93), ('Capital M', 90), ('Capital A', 90), ('Valorum', 86), ('R R Securities', 86), ('Valereum (Stuttgart)', 77), ('Valorum (Berlin)', 77), ('Veru', 73), ('UMP', 72), ('UMC', 72)]"
Verigy Ltd,17718,Verigy,61722,100,"[('Verigy', 100), ('G Capital', 90), ('G Capital', 90), ('Verigy (Frankfurt)', 90), ('Verigy (XETRA)', 90), ('R R Securities', 86), ('Verity', 83), ('Evergy', 83), ('Evergy BDR', 78), ('Vinergy Capital', 77)]"
CITIC Envirotech Ltd,17723,Citic Envirotech,33384,100,"[('Citic Envirotech', 100), ('CIT', 90), ('IT', 90), ('IC', 90), ('Tec', 90), ('IRO', 90), ('Envirotech', 90), ('ITI', 90), ('Citic', 90), ('ITI', 90)]"
CWT LIMITED,17727,CWT,33704,100,"[('CWT', 100), ('CWT International', 90), ('CWT Fully Paid 22/05/07', 90), ('CWT (Stuttgart)', 90), ('MCW Energy Group', 68), ('UCW Deferred', 68), ('CTV', 67), ('BWT', 67), ('CIT', 67), ('CMT', 67)]"
MAYBANK KIM ENG HOLDINGS LIMITED,17730,Security Bank,200310,90,"[('Security Bank', 90), ('Holdings', 90), ('Holdings', 90), ('Security Bank', 90), ('Security Bank', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
STATS CHIPPAC PTE. LTD.,17734,Stats Chippac,39571,95,"[('Stats Chippac', 95), ('Stat', 90), ('ATS', 90), ('Hip', 90), ('S E S', 86), ('Keppel DC REIT Managemen T PTE Limited', 86), ('Avago Technologies Finance PTE Limited', 86), (""Chippac 'A'"", 86), ('T T', 86), ('S E', 86)]"
ASCOTT RESIDENCE TRUST,17737,Ascott Residence Trust A,177387,95,"[('Ascott Residence Trust A', 95), ('Ascott Residence Trust 100', 95), ('Ascott Residence Trust 100', 95), ('ASC Trust', 90), ('Scott Corporation', 90), ('Ascot', 90), ('Re Capital', 90), ('Re Capital', 90), ('ESI', 90), ('Ascot', 90)]"
k1 Ventures Limited,17757,K1 Ventures,35999,100,"[('K1 Ventures', 100), ('ENT', 90), ('Re Capital', 90), ('Re Capital', 90), ('Venture Corporation', 90), ('K1 Ventures (Non-NASDAQ OTC)', 90), ('K&C Capital Ventures Limited', 87), ('Acadamax Ventures', 86), ('Acadia Mineral Ventures', 86), ('Alta Terra Ventures', 86)]"
Silverlake Axis Ltd,17766,Silverlake Axis,116161,100,"[('Silverlake Axis', 100), ('E&A', 90), ('Axis', 90), ('Lake', 90), ('Axis', 90), ('Axis', 90), ('Axis', 90), ('Silverlake Axis (Non-NASDAQ OTC)', 90), ('Silverlake Axis (Stuttgart)', 90), ('Axis Incorporation Berhad', 86)]"
