Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
STERLITE POWER TRANSMISSION LIMITED,11772,sterlite power transmission,sterlite,Sterlite Gold,77197.0,,,Sterlite Components,104849,99.61,Sterlite Industries (India),30550,99.57000000000001,Sterlite Industries,170667,99.57000000000001,Sterlite Industries,170668,99.57000000000001,Sterlite Industries (National India),222835,99.57000000000001,Sterlite Technologies,98077,99.54,Sterlite Technologies (National India),222836,99.54,Sterlite Gold,77197,99.5,Sterlite Gold,216163,99.5,Sterlite Gold (Berlin),303228,99.5
"Stevens Holding Company, Inc.",24737,stevens holding,stevens,Gerald Stevens,54639.0,,,Stevens International,200773,99.64,Stevens International 'A',57760,99.62,Stevens International 'B',210056,99.62,Stevens J P,68406,99.62,Stevens J P (London),232923,99.62,Stewart and Stevenson,68408,99.5,Gerald Stevens,54639,99.48,Gerald Stevens (Berlin),301117,99.48,Westpoint Stevens,58620,99.44,Westpoint Stevens (Berlin),303731,99.44
STG Global Finance B.V.,7927,stg global b.v.,stg,STG,113889.0,,,Firstglobal,34609,99.62,Stgo B86,12591,99.52,STG Lifecare (National India),30551,99.44,Westgrund (XETRA) No Par Value (Tender Offer),171343,99.43,Westgrund No Par Value (Tender Offer),171345,99.43,Firstgold,54378,99.42,Firstgold (Toronto),215365,99.42,Eastgate Technology 10,227546,99.38,Westgold Resources,4531,99.36,Yuba Westgold,78503,99.36
Stock Building Supply Holdings Inc,23666,stock building supply,stock,Stock Properties,113894.0,Unsecured Loan Stock (Non-NASDAQ OTC),249584.0,Comstock Homebuilding (XETRA) 'A',305306,99.65,HB Stockholdings,101103,99.59,HB Stockholdings,167247,99.59,Comstock Holding 'A',136184,99.59,Comstock Holding 'B',204150,99.59,Comstock Holding 'A' (Frankfurt),262336,99.59,Stock Plzen AS,12597,99.57000000000001,Stockbridge,4017,99.56,Stockbridge Investment Company LLC,77210,99.56,Comstock Mining (XETRA),305308,99.56
STOCKLAND TRUST MANAGEMENT LIMITED,3667,stockland management,stockland,Stockland DEF,152824.0,Stockland Stapled (Non-NASDAQ OTC) Units,249054.0,Stockland New,152827,99.73,Stockland Trust Group New,152828,99.73,Stockland Trust New,152829,99.73,Stockland Trust New,152830,99.73,Stockland DEF,152824,99.67,Stockland Trust New JUN01,152832,99.67,Stockland Stapled Units,80818,99.65,Stockland Stapled (Non-NASDAQ OTC) Units,249054,99.65,Stockland Stapled (Frankfurt) Units,274796,99.65,Stockland Deferred,152825,99.63
Stone Container Finance Company of Canada,5005,stone container of canada,stone,Stone India,104858.0,Electra Stone (Non-NASDAQ OTC),245246.0,Stone Container,200800,99.75,Smurfit-Stone Container Company WI,209837,99.63,Stone Mountain Holdings,12604,99.62,Stone Mountain Holdings,161282,99.62,Stone Mountain Holdings (Non-NASDAQ OTC),240044,99.62,Stone Mountain Holdings (Frankfurt),282106,99.62,Stone Mountain Holdings (XETRA),315784,99.62,Smurfit-Stone Container,61326,99.62,Smurfit-Stone Container,76959,99.62,Smurfit Stone Container (Ireland),232878,99.62
STONEGATE PUB COMPANY FINANCING PLC,9643,stonegate pub financing,stonegate,Stonegate Agricom,12610.0,Stonegate Agricom (Non-NASDAQ OTC),240046.0,Stonegate Agricom,12610,99.6,Stonegate Agricom (Non-NASDAQ OTC),240046,99.6,Stonegate Agricom (XETRA),315785,99.6,Stonegate Mortgage,61437,99.59,Stonegate Mortgage (Frankfurt),282108,99.59,Stonegate Bank,61436,99.56,Stonegate Agricom Warrants,161284,99.53,Stonegate Agricom Warrants,161285,99.53,Stone Group Holdings,30557,99.36,Stone International,50828,99.36
STONEGATE PUB COMPANY LIMITED,9560,stonegate pub,stonegate,Stonegate Agricom,12610.0,Stonegate Agricom (Non-NASDAQ OTC),240046.0,Stonegate Bank,61436,99.82000000000001,Stonegate Agricom,12610,99.67,Stonegate Agricom (Non-NASDAQ OTC),240046,99.67,Stonegate Agricom (XETRA),315785,99.67,Stonegate Mortgage,61437,99.65,Stonegate Mortgage (Frankfurt),282108,99.65,Stone Group Holdings,30557,99.56,Stone International,50828,99.56,Stone Group Holdings (Frankfurt),282105,99.56,Stone Group Holdings (XETRA),315783,99.56
Stork Acceptance S.A.,15206,stork acceptance,stork,Stork,22565.0,,,Stork N V (London),216169,99.56,Stork,22565,99.48,Stork (Swiss Stock Exchange),228796,99.48,Stork (Dutch Trading Service),297267,99.48,Stork (Frankfurt),297268,99.48,Stork (XETRA),315791,99.48,Tork,58091,99.4,STO,123037,99.32,To Holdings,114306,99.22,T Bank,22692,99.12
STUDENT FINANCE PLC,9813,student,student,Student Transportation,12658.0,Xior Student (Non-NASDAQ OTC) Housing,249961.0,Student Loan,61447,99.74,Student Loan (Berlin),289504,99.74,Student Prop SP,96122,99.64,ENT,1607,99.6,Ude,123792,99.6,Student Advantage,77242,99.58,Student Advantage (Berlin),303241,99.58,Xior Student Housing,90652,99.52,Xior Student (Non-NASDAQ OTC) Housing,249961,99.52,Xior Student (Frankfurt) Housing,276115,99.52
