Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
360 Capital Industrial Fund,3543,360 capital industrial fund,360,360 Capital REIT Units,80905,93.8,360 capital,360 Capital Group Stapled Units,80904,93.8,360 capital industrial,Capital Securities,115447,88.2
ABPA HOLDINGS LIMITED,9511,abpa holdings,abpa,BP,124430,85.4,abpa holdings,Holdings,206120,95.19999999999999,abpa holdings,Holdings,206120,95.19999999999999
"AIG International, Inc.",21931,aig international,aig,Paige Innovations,10957,94.2,aig international,International,206505,97.39999999999999,aig international,International,206505,97.39999999999999
ALD International S.A.,8556,ald international,ald,Baldwin Aircraft International,70333,94.39999999999999,ald international,International,206505,97.39999999999999,ald international,International,206505,97.39999999999999
AmBev International Finance Co. Ltd.,4155,ambev international finance,ambev,Ambev Forward On,148505,89.4,ambev international,International,206505,93.0,ambev international finance,National Finance,43130,94.8
American Honda Finance Corporation,21315,american honda finance corporation,american,American National Bancorporation,62421,95.8,american honda,American Security,62447,87.6,american honda finance,American Security,62447,87.6
"AMN HEALTHCARE, INC.",21957,amn healthcare,amn,AMN Healthcare Services,133693,95.19999999999999,amn healthcare,Healthcare,73398,96.6,amn healthcare,Healthcare,73398,96.6
AMT MANAGEMENT LIMITED,3565,amt management,amt,Amtek Engineering,32270,91.6,amt management,Management Trust,19747,96.6,amt management,Management Trust,19747,96.6
Arch Capital Finance LLC,24421,arch capital finance,arch,Archway Capital Fund,44978,95.0,arch capital,Monarch Capital,66609,93.8,arch capital finance,Capital Securities,115447,90.4
ARD Holdings S.A.,15213,ard holdings,ard,Vard Holdings,40476,99.19999999999999,ard holdings,Ward Holdings,51556,99.19999999999999,ard holdings,Ward Holdings,51556,99.19999999999999
ARV INTERNATIONAL LIMITED,14674,arv international,arv,Arvind International,24333,98.39999999999999,arv international,International,206505,97.39999999999999,arv international,International,206505,97.39999999999999
BAE Systems Holdings Inc.,21755,bae systems holdings,bae,BAE Systems,124449,94.2,bae systems,BAE Systems,124449,94.2,bae systems holdings,Systems Holdings,114020,97.8
Banpu Public Company Limited,18084,banpu public company,banpu,Banpu Public ADR 1:20,184666,93.6,banpu public,Banpu Public ADR 1:20,184666,93.6,banpu public company,Public Company Limited,121685,96.39999999999999
BAT International Finance PLC,9037,bat international finance,bat,Bata India (National India),221205,93.8,bat international,International,206505,93.6,bat international finance,National Finance,112023,95.6
BPE Finance International Limited,14731,bpe finance international,bpe,BPE di Vicenza Convertible,91663,91.0,bpe finance,Europe Finance et Industrie,17292,85.19999999999999,bpe finance international,International,206505,93.6
BR Malls International Finance Limited,4157,br malls international finance,br,Petrobras Inernational Finance Company,11144,94.8,br malls,LS,115894,82.4,br malls international,International,206505,92.0
BRED BANQUE POPULAIRE S.A.,8408,bred banque populaire,bred,Bredero Properties,45584,91.2,bred banque,Generale Banque VVPR,151599,77.4,bred banque populaire,Banque Populaire,106355,97.19999999999999
BWP MANAGEMENT LIMITED,3578,bwp management,bwp,BWP Trust (Frankfurt),268696,89.6,bwp management,Management Trust,19747,96.6,bwp management,Management Trust,19747,96.6
C&D Real Estate Corporation Limited,6464,c&d real estate corporation,c&d,C&D International Investment Group (Temp),165475,89.4,c&d real,Real Security,131585,85.2,c&d real estate,Real Estate,3531,91.6
CAPITAL AUTOMOTIVE L.P.,22322,capital automotive,capital,Security Capital Atlantic,200279,94.2,capital automotive,Capital A,108466,93.39999999999999,capital automotive,Capital A,108466,93.39999999999999
