Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
MMC FINANCE LIMITED,11028,mmc finance,mmc,MMC San TIC,121036,92.8,mmc finance,IMC Finance,26883,91.0,mmc finance,IMC Finance,26883,91.0
MMC International Finance (Netherlands) B.V.,16168,mmc international finance (netherlands) b.v.,mmc,MMC Norilsk Nickel (Kaz),218364,89.4,mmc international,International,206505,89.2,mmc international finance,National Finance,112023,90.6
MMK INTERNATIONAL CAPITAL DESIGNATED ACTIVITY,11077,mmk international capital designated activity,mmk,MMK Standard AD Niksic,94561,88.4,mmk international,International,206505,89.0,mmk international capital,National Capital,75093,90.4
"MMS USA FINANCING, INC.",24853,mms usa financing,mms,Emmsons International,100337,90.6,mms usa,Comfort Systems USA (Frankfurt),262318,78.0,mms usa financing,Financing,17627,93.8
MMX Porto Sudeste LTDA,4302,mmx porto sudeste ltda,mmx,MMX Mineracao E Metalicos,149656,89.4,mmx porto,Port,112850,86.2,mmx porto sudeste,Porto Sudeste VM,85472,86.8
"Mobile Energy Services Holdings, Inc.",21246,mobile energy services holdings,mobile,Mobile Freshness Holding,20169,94.6,mobile energy,Energy,79025,86.4,mobile energy services,Security Service,50414,87.4
Mobile Telephone Networks Holdings (Proprietar,25578,mobile telephone networks holdings (proprietar,mobile,Mobilezone Holding (XETRA),313727,92.2,mobile telephone,Korea Mobile Telephone Goods REP 1/30 Common Shares,207019,90.8,mobile telephone networks,Network Security,66841,85.2
MOBILE TELEPHONE NETWORKS HOLDINGS LIMITED,25623,mobile telephone networks holdings,mobile,Mobile Freshness (XETRA) Holding,20168,94.0,mobile telephone,Korea Mobile Telephone Goods REP 1/30 Common Shares,207019,90.8,mobile telephone networks,Network Security,66841,86.8
mobilezone ag,5497,mobilezone,mobilezone,Mobilezone Holding,115939,94.2,mobilezone,Mobilezone Holding,115939,94.2,mobilezone,Mobilezone Holding,115939,94.2
MODEL ECONOMIC TOWNSHIP LIMITED,11944,model economic township,model,Modelo Continente SGPS SA,169287,91.6,model economic,Nomi,37523,86.0,model economic township,Odel,121491,86.0
"Modern Farming (Group) CO., Ltd",6778,modern farming (group),modern,Modernform Group,121055,95.8,modern farming,Far,82967,84.8,modern farming (group),Securities Group,29993,87.4
"Modern Green Development Co.,Ltd.",6986,modern green development co.ltd.,modern,Minyuan Modern Agricultural Development 'A',10180,91.8,modern green,Gree,106572,84.4,modern green development,EC Development,53931,85.8
Modern Times Group MTG AB,1527,modern times group mtg,modern,Modern Times Group Mortgage B,115941,97.19999999999999,modern times,Modern Times Group Mortgage A,175884,97.19999999999999,modern times group,Modern Times Group Mortgage B,115941,97.19999999999999
Moelis Australia Ltd,3647,moelis australia,moelis,Moelis Class A,134646,93.39999999999999,moelis australia,Austral,177447,92.2,moelis australia,Austral,177447,92.2
Mohawk Capital Finance S.A.,15366,mohawk capital finance,mohawk,Mohawk Oil CDA,10220,92.2,mohawk capital,Security Capital,76742,89.6,mohawk capital finance,Capital Trust,99352,89.6
Mohawk Capital Luxembourg S.A.,15328,mohawk capital luxembourg,mohawk,Mohawk Rubber,66605,90.6,mohawk capital,Capital Trust,99352,88.8,mohawk capital luxembourg,Security Capital,76742,88.8
Mohegan Gaming & Entertainment,21260,mohegan gaming & entertainment,mohegan,Mohegan Tribal Gaming Authority,66606,92.39999999999999,mohegan gaming,MOH,28430,83.6,mohegan gaming &,Gan,17790,83.6
MOL GROUP FINANCE SA,15246,mol group finance,mol,Molope Group 'N',179837,93.39999999999999,mol group,Trimol Group,132356,92.39999999999999,mol group finance,Group,54856,89.0
Molnlycke Holding AB,17616,molnlycke holding,molnlycke,YC,124262,84.2,molnlycke holding,KE Holdings Inc,159254,90.2,molnlycke holding,KE Holdings Inc,159254,90.2
Molson Coors Capital Finance ULC,5089,molson coors capital finance ulc,molson,Molson Coors Canada (Frankfurt) B,264753,93.0,molson coors,Molson Coors Canada (Frankfurt) B,264753,93.0,molson coors capital,Capital Trust,99352,87.2
"Molson Coors International L.P.,",23083,molson coors international,molson,Molson Coors Beverage A,189211,93.8,molson coors,Molson Coors Beverage A,189211,93.8,molson coors international,International,206505,93.39999999999999
MOMENTIVE PERFORMANCE MATERIALS INC.,22249,momentive performance materials,momentive,Momentive Global (Mexico),218376,91.39999999999999,momentive performance,Forma,109647,85.6,momentive performance materials,Neo Performance Materials,84893,90.80000000000001
Mondelez International Holdings Netherlands B.,16424,mondelez international holdings netherlands b.,mondelez,Mondelez International Class A,132946,94.2,mondelez international,Mondelez International Class A,132946,94.2,mondelez international holdings,SA SA International Holdings,104062,93.0
Mondi Finance Europe GmbH,2916,mondi finance europe gmbh,mondi,Mondial Ventures,130783,90.8,mondi finance,Mondi,37156,86.6,mondi finance europe,Europe,17350,87.8
MONDI FINANCE PLC,9449,mondi finance,mondi,Mondi Swiecie,37157,93.8,mondi finance,Mondi,124490,91.2,mondi finance,Mondi,124490,91.2
Monex Finance Corporation,13790,monex finance corporation,monex,Monex Grupo Financiero SA de Convertible,28447,92.2,monex finance,Monex,37160,86.6,monex finance corporation,AB Corporation,23877,92.2
Mong Duong Finance Holdings B.V.,16463,mong duong finance holdings b.v.,mong,Mongolia Holdings,56119,93.0,mong duong,Mo,60623,82.4,mong duong finance,INA,65640,83.4
Monsanto Finance Canada Co.,5084,monsanto finance canada,monsanto,Monsanto India,28456,94.0,monsanto finance,Monsanto,60637,90.4,monsanto finance canada,Monsanto,60637,90.4
Montana Power Capital I,21411,montana power capital i,montana,Montana Power Capital I Quips A 8 45%,198245,95.39999999999999,montana power,Montana Power Capital I Quips A 8 45%,198245,95.39999999999999,montana power capital,Montana Power Capital I Quips A 8 45%,198245,95.39999999999999
Monte dei Paschi di Siena Capital Services Ban,12224,monte dei paschi di siena capital services ban,monte,Banca Monte dei Paschi di Siena Spa,165078,93.8,monte dei,Banca Monte dei Paschi di Siena Spa,165078,93.8,monte dei paschi,Banca Monte dei Paschi di Siena Spa,165078,93.8
MONTEA SCA,8572,montea sca,montea,Montea,89516,95.0,montea sca,Montea,89516,95.0,montea sca,Montea,89516,95.0
Montepaschi Vita S.p.A.,12255,montepaschi vita,montepaschi,Banca Monte Paschi (VIRT-X),293445,86.8,montepaschi vita,ASC Trust,304,86.4,montepaschi vita,ASC Trust,304,86.4
Monumental Global Funding II,21645,monumental global funding ii,monumental,Monumental Minerals,84779,91.0,monumental global,Monumental,66629,90.6,monumental global funding,Monumental,66629,90.6
Monumental Global Funding III,22242,monumental global funding iii,monumental,Monumental Minerals,84779,90.8,monumental global,Monumental,66629,90.2,monumental global funding,Monumental,66629,90.2
Monumental Global Funding Ltd,14688,monumental global funding,monumental,Monumental Minerals,84779,91.8,monumental global,Monumental,66629,91.39999999999999,monumental global funding,Monumental,66629,91.39999999999999
Moon Wise Global Limited,10516,moon wise global,moon,Moon River Capital,84780,91.8,moon wise,ISE,9198,86.4,moon wise global,Wisec Global,105896,92.60000000000001
"MOONGORIDOTCOM CO.,LTD",14504,moongoridotcom co.ltd,moongoridotcom,IDO Security,55149,85.0,moongoridotcom co.ltd,IDO Security,55149,85.0,moongoridotcom co.ltd,IDO Security,55149,85.0
"MOORIM CAPITAL CO., LTD",14340,moorim capital,moorim,Moorim SP,121078,94.0,moorim capital,Security Capital,76742,93.39999999999999,moorim capital,Security Capital,76742,93.39999999999999
Morgan Guaranty Trust Company of New York,21779,morgan guaranty company of new york,morgan,J P Morgan and Company (XETRA),309338,92.39999999999999,morgan guaranty,Aran,98654,84.2,morgan guaranty company,Trust Company,4284,86.6
