Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
PERNOD RICARD INTERNATIONAL FINANCE LLC,25084,National,222336,90,"[('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('National Finance', 90), ('National', 90), ('International Finance Corporation', 90), ('National', 90), ('Pernod-Ricard', 90), ('National Finance', 90)]"
"E*TRADE FINANCIAL, LLC",25087,E Trade Financial,59734,100,"[('E Trade Financial', 100), ('E Trade Financial (Mexico)', 95), ('E*trade Financial (XETRA)', 95), ('Financial Trust Corporation', 90), ('Rad', 90), ('Financial Trust Corporation', 90), ('Financial Trust Corporation', 90), ('INA', 90), ('ADE', 90), ('Financial Trust Corporation', 90)]"
TRILOGY INTERNATIONAL SOUTH PACIFIC LLC,25089,Pacific,37846,90,"[('Pacific', 90), ('National', 90), ('Terna', 90), ('Inter', 90), ('National', 90), ('Pacific', 90), ('Trilogy International', 90), ('National', 90), ('National', 90), ('International', 90)]"
"PERIAMA HOLDINGS, LLC",25091,Pertama Holdings,38020,94,"[('Pertama Holdings', 94), ('AMA Corporation', 90), ('Iama', 90), ('Primac Holdings', 90), ('AM', 90), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Holdings', 90), ('AMA Corporation', 90)]"
"NATBANK, NATIONAL ASSOCIATION",25093,National,222336,90,"[('National', 90), ('Security Bank', 90), ('National', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('National', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
"Aaron's Holdings Company, Inc.",25095,Trust Company,4284,90,"[('Trust Company', 90), ('MPA', 90), ('Holdings', 90), ('Holdings', 90), ('ARO', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Holdings', 90), ('AAR', 90), (""Aaron's"", 90)]"
TRANE TECHNOLOGIES COMPANY LLC,25099,Trane Technologies,133139,95,"[('Trane Technologies', 95), ('Trust Company', 90), ('Trane', 90), ('Trane', 90), ('Bakixanov Company', 86), ('CDS Technologies', 86), ('Company On', 86), ('KTL Technologies', 86), ('Prudential Investment Company of Australia', 86), ('QM Technologies', 86)]"
"VM CONSOLIDATED, INC.",25100,Consolidated Securities,99851,95,"[('Consolidated Securities', 95), ('M&C', 90), ('Da Securities', 90), ('Consol', 90), ('At Trust', 90), ('Idate', 90), ('Sol', 90), ('JHM Consolidated', 90), ('NS', 90), ('Solid', 90)]"
UTAH ACQUISITION SUB INC.,25107,Ion,73918,90,"[('Ion', 90), ('UIS', 90), ('ITI', 90), ('Ion', 90), ('Sit', 90), ('ITI', 90), ('L&L Acquisition', 87), ('APA Sub Group', 86), ('Atlantis Communications Sub Voting Shares', 86), ('Cable Satisfaction International Sub Voting Shares', 86)]"
"CONOPCO, INC.",25118,Conoco,46290,92,"[('Conoco', 92), ('Murray Goulburn Coop Company Limited', 77), ('Econocom International N V New', 77), ('Conoco Mineraloel', 77), ('Copaco', 77), ('Copaco', 77), ('Concor', 77), ('Conloc', 77), ('ConocoPhillips Holding', 77), ('Conico', 77)]"
"SCRIPPS ESCROW II, INC.",25119,Ipps,35790,90,"[('Ipps', 90), ('PPS', 90), ('S E', 90), ('FI Imobiliario Tourmalet II Sen B', 86), ('Perls II Trust Perpetual Exchequer Resettable SEC', 86), ('Berkeley Capital II', 86), ('Canadian Resources Income Trust II Unit', 86), ('Connor Clark and Lunn Conservative Income Fund II Units', 86), ('Connor Clark and Lunn Global Financials Fund II', 86), ('Energy Split II Capital Yield Shares', 86)]"
"Amcor Flexibles North America, Inc.",25122,North,28907,90,"[('North', 90), ('North', 90), ('Amcor Limited', 90), ('Flex', 90), ('Amcor Limited', 90), ('Amco Corporation PLC', 90), ('North Quay', 86), ('Rubicon America Trust', 86), ('Westfield America', 86), ('Battle North Gold', 86)]"
"HLSS HOLDINGS, LLC",25132,HS Holdings,110281,92,"[('HS Holdings', 92), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Holdings', 90), ('Holdings', 90), ('LS', 90), ('Corporation Holding', 90), ('Holdings', 90), ('Class Holdings', 89)]"
ITAU UNIBANCO S.A. (Miami Branch),25138,Uniban,40336,90,"[('Uniban', 90), ('Security Banc', 90), ('Birch Branch', 86), ('Branch Industries', 86), ('Miami Subs', 86), ('UBS AG London Branch 144A Call Warrant United States Basket', 86), ('UBS AG London Branch 144A Low Call Warrant LG Electronics', 86), ('UBS AG London Branch 144A American Style Puettlingen Warrant', 86), ('Itau Asset Rural Fiagro Imobiliario Imobiliario', 86), ('Itau Corpbanca', 86)]"
ZOOMINFO TECHNOLOGIES LLC,25139,Zoominfo Technologies,150325,100,"[('Zoominfo Technologies', 100), ('Zoominfo Technologies', 100), ('Zoominfo Technologies Inc Class B', 95), ('Zoominfo Technologies Inc Class C', 95), ('Zoominfo (Pet) Technologies', 95), ('Tec', 90), ('OMI', 90), ('Zoom', 90), ('OMI', 90), ('Zoom Technologies', 89)]"
PIC AU HOLDINGS LLC,25143,IC,110344,90,"[('IC', 90), ('AU Holding', 90), ('Holdings', 90), ('Holdings', 90), ('LDI Corporation', 90), ('Holdings', 90), ('IC', 90), ('Holdings', 90), ('Corporation Holding', 90), ('Holdings', 90)]"
ARDAGH METAL PACKAGING FINANCE USA LLC,25145,Metal Packaging,36876,90,"[('Metal Packaging', 90), ('Metal', 90), ('Ardagh Metal Packaging', 90), ('Allco Finance Group', 86), ('Baki Alvan Metal', 86), ('Baki Alvan Metal', 86), ('Beneficial Finance', 86), ('Broken Hill Metal', 86), ('Ding Sheng XIN Finance', 86), ('Dominant Finance Inc', 86)]"
"MIRROR MERGER SUB 2, LLC",25146,R S Corporation,29493,90,"[('R S Corporation', 90), ('ERG', 90), ('Mirro', 90), ('ERG', 90), ('ERG', 90), ('Australian Masters Corporate Bond Fund Number 2', 86), ('Australian Masters Yield Fund Number 2', 86), ('Australian Pacific Technology Dead-Merger 600818', 86), ('Baki Sarab 2', 86), ('Barrack Mines Merger 10/12/92', 86)]"
HCL AMERICA INC.,25148,AM,14528,90,"[('AM', 90), ('IC', 90), ('ICA AB', 90), ('CA', 90), ('AME', 90), ('IC', 90), ('ICA AB', 90), ('ICA AB', 90), ('AME', 90), ('Centro Shopping America Trust', 86)]"
Pearl Second Merger Sub LLC,25149,ERG,109401,90,"[('ERG', 90), ('ERG', 90), ('Seco', 90), ('ERG', 90), ('APA Sub Group', 86), ('Australian Pacific Technology Dead-Merger 600818', 86), ('Oesterreichische Laenderbank Ordinary Merger 04/10/91', 86), ('Reininghaus Brauerei (Merger See 309131)', 86), ('Sovereign Property Merger With 132034', 86), ('Zentralsparkasse Participation Certificate Merger 04/10/91', 86)]"
ORGANON & CO.,25152,Organon,134770,100,"[('Organon', 100), ('Organo', 92), ('GA Capital', 90), ('Gan', 90), ('Organon Pharma Indonesia', 90), ('Capital A', 90), ('G Capital', 90), ('G Capital', 90), ('Gan', 90), ('RG Securities', 90)]"
ORGANON FINANCE 1 LLC,25153,Gan,232110,90,"[('Gan', 90), ('INA', 90), ('Organo', 90), ('Organon', 90), ('Gan', 90), ('Gan', 90), ('1 MAJ Zavrsni Rad Gradjevinarstvu', 86), ('Australian Masters Yield Fund Number 1', 86), ('Australian Masters Corporate Bond Fund Number 1', 86), ('China Finance Holding Company', 86)]"
"MAGIC MERGECO, INC.",25154,ERG,109401,90,"[('ERG', 90), ('IC', 90), ('AGI', 90), ('ERG', 90), ('Magic', 90), ('ERG', 90), ('IC', 90), ('RG Securities', 90), ('Laser Magic International', 86), ('M&C', 86)]"
"FRONTIER COMMUNICATIONS HOLDINGS, LLC",25156,Frontier Communications,64973,95,"[('Frontier Communications', 95), ('Frontier Communications', 95), ('Capital Communication', 90), ('Holdings', 90), ('Holdings', 90), ('Unica', 90), ('Frontier', 90), ('Holdings', 90), ('Munic', 90), ('Frontier', 90)]"
NISSAN MOTOR ACCEPTANCE COMPANY LLC,25157,Trust Company,4284,90,"[('Trust Company', 90), ('Otor', 90), ('Nissan Motor', 90), ('Bakixanov Company', 86), ('Company On', 86), ('Direct Acceptance', 86), ('Faulding FH&Company', 86), ('Ihlas Motor ATSC', 86), ('King Island Company', 86), ('Quba Mini Motor', 86)]"
ASTRAZENECA FINANCE LLC,25160,Astra Corporation,62692,90,"[('Astra Corporation', 90), ('ECA', 90), ('Astra Corporation', 90), ('Astra Corporation', 90), ('Astra Corporation', 90), ('Astra Corporation', 90), ('INA', 90), ('NEC', 90), ('Zen Corporation', 90), ('Astrazeneca', 90)]"
CLARIVATE SCIENCE HOLDINGS CORPORATION,25162,Holdings,206120,90,"[('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('AB Science', 90), ('CE Holdings', 90), ('Holdings', 90), ('Clarivate', 90), ('Corporation Holding', 90), ('Holdings', 90), ('3Q Holdings', 86)]"
"HILTON GRAND VACATIONS BORROWER ESCROW, LLC",25163,Grand,1987,90,"[('Grand', 90), ('Hilton Grand Vacations', 90), ('Hilton Grand (BRN) Vacations', 87), ('Hilton Grand (Pet) Vacations', 87), ('Grand Hotel Group', 86), ('Grand Hotel Varna', 86), ('GDM Grand Development Corporation', 86), ('Grand Banks Energy', 86), ('Grand Hotel Imperijal DD', 86), ('Grand Hotel Park', 86)]"
"EASTERN GAS TRANSMISSION AND STORAGE, INC.",25164,Eastern,136387,90,"[('Eastern', 90), ('Abilene Oil and Gas', 86), ('Adsteam and Marine', 86), ('Aeyna Life and Casualty', 86), ('Ambassador Oil and Gas', 86), ('Angus and Coote Holdings', 86), ('Apollo Gas', 86), ('Arthur Yates and Company', 86), ('Asia Oil and Minerals', 86), ('Aurora Oil and Gas', 86)]"
