Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"SINOHYDRO BUREAU 7 CO., LTD.",6762,sinohydro bureau 7,sinohydro,,,,,Hydro,35364,99.43,Hydro International,47975,99.43,Sino,95940,99.36,Sino (XETRA),95941,99.36,Sino (BRN),225718,99.36,Sino Securities International (Stuttgart),297098,99.36,SI International,76840,99.2,DR Finance,109161,99.2,SI Holdings,113637,99.2,SI International (Frankfurt),297061,99.2
"Sinohydro Engineering Bureau 4 Co., Ltd.",6962,sinohydro engineering bureau 4,sinohydro,,,,,Hydro,35364,99.29,Hydro International,47975,99.29,Sino,95940,99.24,Sino (XETRA),95941,99.24,Sino (BRN),225718,99.24,Sino Securities International (Stuttgart),297098,99.24,SI International,76840,99.12,DR Finance,109161,99.12,SI Holdings,113637,99.12,SI International (Frankfurt),297061,99.12
Sinohydro Engineering Bureau 8 Corporation Lim,6799,sinohydro engineering bureau 8 corporation lim,sinohydro,,,,,Hydro,35364,99.2,Hydro International,47975,99.2,Sino,95940,99.16,Sino (XETRA),95941,99.16,Sino (BRN),225718,99.16,Sino Securities International (Stuttgart),297098,99.16,SI International,76840,99.08,DR Finance,109161,99.08,SI Holdings,113637,99.08,SI International (Frankfurt),297061,99.08
Sinopec Capital (2013) Limited,25284,sinopec capital,sinopec,Sinopec Qilu 'A',12274.0,Sinopec Kantons (Non-NASDAQ OTC) Holdings,248827.0,Sinopec Kantons Holdings,98053,99.67,Sinopec Kantons (HKSE Connect Equity) Holdings,218864,99.67,Sinopec Kantons (SZS) Holdings,218865,99.67,Sinopec Kantons (Non-NASDAQ OTC) Holdings,248827,99.67,Sinopec Kantons (Frankfurt) Holdings,274530,99.67,Sinopec Zhenhai (Frankfurt),297102,99.67,Sinopec Kantons (XETRA) Holdings,315560,99.67,Sinopec Zhenhai (XETRA),315561,99.67,Sinopec Yangzi 'A',12275,99.67,Sinopec Qilu 'A',12274,99.65
Sinopec Century Bright Capital Investment Limi,10410,sinopec century bright capital limi,sinopec,Sinopec Qilu 'A',12274.0,Sinopec Kantons (Non-NASDAQ OTC) Holdings,248827.0,Sinopec Engineering Group Class B,161072,99.55,Sinopec Zhenhai Refining,161073,99.54,Sinopec Yizheng (XETRA) Chemical 'H',317579,99.54,Sinopec Zhenhai (Frankfurt),297102,99.52,Sinopec Zhenhai (XETRA),315561,99.52,Sinopec Yizheng (Non-NASDAQ OTC) Chemical Fibre 'H',250695,99.52,Sinopec Zhenhai Refining 'H',30297,99.51,Sinopec Engineering Group H 'H',104599,99.5,Sinopec Engineering (HKSE Connect Equity) Group H 'H',218862,99.5,Sinopec Engineering (SZS) Group H 'H',218863,99.5
SINOSING SERVICES PTE. LTD.,17984,sinosing services pte.,sinosing,,,,,Sino,95940,99.31,Sino (XETRA),95941,99.31,Sing Holdings,122750,99.31,Sino (BRN),225718,99.31,Sino Securities International (Stuttgart),297098,99.31,OSI,37804,99.24,SI International,76840,99.17,OS,112545,99.17,SI Holdings,113637,99.17,SI International (Frankfurt),297061,99.17
Sinotrans Sailing Ltd,25311,sinotrans sailing,sinotrans,Sinotrans 'H',104602.0,Sinotrans 'H' (Non-NASDAQ OTC),248829.0,Sinotrans Shipping,127762,99.86,Sinotrans Shipping,222777,99.86,Sinotrans Shipping (HKSE Connect Equity),222778,99.86,Sinotrans Shipping (SZS),222779,99.86,Sinotrans Shipping (Frankfurt),281855,99.86,Sinotrans Shipping (XETRA),315568,99.86,Sinotrans 'A',155594,99.73,Sinotrans 'A',161077,99.73,Sinotrans 'A' (SSE Connect Equities),214821,99.73,Sinotrans (XETRA),315567,99.69
Sirio Blue Vision Srl,12291,sirio blue vision srl,sirio,Sirio,22165.0,,,Sirios Resources,86169,99.54,Sirios Resources (Non-NASDAQ OTC),248835,99.54,Sirios Resources (Frankfurt),266101,99.54,Sirios Resources (XETRA),315572,99.54,Sirios Resources Warrants,161078,99.48,Sensirion Holding,116137,99.47,Sensirion Holding (Non-NASDAQ OTC),239706,99.47,Sensirion Holding (Berlin),274343,99.47,Sirio,22165,99.38,Sirio Pharma 'A',90246,99.38
Sirius Real Estate Ltd,9984,sirius real estate,sirius,Sirius Biotechnology,3869.0,Sirius Exploration (Non-NASDAQ OTC),239837.0,Sirius Resource,12284,99.67,Sirius Minerals,50553,99.67,Sirius Minerals (Frankfurt),281861,99.67,Sirius Resources,3870,99.65,Sirius Resources (Non-NASDAQ OTC),239838,99.65,Sirius Resources (Frankfurt),281863,99.65,Sirius Resources (XETRA),315573,99.65,Sirius Exploration (Non-NASDAQ OTC),239837,99.61,Sirius Petroleum,50554,99.59,Sirius Petroleum (Stuttgart),281862,99.59
Sirius Satellite Radio Inc,1727,sirius satellite radio,sirius,Sirius Biotechnology,3869.0,Sirius Exploration (Non-NASDAQ OTC),239837.0,Sirius XM Radio (XETRA),308315,99.7,Sirius Exploration (Non-NASDAQ OTC),239837,99.65,Sirius Minerals,50553,99.59,Sirius Minerals (Frankfurt),281861,99.59,Sirius Petroleum,50554,99.58,Sirius Petroleum (Stuttgart),281862,99.58,Sirius Alpha Fund,68179,99.56,Sirius Financial Solutions,50552,99.54,Sirius Financial Solutions (Berlin),303087,99.54,Siriusvision,113687,99.53
SISAL GROUP S.P.A.,12313,sisal,sisal,,,,,ISA International,48211,99.75,SIS,68181,99.75,SIS,98056,99.75,SIS International Holdings,104610,99.75,ISA,119890,99.75,ISA,159100,99.75,SIS International Holdings (Non-NASDAQ OTC),239841,99.75,SIS Group (Stuttgart),281867,99.75,SIS International Holdings (Stuttgart),289302,99.75,SI International,76840,99.57000000000001
