Target Name,Target No.,preprocessed,Focus Text,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
Apollo Fibres Limited,11518,apollo fibres,apollo,Apollo Finvest,98636,99.81,Apollo Tyres,97293,99.8,Apollo Pipes,98639,99.8,Apollo Tyres,164896,99.8,Apollo Tyres,164897,99.8,Apollo Tyres (National India),221074,99.8,Apollo Bucuresti,32315,99.76,Apollo Bell International,14633,99.75,Apollo Bell International (XETRA),309828,99.75,Apollo Industries,62594,99.73
ASCENDAS IT PARK (CHENNAI) LIMITED,11864,ascendas it park,ascendas,Ascendas India Trust,115365,99.73,Ascendas India Trust (Non-NASDAQ OTC),243805,99.73,Ascendas India Trust (Berlin),267961,99.73,Ascendas REIT Units (Frankfurt),267962,99.69,Ascendas Hospitality REIT,32397,99.63,Ascendas Real Estate Investment Trust A,177381,99.63,Ascendas Real Estate Investment Trust,115227,99.61,Ascendas Real (London) Estate Investment Trust,227139,99.61,Ascendas Real Estate (Non-NASDAQ OTC),243806,99.61,Ascendas Real Estate (XETRA) Investment Trust,309916,99.61
ATF Capital B.V.,16250,atf capital b.v.,atf,Ideatfi-PDA,179003,99.44,Arco Platform Limited Class B,192970,99.43,Vasta Platform Limited Class B,201668,99.42,Platforma Mediowa Point Group PDA Dead,180204,99.42,Stratford American,77228,99.41,Platform Utinet RU,38130,99.41,Platfields,38129,99.38,Platfields (Berlin),288610,99.38,Platfields (XETRA),314732,99.38,Hatfield Estates,47719,99.38
ATF Netherlands B.V.,16423,atf netherlands b.v.,atf,Vasta Platform Limited Class B,201668,99.48,Platfields,38129,99.47,Glatfelter,136748,99.47,Glatfelter (Berlin),263391,99.47,Platfields (Berlin),288610,99.47,Glatfelter (XETRA),306111,99.47,Platfields (XETRA),314732,99.47,Hatfield Estates,47719,99.44,Arco Platform Limited Class B,192970,99.44,Multi Platform Integration,56079,99.43
Autopista Concesionaria Astur-Leonesa S.A.,8012,autopista concesionaria astur leonesa,autopista,Autopista Los Libertadores SA,5382,99.57000000000001,Autopistas del Sol,81475,99.51,Autopistas del Sol (Non-NASDAQ OTC),243926,99.51,Autopista-Vasco,24463,99.5,Society Conces Autopista Interportuaria SA,12373,99.47,Auto Group,447,99.2,Ista Investment,145278,99.2,IST Group,35820,99.15,STA Group,43876,99.15,Top,86659,99.15
"AUTOPISTA DEL GUADALMEDINA, CONCESIONARIA ESPA",8164,autopista del guadalmedina concesionaria espa,autopista,Autopista Los Libertadores SA,5382,99.54,Autopistas del Sol,81475,99.51,Autopistas del Sol (Non-NASDAQ OTC),243926,99.51,Autopista-Vasco,24463,99.43,Society Conces Autopista Interportuaria SA,12373,99.43,Auto Group,447,99.16,Ista Investment,145278,99.16,IST Group,35820,99.12,STA Group,43876,99.12,Top,86659,99.12
Autopista Fernao Dias S.A.,4319,autopista fernao dias,autopista,Autopista-Vasco,24463,99.67,Autopistas del Sol,81475,99.67,Autopistas del Sol (Non-NASDAQ OTC),243926,99.67,Autopista Los Libertadores SA,5382,99.64,Society Conces Autopista Interportuaria SA,12373,99.5,Auto Group,447,99.32,Ista Investment,145278,99.32,IST Group,35820,99.25,STA Group,43876,99.25,Top,86659,99.25
Autopista Litoral Sul S.A.,4321,autopista litoral sul,autopista,Autopistas del Sol,81475,99.72,Autopistas del Sol (Non-NASDAQ OTC),243926,99.72,Autopista Los Libertadores SA,5382,99.68,Autopista-Vasco,24463,99.67,Society Conces Autopista Interportuaria SA,12373,99.5,Auto Group,447,99.32,Ista Investment,145278,99.32,IST Group,35820,99.25,STA Group,43876,99.25,Top,86659,99.25
Autopista Planalto Sul S.A.,4320,autopista planalto sul,autopista,Autopistas del Sol,81475,99.7,Autopistas del Sol (Non-NASDAQ OTC),243926,99.7,Autopista-Vasco,24463,99.65,Autopista Los Libertadores SA,5382,99.62,Society Conces Autopista Interportuaria SA,12373,99.46,Auto Group,447,99.31,Ista Investment,145278,99.31,IST Group,35820,99.24,STA Group,43876,99.24,Top,86659,99.24
