Target Name,Target No.,preprocessed,Focus Text,Shortest Match Name,Shortest Match No.,Non-NASDAQ OTC Match Name,Non-NASDAQ OTC Match No.,Matched Name 1,Matched No. 1,Matched Score 1,Matched Name 2,Matched No. 2,Matched Score 2,Matched Name 3,Matched No. 3,Matched Score 3,Matched Name 4,Matched No. 4,Matched Score 4,Matched Name 5,Matched No. 5,Matched Score 5,Matched Name 6,Matched No. 6,Matched Score 6,Matched Name 7,Matched No. 7,Matched Score 7,Matched Name 8,Matched No. 8,Matched Score 8,Matched Name 9,Matched No. 9,Matched Score 9,Matched Name 10,Matched No. 10,Matched Score 10
"PORTOSEG S/A - CREDITO, FINANCIAMENTO E INVEST",4403,portoseg s/a  credito financiamento e invest,portoseg,,,,,Port,112850,99.17,Tose,114407,99.17,SEG International,113461,99.13,Ort (Non-NASDAQ OTC),238861,99.13,RT Group,50230,99.09,OS,112545,99.09,To Holdings,114306,99.09,EG,118501,99.09,RT Group (VIRT-X),232760,99.09,T Bank,22692,99.04
POSCO MAHARASHTRA STEEL PRIVATE LIMITED,11628,posco maharashtra steel private,posco,Posco Plantec,38261.0,,,Posco Specialty Steel,38262,99.54,Posco Steeleon,121834,99.53,Posco Holdings American Depositary Shares 4:1,189896,99.48,Posco Holdings American (Mexico) Depositary Shares 4:1,220452,99.48,Posco Holdings American (Frankfurt) Depositary Shares 4:1,259049,99.48,Posco Plantec,38261,99.45,Posco M-Technology,121833,99.45,Posco Chemical,116035,99.44,Posco Cedear,149812,99.42,Posco-Thainox,121835,99.41
Posojilnica Bank eGen,2861,posojilnica egen,posojilnica,,,,,NIC,28718,99.32,ICA AB,42475,99.32,NIC,60749,99.32,Oji Holdings,106996,99.32,ICA AB,178994,99.32,ICA AB,178995,99.32,Oji Holdings (BRN),228363,99.32,ICA (Non-NASDAQ OTC),237135,99.32,NIC (Non-NASDAQ OTC),238449,99.32,ICA (Empresas) (SEAQ International),241976,99.32
"POSPOWER Co., Ltd.",14387,pospower,pospower,,,,,Power International,3350,99.77,Power,29373,99.77,International Power,48141,99.77,Power Holdings,85609,99.77,Power Finance,97963,99.77,Securities Power,104250,99.77,International Power Group,130229,99.77,Power Finance (National India),222551,99.77,International Power (VIRT-X),232274,99.77,International Power (Frankfurt),279552,99.77
Poste Vita S.p.A.,12265,poste vita,poste,Srpske Poste,86328.0,Poste Italiane (Non-NASDAQ OTC),248110.0,Poste Italiane,87660,99.75,Poste Italiane (Non-NASDAQ OTC),248110,99.75,Poste Italiane (Frankfurt),273678,99.75,Poste Italiane (Vienna Stock Exchange),273679,99.75,Postec Systems Inc,11305,99.58,Post,67407,99.57000000000001,Post Holdings,134865,99.57000000000001,Post Holdings (Pet),252207,99.57000000000001,Post Holdings (Frankfurt),265504,99.57000000000001,Post Holdings (XETRA),265505,99.57000000000001
POSTECH VENTURE CAPITAL CORPORATION,14427,postech venture capital corporation,postech,,,,,Stec,61415,99.21,Post,67407,99.21,Post Holdings,134865,99.21,Post Holdings (Pet),252207,99.21,Post Holdings (Frankfurt),265504,99.21,Post Holdings (XETRA),265505,99.21,Stec (Frankfurt),282086,99.21,Stec (XETRA),308464,99.21,Tec,39880,99.16,OS,112545,99.11
POTAMI ENERGIA SA,4416,potami energia,potami,,,,,AMI,116798,99.35,AM,14528,99.25,Ta Holdings,50943,99.25,AM Group Holdings,98528,99.25,Ta,123225,99.25,AM (Dutch Trading Service),293139,99.25,AM (Stuttgart),293140,99.25,T Bank,22692,99.13,O-Bank,115989,99.13,Amia,116799,85.58
Powell River Energy Inc.,5088,powell river energy,powell,Powell Duffryn,49811.0,,,Powell Industries,137919,99.56,Powell Industries (Frankfurt),265509,99.56,Powell Industries (XETRA),307868,99.56,Powell Duffryn,49811,99.55,Powell Duffyrn (Munich),296577,99.55,Powel,38277,99.42,Owell,43290,99.42,Well,96685,99.35,El Company,109292,99.19,We Holdings,124082,99.19
Power Regal Group Limited,25221,power regal,power,Power,29373.0,ITM Power (Non-NASDAQ OTC),246488.0,Power Metals,85484,99.78,Power Metals (Non-NASDAQ OTC),248115,99.78,Power Metals (Frankfurt),265513,99.78,Power Beat International,38278,99.76,Power REIT,137920,99.76,Powertel,3352,99.74,Powertel,76088,99.74,Powertel (Frankfurt),296581,99.74,Powertel (Berlin),302649,99.74,Power Egypt,21235,99.73
POWERGRID VIZAG TRANSMISSION LIMITED,11736,powergrid vizag transmission,powergrid,Powergrid Infinv Units,139098.0,,,Powergrid Infinv Units,139098,99.6,Northern Powergrid Holdings Company,49372,99.39,Power International,3350,99.3,Power,29373,99.3,International Power,48141,99.3,Power Holdings,85609,99.3,Power Finance,97963,99.3,Securities Power,104250,99.3,International Power Group,130229,99.3,Power Finance (National India),222551,99.3
