Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word
CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL CEN,8497,caisse regionale de credit agricole mutuel cen,caisse,Caisse Registered Cred Agriculture Mutual Tourain Poitou,91719,93.39999999999999,caisse regionale,Caisse Regionale Credit,15597,93.39999999999999,caisse regionale de,Caisse Regionale Credit,165486,84.6
Caisse Regionale de Credit Agricole Mutuel de,8518,caisse regionale de credit agricole mutuel de,caisse,Caisse Regionale Credit,165487,93.6,caisse regionale,Caisse Regionale Credit,165487,93.6,caisse regionale de,Caisse Regionale Credit,165486,84.8
Caisse Regionale de Credit Agricole Mutuel de,8496,caisse regionale de credit agricole mutuel de,caisse,Caisse Regionale Credit,165487,93.6,caisse regionale,Caisse Regionale Credit,165487,93.6,caisse regionale de,Caisse Regionale Credit,165486,84.8
Caisse Regionale de Credit Agricole Mutuel Nor,8494,caisse regionale de credit agricole mutuel nor,caisse,Caisse Registered Cred Agriculture Mutual Tourain Poitou,91719,93.8,caisse regionale,Caisse Regionale Credit,15597,93.39999999999999,caisse regionale de,Caisse Regionale Credit,165484,84.6
Caisse Regionale de Credit Agricole Mutuel Pyr,8476,caisse regionale de credit agricole mutuel pyr,caisse,Caisse Regionale Credit,165484,93.39999999999999,caisse regionale,Caisse Regionale Credit,15597,93.39999999999999,caisse regionale de,Caisse Regionale Credit,165487,84.6
"Capital One Bank (USA), National Association",21267,capital one bank (usa) national association,capital,Capital Bank Financial Class A,59337,92.6,capital one,Capital One (Frankfurt) Financial DS,255412,92.6,capital one bank,Capital One,15645,88.2
Capital One Capital II,20795,capital one capital ii,capital,Calpine Capital Trust III,70804,96.6,capital one,Capital One Financial,133051,94.8,capital one capital,Capital One,15645,93.39999999999999
Capital One Capital III,22906,capital one capital iii,capital,Calpine Capital Trust III,70804,97.19999999999999,capital one,Capital One Financial,133051,94.6,capital one capital,Capital One,15645,93.0
Capital One Capital IV,22297,capital one capital iv,capital,Capstone Capital Trust,63294,95.8,capital one,Capital One Financial,133051,94.8,capital one capital,Capital One,15645,93.39999999999999
Capital One Capital VI,22926,capital one capital vi,capital,Capstone Capital Trust,63294,95.8,capital one,Capital One Financial DS,185048,94.8,capital one capital,Capital One,15645,93.39999999999999
"Capital One, F.S.B.",21967,capital one f.s.b.,capital,Capital One,15645,95.19999999999999,capital one,Capital One,15645,95.19999999999999,capital one f.s.b.,Capital One,15645,95.19999999999999
"Capital One, National Association",21208,capital one national association,capital,Capital One Financial DS,185048,93.6,capital one,Capital One Financial DS,193754,93.6,capital one national,Capital One,15645,90.2
"Capital One, National Association",24755,capital one national association,capital,Capital One Financial DS,185048,93.6,capital one,Capital One Financial DS,193754,93.6,capital one national,Capital One,15645,90.2
"CHINA RAILWAY 14TH BUREAU GROUP CO., LTD.",6436,china railway 14th bureau group,china,China Railway Group 'A',87546,94.0,china railway,China Railway Group 'H',162542,94.0,china railway 14th,INA,65640,83.6
"China Railway 15th Bureau Group Co.,Ltd.",6656,china railway 15th bureau group co.ltd.,china,China Railway Group 'H',162542,93.0,china railway,China Railway Group 'A',87546,93.0,china railway 15th,INA,65640,82.8
"CHINA RAILWAY 16TH BUREAU GROUP CO., LTD.",6673,china railway 16th bureau group,china,China Railway Group 'H',162542,94.0,china railway,China Railway Group 'A',87546,94.0,china railway 16th,INA,65640,83.6
CHINA RAILWAY 20 BUREAU GROUP CORPORATION,6737,china railway 20 bureau group corporation,china,China Reinsurance Group Corporation Class B,157226,93.8,china railway,China Railway Group 'A',87546,93.2,china railway 20,China Railway Group 'A',87546,83.60000000000001
"China Railway 21st Bureau Group Co.,Ltd.",6675,china railway 21st bureau group co.ltd.,china,China Railway Group 'H',162542,93.0,china railway,China Railway Group 'H',162542,93.0,china railway 21st,INA,65640,82.8
"China Railway 24th Bureau Group Co., Ltd.",6790,china railway 24th bureau group,china,China Railway Group 'H',162542,94.0,china railway,China Railway Group 'H',162542,94.0,china railway 24th,INA,65640,83.6
China Railway Beijing Engineering Bureau Group,7261,china railway beijing engineering bureau group,china,China Energy Engineering 'A',153829,92.39999999999999,china railway,China Railway Tielong Container Logistic 'A',88344,91.6,china railway beijing,INA,65640,82.4
