Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
Medley Capital Corporation,23141,Medley,106850,100,"[('Medley', 100), ('Capital M', 90), ('DLE', 90), ('DL', 90), ('Medley Management A', 90), ('Medley Management Inc Class B', 90), ('Medley Management A (Frankfurt)', 90), ('Medley (Munich)', 90), ('D&D', 86), ('Mapeley', 77)]"
"Ascena Retail Group, Inc.",23142,Ascena Retail Group,52403,100,"[('Ascena Retail Group', 100), ('Ascena Retail Group (XETRA)', 95), ('ASC Trust', 90), ('Group', 90), ('Group', 90), ('Retail', 90), ('SCE', 90), ('Retail Group', 90), ('Group', 90), ('Ascena Retail Group (Frankfurt)', 90)]"
AVIV HEALTHCARE PROPERTIES LIMITED PARTNERSHIP,23143,Care Capital Properties,59353,90,"[('Care Capital Properties', 90), ('Health', 90), ('Healthcare Properties', 90), ('Roper', 90), ('Healthcare', 90), ('Health', 90), ('Artner', 90), ('Capital Partners', 90), ('Capital Properties', 90), ('Healthcare', 90)]"
"Fresenius Medical Care US Finance, Inc.",23144,Fresenius Medical Care E,166928,91,"[('Fresenius Medical Care E', 91), ('Fresenius Medical Care E', 91), ('Fresenius Medical Care E', 91), ('Medica', 90), ('Medica', 90), ('Fresenius', 90), ('Fresenius Medical Care', 90), ('Medica', 90), ('Fresenius Medical', 90), ('Fresenius Medical Care (Pet)', 87)]"
"C&J Energy Services, Inc.",23146,C&J Energy Services,59307,100,"[('C&J Energy Services', 100), ('C&J Energy Services', 100), ('Energy', 90), ('ERG', 90), ('Security Service', 90), ('Energy', 90), ('Energy', 90), ('ERG', 90), ('ERG', 90), ('C J Energy Services Warrants EXP 01 June 2024', 90)]"
BW Bank Capital Funding Trust II,23154,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('AFB Bank ASC', 86), ('Ask Funding', 86)]"
FLORIDA EAST COAST HOLDINGS CORP.,23155,Florida East Coast Holdings Corporation,47206,95,"[('Florida East Coast Holdings Corporation', 95), ('Holdings', 90), ('Holdings', 90), ('Florida Capital', 90), ('Holdings', 90), ('Holdings', 90), ('Corporation Holding', 90), ('Holdings', 90), ('3Q Holdings', 86), ('Acmex Holdings', 86)]"
"Gevo, Inc.",23156,Gevo,136737,100,"[('Gevo', 100), ('Gevorkyan', 90), ('G Capital', 90), ('G Capital', 90), ('Gevo Class A Warrants 15/12/18', 90), ('Gevo (Mexico)', 90), ('Gevo (Pet)', 90), ('Gevo (Frankfurt)', 90), ('Gevo (XETRA)', 90), ('Geo', 86)]"
Capitol Federal Savings Bank,23158,Security Bank,200310,90,"[('Security Bank', 90), ('Capitol', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Federal', 90), ('Savin', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
Itau Unibanco SA,23159,IT,27121,90,"[('IT', 90), ('Uniban', 90), ('Tau Capital', 90), ('Security Banc', 90), ('NC&', 90), ('Ta', 90), ('Itau Unibanco Holding PN', 90), ('Itau Unibanco Holding Cedear', 90), ('Itau Unibanco Holding On', 90), ('Itau Unibanco Banco Holding ADR 1:1', 90)]"
INTERACTIVE DATA HOLDINGS CORPORATION,23160,Inter,27025,90,"[('Inter', 90), ('Holdings', 90), ('Ta Holdings', 90), ('Holdings', 90), ('Interactive Data', 90), ('Active', 90), ('ATA Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Acti', 90)]"
"Maiden Holdings North America, Ltd.",23161,North,28907,90,"[('North', 90), ('North', 90), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Holdings', 90), ('Maiden Holdings', 90), ('Corporation Holding', 90), ('Holdings', 90), ('3Q Holdings', 86)]"
MORRILL & JANES BANK AND TRUST COMPANY,23162,Trust Company,4284,90,"[('Trust Company', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Rril', 90), ('Security Bank', 90), ('AB and Company', 90)]"
ROCKFORD BANK AND TRUST COMPANY,23163,Trust Company,4284,90,"[('Trust Company', 90), ('Security Bank', 90), ('Rockford', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('AB and Company', 90)]"
Fulton Bank of New Jersey.,23164,Security Bank,200310,90,"[('Security Bank', 90), ('Securities Trust Jersey', 90), ('Security Bank', 90), ('Security Bank', 90), ('Trust New Jersey', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Ton Bank', 90)]"
UBS Bank USA,23165,BS,24840,90,"[('BS', 90), ('Security Bank', 90), ('UBS AG', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('UBS AG', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90)]"
BYLINE BANK,23166,Security Bank,200310,90,"[('Security Bank', 90), ('Line', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90), ('Security Bank', 90)]"
Comenity Capital Bank,23167,Security Bank,200310,90,"[('Security Bank', 90), ('IT', 90), ('OM', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Eni', 90), ('Security Bank', 90)]"
Leonard Wood Family Communities LLC,23169,Family,25928,90,"[('Family', 90), ('Unit', 90), ('Unit', 90), ('Uniti', 90), ('Alfa Wood Bulgaria', 86), ('Jelsingrad Family', 86), ('Family Memorials', 86), ('Starlight United States Multi-Family (Number 2) Core Fund Class A Units', 86), ('Starlight United States Multi Family Core Class A', 86), ('Starlight United States Multi-Family Value Add Fund A', 86)]"
Industrial and Commercial Bank of China Ltd.,23170,Industrial and Commercial Bank of China 'A',87340,96,"[(""Industrial and Commercial Bank of China 'A'"", 96), (""Industrial and Commercial Bank of China 'H'"", 96), ('Industrial and Commercial Bank of China Asia', 95), ('Industrial and Commercial Bank', 95), ('Industrial and Commercial Bank of China (Thai)', 95), ('Industrial and Commercial Bank of China (Thai) NVDR', 95), ('Industrial and Commercial Bank of China Preferred', 95), (""Industrial and Commercial Bank of China 'H' (SZS)"", 95), (""Industrial and Commercial Bank of China 'H' (Frankfurt)"", 95), ('Industrial and Commercial Bank of (Frankfurt) China Asia', 95)]"
