Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
SG Capital Trust III,21838,G Capital,118939,90,"[('G Capital', 90), ('G Capital', 90), ('SG', 90), ('SG', 90), ('Berlin III AS', 86), ('Income Streams III Equity Dividend', 86), ('Penfold Capital Acquisition III', 86), ('R Split III Class A', 86), ('Leopold III-Laan', 86), ('SG Holding AG', 86)]"
Deutsche Bank Capital Funding Trust IV,21839,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Deutsche Bank', 90), ('Deutsche Capital', 90), ('Security Bank', 90), ('Deutsche Bank', 90)]"
CADBURY SCHWEPPES US FINANCE LLC,21840,Cadbury,45772,90,"[('Cadbury', 90), ('Beneficial Finance', 86), ('Dominant Finance Inc', 86), ('Hyundai Finance', 86), ('Palm Beach Finance', 86), ('Prime Finance', 86), ('Mackenzie Finance', 86), ('RCI Finance', 86), ('Silk Road Finance', 86), ('3A Finance', 86)]"
GuideOne Life Insurance Company,21841,Life,120584,90,"[('Life', 90), ('Trust Company', 90), ('Life', 90), ('Ideon', 90), ('Life', 90), ('Life', 90), ('Jubilee Life Insurance Company', 89), ('London Life Insurance Company', 87), ('SBI Life Insurance Company', 87), ('Bakixanov Company', 86)]"
"Hyundai Motor Manufacturing Alabama, LLC",21842,Hyundai Corporation,119609,90,"[('Hyundai Corporation', 90), ('Hyundai Motor Securities', 90), ('Hyundai Corporation', 90), ('Hyundai Motor Securities', 90), ('Hyundai Finance', 86), ('Ihlas Motor ATSC', 86), ('Quba Mini Motor', 86), ('York Motor', 86), ('Alabama Graphite', 86), ('Ford Motor Company', 86)]"
Nalco Company,21843,Trust Company,4284,90,"[('Trust Company', 90), ('MPA', 90), ('OM', 90), ('Alco', 90), ('PA', 90), ('LC Corporation', 90), ('Antipodes Global Investment Company', 86), ('Arab International Insurance Company', 86), ('Arthur Yates and Company', 86), ('Barbados Shipping and Trading Company Limited', 86)]"
DZ BANK CAPITAL FUNDING,21844,Security Bank,200310,90,"[('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('NK', 90), ('DZ Bank', 90), ('Security Bank', 90)]"
"Nexstar Broadcasting, Inc.",21845,Nexstar Broadcasting Class B,208103,95,"[('Nexstar Broadcasting Class B', 95), ('Nexstar Broadcasting Class C', 95), ('Asting', 90), ('Star', 90), ('STI', 90), ('Cast', 90), ('Asti', 90), ('CAS', 90), ('Star', 90), ('Nexstar Broadcasting Group (XETRA)', 90)]"
BA Credit Card Trust,21846,Car,24933,90,"[('Car', 90), ('IT', 90), ('CA', 90), ('Re Capital', 90), ('Re Capital', 90), ('CR Capital', 90), ('CRE', 90), ('Red Capital', 90), ('Credit Suisse PL100 World Water Trust', 86), ('Credit Suisse GP100 Australia Trust', 86)]"
"Citibank, N.A.",21847,CIT,15964,90,"[('CIT', 90), ('Security Bank', 90), ('IT', 90), ('Security Bank', 90), ('Security Bank', 90), ('ITI', 90), ('Security Bank', 90), ('Security Bank', 90), ('Security Bank', 90), ('ITI', 90)]"
