Target Name,Target No.,Top Match Name,Top Match No.,Top Match Score,All Matched
"SK Plasma Co., Ltd",14602,PLA,22492,90,"[('PLA', 90), ('SK', 90), ('ASM', 90), ('SK', 90), ('Omskiy Kombinat SK', 86), ('SK Target Group', 86), ('SK IE Technology', 86), ('SK Number 5 Special Purpose Acquisition', 86), ('SK Number 6 Special Purpose Acquisition', 86), ('SK Trims and Industries', 86)]"
"EN VALUE 1ST Co., Ltd.",14607,Alue,103199,90,"[('Alue', 90), ('Esperotia En Investment', 86), ('AXA France Obligation No Par Value (SICAV) (Irish)', 86), ('First Investments Value Fund', 86), ('Ito En', 86), ('ACM Middenstands East Opportunities No Par Value Class A (SICAV)', 86), ('Fardis B No Par Value', 86), ('General Ganetzki AD-Plev En', 86), ('TRNSNR CEI Transp Denga Electrica En Alta TNSN', 86), ('Aptus Value Housing Finance India', 86)]"
"CHA Vaccine Research Institute Co., Ltd.",14608,CHA Vaccine Research Institute,85949,100,"[('CHA Vaccine Research Institute', 100), ('Research', 90), ('Comptek Research', 86), ('Sonex Research', 86), ('HSBC Mexico SA Institute de Banca Multiple Financier', 86), ('Eden Research', 86), ('Aire Liquid Research', 86), ('CRC Crystal Research', 86), ('Polymer Research', 86), ('York Research', 86)]"
"LG ENERGY SOLUTION, LTD.",14609,Ion,120567,90,"[('Ion', 90), ('Sol', 90), ('ERG', 90), ('G-Energy', 90), ('Security Energy', 90), ('UTI', 90), ('ERG', 90), ('UTI', 90), ('Security Energy', 90), ('ERG', 90)]"
"ADT CAPS Co.,Ltd",14611,APS,12368,90,"[('APS', 90), ('ADT', 90), ('Cap', 90), ('ADT', 90), ('Cap', 90), ('CA', 90), ('ADT', 90), ('AP', 90), ('Cap', 90), (""Anhui Huangshan Caps 'A'"", 86)]"
"SE Green Energy Co., Ltd.",14612,ERG,118977,90,"[('ERG', 90), ('Security Energy', 90), ('ERG', 90), ('Capital Re', 90), ('Capital Re', 90), ('Security Energy', 90), ('Gree', 90), ('ERG', 90), ('Security Energy', 90), ('RG Securities', 90)]"
"DOOSAN MECATEC CO., LTD.",14613,Atec,107780,90,"[('Atec', 90), ('ECA', 90), ('MEC', 90), ('At Trust', 90), ('OS', 90), ('CA', 90), ('Atec', 90), ('Tec', 90), ('Doosan Corporation', 90), ('Doosan Engineering and Construction', 86)]"
"Jungwon Advanced Materials Co., Ltd.",14615,Osung Advanced Materials,108631,88,"[('Osung Advanced Materials', 88), ('5E Advanced Materials', 87), (""Guangzhou Tinci Materials Technology 'A'"", 86), ('Eternal Materials', 86), (""Guangdong Fangyuan New Materials Group 'A'"", 86), (""SHDG Dongyue Organosilicon Materials 'A'"", 86), (""Zhuzhou Times New Materials Technology 'A'"", 86), (""Beijing Lier High Temperature Materials 'A'"", 86), ('Benq Materials', 86), (""Changzhou Tronly New Electronic Materials 'A'"", 86)]"
DAEJEON SHINSEGAE Inc.,14616,EON Capital,6785,90,"[('EON Capital', 90), ('SHI', 90), ('Shinsegae', 90), ('Sega', 90), ('Shinsegae Engineering and Construction', 86), ('Shin Shin', 86), ('D&D', 86), ('Shinsegae Engineering and Construction', 86), ('Shinsegae I&C', 78), ('U-Shin', 75)]"
SK materials airplus Incorporated,14617,SK Materials,13475,90,"[('SK Materials', 90), (""China Railway Materials Company 'A'"", 86), (""Guangzhou Tinci Materials Technology 'A'"", 86), (""Anhui Estone Materials Technology 'A'"", 86), (""Guangdong Fangyuan New Materials Group 'A'"", 86), (""Jiangsu Boqian New Materials Stock 'A'"", 86), (""Jiangxi Chenguang New Materials 'A'"", 86), (""Kaili Catalyst and New Materials 'A'"", 86), (""Shandong Kaisheng New Materials 'A'"", 86), (""Shanghai Hiuv New Materials 'A'"", 86)]"
